active_kv_bytes,all_evidence_recall,any_evidence_recall,candidate_gists,center_policy,dataset,examples,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,mrr,native_token_max_rank_correlation,native_token_max_score_correlation,native_token_mean_rank_correlation,native_token_mean_score_correlation,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216.0,0.0,0.625,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.05938917126801041,0.2916666666666667,96.0,1.0,0.5636996527561587,0.33839689722042665,-0.16219098185892722,-0.19857790930650793,-0.06642091559173018,-0.05715783916113801,0.001927999997860752,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.05938917126801041,0.2916666666666667,3,4.167299994151108e-05,0.0020294499998271933,0.0
524288.0,0.125,0.625,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.49664278012482155,0.33839689722042665,-0.16219098185892722,-0.19857790930650793,-0.06642091559173018,-0.05715783916113801,0.001927999997860752,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.1583711233813611,0.3958333333333333,8,4.492100022616796e-05,0.0017212450002261903,0.0
524288.0,0.625,0.875,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.5084293322599568,0.33839689722042665,-0.16219098185892722,-0.19857790930650793,-0.06642091559173018,-0.05715783916113801,0.001927999997860752,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.3167422467627222,0.7708333333333334,16,4.728799991426058e-05,0.0020704349990410265,0.0
363008.0,0.0,0.375,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.05938917126801041,0.16666666666666666,88.625,1.0,0.7867237588491011,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.001625050004804507,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.05938917126801041,0.16666666666666666,3,5.3200499969534576e-05,0.0020090025005629285,0.0
494080.0,0.25,0.625,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.22916666666666666,120.625,1.0,0.6784680037441508,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.001625050004804507,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.1583711233813611,0.4583333333333333,8,4.2828999867197126e-05,0.0022495699995488394,0.0
494080.0,0.75,0.875,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.22916666666666666,120.625,1.0,0.6734846719473098,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.001625050004804507,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.3167422467627222,0.8125,16,4.211899999063462e-05,0.002082867500575958,0.0
363008.0,0.0,0.25,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.05938917126801041,0.10416666666666666,88.625,1.0,0.792343272009975,0.24654656685906687,0.5851151000893048,0.47156324602563526,0.9949141141680033,0.9958462846378469,0.0075511250070121605,0.125,0.625,0.25,0.5,32,post_rope_key,0.6418727676756913,0.05938917126801041,0.10416666666666666,3,4.83594999241177e-05,0.005102240000269376,0.0
491520.0,0.0,0.5,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.10416666666666666,120.0,1.0,0.7436143568309346,0.24654656685906687,0.5851151000893048,0.47156324602563526,0.9949141141680033,0.9958462846378469,0.0075511250070121605,0.125,0.625,0.25,0.5,32,post_rope_key,0.6418727676756913,0.1583711233813611,0.22916666666666666,8,4.699199984315783e-05,0.001869217499915976,0.0
491520.0,0.375,0.625,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.07918556169068056,0.10416666666666666,120.0,1.0,0.710447531414653,0.24654656685906687,0.5851151000893048,0.47156324602563526,0.9949141141680033,0.9958462846378469,0.0075511250070121605,0.125,0.625,0.25,0.5,32,post_rope_key,0.6418727676756913,0.3167422467627222,0.4791666666666667,16,3.6820499954046685e-05,0.0021328074995835777,0.0
367104.0,0.0,0.5,52.375,exact,hotpotqa,8,0.015777304276643152,1,mean,0.05938917126801041,0.22916666666666666,89.625,1.0,0.5669947581454018,0.471875,0.5938589383661872,0.7176944601571679,0.22887144241926,0.27526870403322184,0.0015918874996714294,0.375,0.875,0.5,0.75,32,pre_rope_key,0.04046698244420025,0.05938917126801041,0.22916666666666666,3,4.499400005443022e-05,0.002038064999942435,0.0
