center_policy,extra_routing_cache_fraction,gist_count,kind,label,mrr,native_token_max_rank_correlation,native_token_mean_rank_correlation,recall_at_16,recall_at_3,recall_at_8,routing_representation,score_position_correlation
,0.015718642544083405,1,representation,Post-RoPE mean,0.1310326347368733,0.6198092738938364,0.995254555054764,0.3125,0.125,0.25,post_rope_key,0.6514807112373844
,0.015718642544083405,1,representation,Pre-RoPE mean,0.30113956766917294,0.5568193342702112,0.19659544151312697,0.75,0.3125,0.5625,pre_rope_key,0.00849455902650725
,0.015718642544083405,1,representation,Hidden-state mean,0.27547682734952955,-0.11734015760815486,-0.00985748575647358,0.75,0.4375,0.5,attention_input_hidden_state,-0.020964368682220028
,0.015718642544083405,1,representation,Centered-RoPE mean,0.16777100615543844,0.5208781630681565,0.8421314410070688,0.4375,0.1875,0.3125,centered_rope_key,0.5674395503584857
,0.015718642544083405,1,centered_segment,Centered G=1,0.16777100615543844,0.5208781630681565,0.8421314410070688,0.4375,0.1875,0.3125,centered_rope_key,0.5674395503584857
,0.03143214613075849,2,centered_segment,Centered G=2,0.133808651296481,0.6015144675329448,0.8827032898823799,0.25,0.125,0.25,centered_rope_key,0.5878585824892814
,0.06282608452103988,4,centered_segment,Centered G=4,0.13921967529201398,0.7094799439129928,0.8649894622197402,0.4375,0.25,0.3125,centered_rope_key,0.5572668237323135
,0.12561396130160263,8,centered_segment,Centered G=8,0.17951723050338056,0.8738983058033108,0.7818646790765342,0.5,0.25,0.3125,centered_rope_key,0.45501102062959653
exact,0.015721830328467752,1,fractional_control,exact,0.1540662360247527,,,0.375,0.125,0.125,centered_rope_key,0.6126596985667995
floor,0.015721830328467752,1,fractional_control,floor,0.15002905577716916,,,0.25,0.125,0.125,centered_rope_key,0.6144421613294748
ceil,0.015721830328467752,1,fractional_control,ceil,0.15557427092497841,,,0.375,0.125,0.125,centered_rope_key,0.6098517764204547
