active_kv_bytes,all_evidence_recall,any_evidence_recall,candidate_gists,center_policy,dataset,examples,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,mrr,native_token_max_rank_correlation,native_token_max_score_correlation,native_token_mean_rank_correlation,native_token_mean_score_correlation,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
363008.0,0.0,0.375,52.375,exact,hotpotqa,8,0.015777304276643152,1,segment_mean,0.05938917126801041,0.16666666666666666,88.625,1.0,0.7867237588491011,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.007420687499688938,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.05938917126801041,0.16666666666666666,3,5.1394500042079015e-05,0.005635457500466145,0.375
494080.0,0.25,0.625,52.375,exact,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.22916666666666666,120.625,1.0,0.6784680037441508,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.007420687499688938,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.1583711233813611,0.4583333333333333,8,5.239749996690079e-05,0.001894052499847021,0.625
494080.0,0.75,0.875,52.375,exact,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.22916666666666666,120.625,1.0,0.6734846719473098,0.32309611344537814,0.4590008750128196,0.3877467303683728,0.7816983772662405,0.8094337933985056,0.007420687499688938,0.125,0.875,0.375,0.625,32,centered_rope_key,0.5073346240597181,0.3167422467627222,0.8125,16,4.304349989979528e-05,0.0018346775003010407,0.875
385536.0,0.0,0.25,104.75,exact,hotpotqa,8,0.031554608553286304,2,segment_mean,0.05938917126801041,0.10416666666666666,94.125,2.0,0.722317089774003,0.24715434419381788,0.5751394565518053,0.4884156077918133,0.8519310482418747,0.8615677451911115,0.005097537494293647,0.125,0.5,0.25,0.5,32,centered_rope_key,0.548138734441552,0.05938917126801041,0.10416666666666666,3,5.128599994350225e-05,0.002307117500458844,0.125
516608.0,0.125,0.5,104.75,exact,hotpotqa,8,0.031554608553286304,2,segment_mean,0.07918556169068056,0.10416666666666666,126.125,2.0,0.6990153051853856,0.24715434419381788,0.5751394565518053,0.4884156077918133,0.8519310482418747,0.8615677451911115,0.005097537494293647,0.125,0.5,0.25,0.5,32,centered_rope_key,0.548138734441552,0.1583711233813611,0.2916666666666667,8,4.7477999760303644e-05,0.0021478524991835,0.375
516608.0,0.375,0.5,104.75,exact,hotpotqa,8,0.031554608553286304,2,segment_mean,0.07918556169068056,0.10416666666666666,126.125,2.0,0.6853876339770154,0.24715434419381788,0.5751394565518053,0.4884156077918133,0.8519310482418747,0.8615677451911115,0.005097537494293647,0.125,0.5,0.25,0.5,32,centered_rope_key,0.548138734441552,0.3167422467627222,0.4583333333333333,16,5.3997499926481395e-05,0.002232324999204138,0.5
362496.0,0.0,0.375,209.25,exact,hotpotqa,8,0.06304307954043505,4,segment_mean,0.05938917126801041,0.16666666666666666,88.5,3.9958333333333336,0.6719167819292196,0.22111782212885153,0.6996277550662909,0.5989534128251064,0.8261664090244483,0.8475154795179803,0.004214162501739338,0.0,0.75,0.375,0.5,32,centered_rope_key,0.5083801838075775,0.05938917126801041,0.16666666666666666,3,5.957549990853294e-05,0.0032827075017848985,0.25
493568.0,0.0,0.5,209.25,exact,hotpotqa,8,0.06304307954043505,4,segment_mean,0.07918556169068056,0.16666666666666666,120.5,3.9958333333333336,0.6608253042318665,0.22111782212885153,0.6996277550662909,0.5989534128251064,0.8261664090244483,0.8475154795179803,0.004214162501739338,0.0,0.75,0.375,0.5,32,centered_rope_key,0.5083801838075775,0.1583711233813611,0.2708333333333333,8,5.3148500010138376e-05,0.0023235374996147585,0.5
493568.0,0.5,0.75,209.25,exact,hotpotqa,8,0.06304307954043505,4,segment_mean,0.07918556169068056,0.16666666666666666,120.5,3.9958333333333336,0.6545966560023636,0.22111782212885153,0.6996277550662909,0.5989534128251064,0.8261664090244483,0.8475154795179803,0.004214162501739338,0.0,0.75,0.375,0.5,32,centered_rope_key,0.5083801838075775,0.3167422467627222,0.6458333333333334,16,4.5898500102339315e-05,0.0022298024989140684,0.625
369664.0,0.0,0.5,418.25,exact,hotpotqa,8,0.12602002151473252,8,segment_mean,0.05938917126801041,0.22916666666666666,90.25,7.9875,0.6739954716675979,0.3296296296296296,0.8707636305975948,0.8045438324914771,0.731903926906099,0.7170435365559483,0.003730174998054281,0.125,0.875,0.5,0.625,32,centered_rope_key,0.37427106570717655,0.05938917126801041,0.22916666666666666,3,4.436449977220036e-05,0.0020917149995511863,0.375
500736.0,0.125,0.625,418.25,exact,hotpotqa,8,0.12602002151473252,8,segment_mean,0.07918556169068056,0.2916666666666667,122.25,7.9875,0.5861854678799715,0.3296296296296296,0.8707636305975948,0.8045438324914771,0.731903926906099,0.7170435365559483,0.003730174998054281,0.125,0.875,0.5,0.625,32,centered_rope_key,0.37427106570717655,0.1583711233813611,0.3958333333333333,8,4.6650000003864987e-05,0.001886057501542382,0.625
500736.0,0.375,0.875,418.25,exact,hotpotqa,8,0.12602002151473252,8,segment_mean,0.07918556169068056,0.2916666666666667,122.25,7.9875,0.5827597079638989,0.3296296296296296,0.8707636305975948,0.8045438324914771,0.731903926906099,0.7170435365559483,0.003730174998054281,0.125,0.875,0.5,0.625,32,centered_rope_key,0.37427106570717655,0.3167422467627222,0.6458333333333334,16,5.5038000136846674e-05,0.0021632475007208997,0.75
384512.0,0.0,0.0,151.875,exact,qasper,8,0.015659980811523658,1,segment_mean,0.020610307752003,0.0,93.875,1.0,0.878043134598255,0.012445898865498753,0.5827554511234933,0.5689463810681613,0.9025645047478972,0.9229501733612344,0.002778437497909181,0.0,0.0,0.0,0.0,32,centered_rope_key,0.6275444766572533,0.020610307752003,0.0,3,5.558950026170351e-05,0.0020369249999930617,0.0
513536.0,0.0,0.0,151.875,exact,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.0,125.375,1.0,0.844904612323203,0.012445898865498753,0.5827554511234933,0.5689463810681613,0.9025645047478972,0.9229501733612344,0.002778437497909181,0.0,0.0,0.0,0.0,32,centered_rope_key,0.6275444766572533,0.054960820672008,0.0,8,5.23520000569988e-05,0.002020289999200031,0.0
513536.0,0.0,0.0,151.875,exact,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.0,125.375,1.0,0.8059923726444844,0.012445898865498753,0.5827554511234933,0.5689463810681613,0.9025645047478972,0.9229501733612344,0.002778437497909181,0.0,0.0,0.0,0.0,32,centered_rope_key,0.6275444766572533,0.109921641344016,0.0,16,5.031199994846247e-05,0.0019540699999197387,0.0
