active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,candidate_gists,center_policy,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,median_selected_normalized_position,mrr,native_token_max_score_correlation,native_token_mean_score_correlation,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
524288,0.0,0.0,11,61,61,ceil,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,mean,0.06557377049180328,0.0,128,1.0,0.5874101181304571,0.6738572162300975,0.09090909090909091,0.39898412524029403,0.8058466571809713,0.0030861999839544296,0.0,1.0,0.0,0.0,32,124928,centered_rope_key,0.4541566086032802,20260811,8,0.13114754098360656,1947,0.0,8,8.764799917116761e-05,0.0028330200002528727,0.0
524288,0.0,1.0,11,61,61,ceil,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,mean,0.06557377049180328,0.0,128,1.0,0.6285792244478685,0.6738572162300975,0.09090909090909091,0.39898412524029403,0.8058466571809713,0.0030861999839544296,0.0,1.0,0.0,0.0,32,124928,centered_rope_key,0.4541566086032802,20260811,16,0.26229508196721313,1947,0.5,16,6.525999982841313e-05,0.0022263000020757316,0.0
393216,0.0,0.0,126,167,167,ceil,3,393216,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.017964071856287425,0.0,96,1.0,0.9501686024728363,0.9861371300112401,0.007936507936507936,0.6341381339871949,0.9554825092593427,0.004260899993823841,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7759281571160856,20260811,3,0.017964071856287425,5338,0.0,3,3.963200026191771e-05,0.002620039996691048,0.0
524288,0.0,0.0,126,167,167,ceil,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.023952095808383235,0.0,128,1.0,0.9156987635818659,0.9052079430498314,0.007936507936507936,0.6341381339871949,0.9554825092593427,0.004260899993823841,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7759281571160856,20260811,8,0.04790419161676647,5338,0.0,8,5.824399995617569e-05,0.001924619998317212,0.0
524288,0.0,0.0,126,167,167,ceil,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,mean,0.023952095808383235,0.0,128,1.0,0.9077955226676658,0.8992131884600973,0.007936507936507936,0.6341381339871949,0.9554825092593427,0.004260899993823841,0.0,0.0,0.0,0.0,32,342016,centered_rope_key,0.7759281571160856,20260811,16,0.09580838323353294,5338,0.0,16,4.560000030323863e-05,0.002364079997641966,0.0
393216,0.0,0.0,98,182,182,ceil,3,393216,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.016483516483516484,0.0,96,1.0,0.8095811128302103,0.7949114663916108,0.01020408163265306,0.6612696504984724,0.953998240724976,0.012988700007554144,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8138212329881007,20260811,3,0.016483516483516484,5817,0.0,3,7.188000017777085e-05,0.0029985000030137597,0.0
524288,0.0,0.0,98,182,182,ceil,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.02197802197802198,0.0,128,1.0,0.8526731992435963,0.8691765514870209,0.01020408163265306,0.6612696504984724,0.953998240724976,0.012988700007554144,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8138212329881007,20260811,8,0.04395604395604396,5817,0.0,8,4.285199916921556e-05,0.0020481200015638025,0.0
524288,0.0,0.0,98,182,182,ceil,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,mean,0.02197802197802198,0.0,128,1.0,0.8770844077703284,0.9021832559738697,0.01020408163265306,0.6612696504984724,0.953998240724976,0.012988700007554144,0.0,0.0,0.0,0.0,32,372736,centered_rope_key,0.8138212329881007,20260811,16,0.08791208791208792,5817,0.0,16,3.891199943609536e-05,0.0022642800002358856,0.0
393216,0.0,0.0,127,180,180,ceil,3,393216,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.016666666666666666,0.0,96,1.0,0.944995073320582,0.9375760737263085,0.007874015748031496,0.6863529379243869,0.9730111875645219,0.0022444000060204417,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8206836531399995,20260811,3,0.016666666666666666,5751,0.0,3,5.957199959084392e-05,0.0021944999985862522,0.0
524288,0.0,0.0,127,180,180,ceil,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.022222222222222223,0.0,128,1.0,0.9069727003999305,0.9181011997913406,0.007874015748031496,0.6863529379243869,0.9730111875645219,0.0022444000060204417,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8206836531399995,20260811,8,0.044444444444444446,5751,0.0,8,4.6307999873533845e-05,0.0020174400007817892,0.0
524288,0.0,0.0,127,180,180,ceil,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,mean,0.022222222222222223,0.0,128,1.0,0.9038428099460963,0.9181011997913406,0.007874015748031496,0.6863529379243869,0.9730111875645219,0.0022444000060204417,0.0,0.0,0.0,0.0,32,368640,centered_rope_key,0.8206836531399995,20260811,16,0.08888888888888889,5751,0.0,16,5.521200015209615e-05,0.0018285600002855063,0.0
376832,0.0,0.0,67,122,122,ceil,3,376832,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.02459016393442623,0.0,92,1.0,0.9393162393162392,0.9312820512820513,0.014925373134328358,0.4635974941881647,0.9020750350090192,0.0025640999956522137,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4950705539550112,20260811,3,0.02459016393442623,3900,0.0,3,3.8592000491917134e-05,0.0019657399971038103,0.0
507904,0.0,0.0,67,122,122,ceil,4,507904,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.03278688524590164,0.0,124,1.0,0.8153205128205129,0.9394871794871795,0.014925373134328358,0.4635974941881647,0.9020750350090192,0.0025640999956522137,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4950705539550112,20260811,8,0.06557377049180328,3900,0.0,8,5.266399937681854e-05,0.0019751399988308547,0.0
507904,0.0,0.0,67,122,122,ceil,4,507904,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,mean,0.03278688524590164,0.0,124,1.0,0.7809935897435898,0.918974358974359,0.014925373134328358,0.4635974941881647,0.9020750350090192,0.0025640999956522137,0.0,0.0,0.0,0.0,32,249856,centered_rope_key,0.4950705539550112,20260811,16,0.13114754098360656,3900,0.0,16,3.949599922634661e-05,0.0033044999989215286,0.0
