dataset,condition,examples,gold_mean_token_logprob,delta_vs_no_context,gold_first_token_rank,gold_first_token_margin,f1,em,context_complete_fraction
hotpotqa,exact_evidence,4,-3.368145540356636,4.6346713453531265,318.5,-7.578125,0.125,0.0,1.0
hotpotqa,full_context,4,-4.232032284140587,3.7707846015691757,231.0,-8.7109375,,,1.0
hotpotqa,no_context,4,-8.002816885709763,0.0,886.75,-11.81640625,0.05555555555555556,0.0,1.0
hotpotqa,oracle_all,4,-8.76924979686737,-0.766432911157608,27423.25,-17.8828125,0.0,0.0,1.0
hotpotqa,oracle_last_half,4,-4.362078055739403,3.64073882997036,134.25,-6.966796875,0.05555555555555556,0.0,1.0
hotpotqa,parent_paragraphs,4,-2.428542584180832,5.574274301528931,8.75,-5.734375,0.125,0.0,1.0
qasper,exact_evidence,4,-8.971986055374146,-1.791483998298645,21.5,-8.513671875,0.0,0.0,1.0
qasper,no_context,4,-7.1805020570755005,0.0,11.0,-6.7734375,0.125,0.0,1.0
qasper,oracle_all,4,-14.672621965408325,-7.492119908332825,13303.75,-14.04296875,0.0,0.0,1.0
qasper,oracle_last_half,4,-7.108079671859741,0.07242238521575928,28.5,-6.189453125,0.1,0.0,1.0
qasper,parent_paragraphs,4,-8.971986055374146,-1.791483998298645,21.5,-8.513671875,0.0,0.0,1.0
