dataset,condition,layer,evidence_mass,distractor_mass,local_mass,attention_entropy,counterfactual_evidence_mass,counterfactual_entropy,top_evidence_weight,counterfactual_top_evidence_weight
hotpotqa,oracle_last_half,14,0.1984401281370083,0.26187331206165254,0.5396791924722493,2.247312835417688,0.24892739236383932,2.0183833106420934,0.1288854310005263,0.15570080139877973
hotpotqa,oracle_last_half,15,0.2501275285612792,0.3038525718729943,0.4460164699703455,2.631257211789489,0.34206223709043115,2.3145235991105437,0.1294135653297417,0.16373720175761264
hotpotqa,oracle_last_half,16,0.2028751059260685,0.2573330918094143,0.5397971030324697,2.3276851158589125,0.2539739860148984,2.0509799453429878,0.1283224364869966,0.15629618271304935
hotpotqa,oracle_last_half,17,0.20482148067094386,0.25810663611628115,0.5370786893181503,2.731762308627367,0.2592537316813832,2.464038367383182,0.09035709602176212,0.10815370158888982
hotpotqa,oracle_last_half,18,0.22636711913946783,0.30606191605329514,0.4675522707402706,2.4170363508164883,0.2967286171478918,2.1043259715661407,0.12366693453532207,0.15249064445924887
hotpotqa,oracle_last_half,19,0.22442196369956946,0.3093041689135134,0.4662686693482101,2.1090735299512744,0.2817188473454735,1.7656484949402511,0.14248158825239443,0.1724278210558623
hotpotqa,oracle_last_half,20,0.21927908743236912,0.303175981156528,0.4775446495041251,1.9520843094214797,0.2719187148322817,1.6390545568428934,0.15316508178784716,0.183426091331512
hotpotqa,oracle_last_half,21,0.22298531128762988,0.33281268016435206,0.44420762825757265,1.7170607196167111,0.28200155494050705,1.3628036235459149,0.17371567126792797,0.21277846821340063
hotpotqa,oracle_last_half,22,0.2226367446455697,0.3445563823916018,0.4328080960549414,1.7899992102757096,0.28233722680670326,1.4059288818389177,0.16201084552949396,0.1987470231260886
hotpotqa,oracle_last_half,23,0.2052635501495388,0.3370396485552192,0.4577091811224818,1.6161279072985053,0.256084412423661,1.2139116994803771,0.1630764436458776,0.19883958319132944
hotpotqa,oracle_last_half,24,0.21216911821829854,0.33459725324064493,0.45323688443750143,1.708304438740015,0.2665683905725018,1.3084728720132262,0.15467950368974925,0.1905816424641671
hotpotqa,oracle_last_half,25,0.21483694332710002,0.32621468836441636,0.4589473051019013,1.7043423252180219,0.2668789396775537,1.3582102045184001,0.16275895201852109,0.1953487074270015
hotpotqa,oracle_last_half,26,0.21653105062432587,0.3161941086873412,0.46727894619107246,1.864926098845899,0.2781341595691629,1.518528231419623,0.15261789058331487,0.1887124909371778
hotpotqa,oracle_last_half,27,0.26346061048388947,0.3523413338698447,0.38419780880212784,1.8089957246556878,0.3526217787875794,1.4354396883863956,0.1683711777877761,0.21189881096506724
qasper,oracle_last_half,14,0.5205891719087958,0.013060105964541435,0.4663622360676527,2.4881080435588956,0.527331605553627,2.4283471908420324,0.21242713928222656,0.2152447197586298
qasper,oracle_last_half,15,0.5517508313059807,0.03913587983697653,0.40911556500941515,2.881080439314246,0.5735299678053707,2.765702186152339,0.1876157522201538,0.19449614720360842
qasper,oracle_last_half,16,0.46973593067377806,0.0202145641669631,0.5100455861538649,2.5130149759352207,0.47759297117590904,2.447869303636253,0.18609410524368286,0.1884663077071309
qasper,oracle_last_half,17,0.4695022515952587,0.03747822996228933,0.4930225592106581,3.3965530153363943,0.4853046501521021,3.2741024047136307,0.11768877506256104,0.12251931325590704
qasper,oracle_last_half,18,0.5452606854960322,0.027108920738101006,0.42765794415026903,2.7290287939831614,0.5599089609459043,2.6429556254297495,0.19532322883605957,0.19915134098846465
qasper,oracle_last_half,19,0.575531167909503,0.033656478859484196,0.39081780798733234,2.7718351362273097,0.5932042887434363,2.6751878866925836,0.20046329498291016,0.20595980680081993
qasper,oracle_last_half,20,0.5767868626862764,0.020725023932754993,0.4024978158995509,2.5393895441666245,0.5877897271420807,2.459244160912931,0.22246074676513672,0.2269572498043999
qasper,oracle_last_half,21,0.6003095079213381,0.025186944752931595,0.37448385544121265,2.7414870467036963,0.6144158146344125,2.650414200499654,0.22139453887939453,0.2263488596654497
qasper,oracle_last_half,22,0.6359965540468693,0.026668104343116283,0.33733636140823364,2.480804200284183,0.6520346039906144,2.3834986137226224,0.2526540756225586,0.25867531017865986
qasper,oracle_last_half,23,0.5961016360670328,0.024869301356375217,0.3790311412885785,2.6120824553072453,0.6102321920916438,2.51976574677974,0.21381187438964844,0.21928893344011158
qasper,oracle_last_half,24,0.5877478942275047,0.03281990718096495,0.37942455243319273,2.65726141538471,0.6056436095386744,2.5531553644686937,0.2034626007080078,0.2113226163201034
qasper,oracle_last_half,25,0.5629226826131344,0.030379774048924446,0.4066890887916088,2.5299762822687626,0.5792418426135555,2.4251243490725756,0.20794963836669922,0.21496095485053957
