dataset,example_id,layer,tokens,post_k_max_abs_error,v_max_abs_error,post_k_cosine,v_cosine
hotpotqa,5adc3aff5542996e685252eb,0,97,0.0,0.0,1.0000176429748535,0.9999982118606567
hotpotqa,5adc3aff5542996e685252eb,1,97,0.0,0.0,1.0000139474868774,0.9999975562095642
hotpotqa,5adc3aff5542996e685252eb,2,97,0.0,0.0,1.000009298324585,0.9999962449073792
hotpotqa,5adc3aff5542996e685252eb,3,97,0.0,0.0,1.0000050067901611,0.9999958276748657
hotpotqa,5adc3aff5542996e685252eb,4,97,0.0,0.0,1.000004768371582,0.999996542930603
hotpotqa,5adc3aff5542996e685252eb,5,97,0.0,0.0,1.0000050067901611,0.9999966621398926
hotpotqa,5adc3aff5542996e685252eb,6,97,0.0,0.0,1.0000042915344238,0.9999973773956299
hotpotqa,5adc3aff5542996e685252eb,7,97,0.0,0.0,1.0000059604644775,0.9999954700469971
hotpotqa,5adc3aff5542996e685252eb,8,97,0.0,0.0,0.9999998807907104,0.9999979734420776
hotpotqa,5adc3aff5542996e685252eb,9,97,0.0,0.0,1.0000011920928955,0.9999972581863403
hotpotqa,5adc3aff5542996e685252eb,10,97,0.0,0.0,1.0000038146972656,0.9999966621398926
hotpotqa,5adc3aff5542996e685252eb,11,97,0.0,0.0,0.9999977946281433,0.9999976754188538
hotpotqa,5adc3aff5542996e685252eb,12,97,0.0,0.0,1.0000025033950806,0.9999995231628418
hotpotqa,5adc3aff5542996e685252eb,13,97,0.0,0.0,0.9999985694885254,0.9999988675117493
hotpotqa,5adc3aff5542996e685252eb,14,97,0.0,0.0,0.9999997615814209,0.9999996423721313
hotpotqa,5adc3aff5542996e685252eb,15,97,0.0,0.0,1.000003457069397,0.9999977350234985
hotpotqa,5adc3aff5542996e685252eb,16,97,0.0,0.0,0.9999988079071045,0.9999964237213135
hotpotqa,5adc3aff5542996e685252eb,17,97,0.0,0.0,1.0000008344650269,0.9999957084655762
hotpotqa,5adc3aff5542996e685252eb,18,97,0.0,0.0,0.9999982714653015,0.9999964237213135
hotpotqa,5adc3aff5542996e685252eb,19,97,0.0,0.0,0.9999977350234985,0.9999980330467224
hotpotqa,5adc3aff5542996e685252eb,20,97,0.0,0.0,0.9999994039535522,0.9999967813491821
hotpotqa,5adc3aff5542996e685252eb,21,97,0.0,0.0,1.0000016689300537,0.9999969601631165
hotpotqa,5adc3aff5542996e685252eb,22,97,0.0,0.0,0.9999985098838806,0.9999964237213135
hotpotqa,5adc3aff5542996e685252eb,23,97,0.0,0.0,0.9999986886978149,0.9999968409538269
hotpotqa,5adc3aff5542996e685252eb,24,97,0.0,0.0,1.0000020265579224,0.999996542930603
hotpotqa,5adc3aff5542996e685252eb,25,97,0.0,0.0,1.0000019073486328,0.999996542930603
hotpotqa,5adc3aff5542996e685252eb,26,97,0.0,0.0,0.9999996423721313,0.9999967217445374
hotpotqa,5adc3aff5542996e685252eb,27,97,0.0,0.0,0.9999991059303284,0.9999954700469971
hotpotqa,5ab56db7554299494045efc6,0,128,0.0,0.0,1.0000261068344116,1.0
hotpotqa,5ab56db7554299494045efc6,1,128,0.0,0.0,1.0000154972076416,0.9999960660934448
hotpotqa,5ab56db7554299494045efc6,2,128,0.0,0.0,1.0000239610671997,0.9999969005584717
hotpotqa,5ab56db7554299494045efc6,3,128,0.0,0.0,1.0000165700912476,0.9999954700469971
hotpotqa,5ab56db7554299494045efc6,4,128,0.0,0.0,1.0000081062316895,0.9999958276748657
hotpotqa,5ab56db7554299494045efc6,5,128,0.0,0.0,1.000010371208191,0.9999948740005493
hotpotqa,5ab56db7554299494045efc6,6,128,0.0,0.0,1.0000104904174805,0.9999959468841553
hotpotqa,5ab56db7554299494045efc6,7,128,0.0,0.0,1.0000078678131104,0.9999953508377075
hotpotqa,5ab56db7554299494045efc6,8,128,0.0,0.0,0.9999997615814209,0.999997615814209
