dataset,example_id,encoding_block_tokens,oracle_last_half_delta_vs_no_context,late_pre_k_cosine,late_post_k_cosine,late_v_cosine,materialized_parent_spans
hotpotqa,5adc3aff5542996e685252eb,32,2.985452175140381,0.9302227624825069,0.8018894749028342,0.8753132607255664,"[[512, 544], [544, 576], [1184, 1216], [1216, 1217]]"
hotpotqa,5adc3aff5542996e685252eb,64,3.2574920654296875,0.9471231869288853,0.8140733965805599,0.9050111472606659,"[[512, 544], [544, 576], [1184, 1216], [1216, 1217]]"
hotpotqa,5adc3aff5542996e685252eb,128,3.3258299827575684,0.9470910429954529,0.8140416485922677,0.9049846019063678,"[[512, 544], [544, 576], [1184, 1216], [1216, 1217]]"
hotpotqa,5adc3aff5542996e685252eb,256,3.5475573539733887,0.9153236661638532,0.7811073916299003,0.8772509098052979,"[[512, 544], [544, 576], [1184, 1216], [1216, 1217]]"
hotpotqa,5adc3aff5542996e685252eb,512,3.5475573539733887,0.9153236661638532,0.7811073916299003,0.8772509098052979,"[[512, 544], [544, 576], [1184, 1216], [1216, 1217]]"
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,32,0.9079289436340332,0.9217866957187653,0.8670018315315247,0.8762043246201107,"[[0, 32], [32, 64], [64, 96]]"
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,64,0.6103973388671875,0.9605456803526197,0.9058881061417716,0.9359261819294521,"[[0, 32], [32, 64], [64, 96]]"
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,128,0.23498916625976562,0.9821004356656756,0.9261890266622815,0.9597791305610112,"[[0, 32], [32, 64], [64, 96]]"
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,256,0.22994709014892578,0.9821069921766009,0.9261948636599949,0.9597700110503605,"[[0, 32], [32, 64], [64, 96]]"
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,512,0.22994709014892578,0.9821069921766009,0.9261948636599949,0.9597700110503605,"[[0, 32], [32, 64], [64, 96]]"
