dataset,condition,layer,relative_l2_delta,cosine_distance
qasper,oracle_last_half,4,0.0,-8.940696716308594e-08
qasper,oracle_last_half,5,0.0,-4.470348358154297e-08
qasper,oracle_last_half,6,0.0,5.960464477539063e-08
qasper,oracle_last_half,7,0.0,1.341104507446289e-07
qasper,oracle_last_half,8,0.0,-4.470348358154297e-08
qasper,oracle_last_half,9,0.0,7.450580596923828e-08
qasper,oracle_last_half,10,0.0,8.940696716308594e-08
qasper,oracle_last_half,11,0.0,1.341104507446289e-07
qasper,oracle_last_half,12,0.0,1.6391277313232422e-07
qasper,oracle_last_half,13,0.0,2.2351741790771484e-07
qasper,oracle_last_half,14,0.08904154412448406,0.003672167658805847
qasper,oracle_last_half,15,0.15503639355301857,0.011517852544784546
qasper,oracle_last_half,16,0.1831464245915413,0.016982942819595337
qasper,oracle_last_half,17,0.27725033089518547,0.03979314863681793
qasper,oracle_last_half,18,0.311400443315506,0.050214022397994995
qasper,oracle_last_half,19,0.3338210955262184,0.05783155560493469
qasper,oracle_last_half,20,0.32274030148983,0.054072633385658264
qasper,oracle_last_half,21,0.3206915333867073,0.05240991711616516
qasper,oracle_last_half,22,0.3068816810846329,0.046934738755226135
qasper,oracle_last_half,23,0.29266592860221863,0.04333268105983734
qasper,oracle_last_half,24,0.293681338429451,0.04400724172592163
qasper,oracle_last_half,25,0.2827197015285492,0.041178226470947266
qasper,oracle_last_half,26,0.280181884765625,0.039933010935783386
qasper,oracle_last_half,27,0.6018860340118408,0.14585919678211212
