dataset,condition,layer,relative_l2_delta,cosine_distance
hotpotqa,oracle_all,0,0.2433473877608776,0.035282060503959656
hotpotqa,oracle_all,1,0.2851557992398739,0.04671171307563782
hotpotqa,oracle_all,2,0.3356497399508953,0.06572036445140839
hotpotqa,oracle_all,3,0.4378153756260872,0.1036691963672638
hotpotqa,oracle_all,4,0.5323512405157089,0.14961916208267212
hotpotqa,oracle_all,5,0.8784000277519226,0.3651943951845169
hotpotqa,oracle_all,6,0.7381558567285538,0.28282783925533295
hotpotqa,oracle_all,7,0.8264885395765305,0.36289002001285553
hotpotqa,oracle_all,8,0.8232121020555496,0.3366653621196747
hotpotqa,oracle_all,9,0.8068293780088425,0.31572507321834564
hotpotqa,oracle_all,10,0.787108913064003,0.32514166831970215
hotpotqa,oracle_all,11,0.7565336674451828,0.2755401134490967
hotpotqa,oracle_all,12,0.7089911103248596,0.2684379667043686
hotpotqa,oracle_all,13,0.7276142835617065,0.26416465640068054
hotpotqa,oracle_all,14,0.6747573167085648,0.23008666932582855
hotpotqa,oracle_all,15,0.7092335820198059,0.27604518830776215
hotpotqa,oracle_all,16,0.7517653107643127,0.30112095177173615
hotpotqa,oracle_all,17,0.7314484119415283,0.2892642170190811
hotpotqa,oracle_all,18,0.7320054769515991,0.2918107658624649
hotpotqa,oracle_all,19,0.7184431701898575,0.2701416015625
hotpotqa,oracle_all,20,0.6684253662824631,0.238198384642601
hotpotqa,oracle_all,21,0.6351049989461899,0.2093532532453537
hotpotqa,oracle_all,22,0.5800892636179924,0.17578551173210144
hotpotqa,oracle_all,23,0.5389422923326492,0.1532374918460846
hotpotqa,oracle_all,24,0.5162002295255661,0.1394544541835785
hotpotqa,oracle_all,25,0.4736020192503929,0.11809475719928741
hotpotqa,oracle_all,26,0.47741203010082245,0.12041962146759033
hotpotqa,oracle_all,27,0.8692873269319534,0.3540302962064743
hotpotqa,oracle_last_half,0,0.0,0.0
hotpotqa,oracle_last_half,1,0.0,-8.940696716308594e-08
hotpotqa,oracle_last_half,2,0.0,7.450580596923828e-08
hotpotqa,oracle_last_half,3,0.0,1.341104507446289e-07
hotpotqa,oracle_last_half,4,0.0,1.1920928955078125e-07
hotpotqa,oracle_last_half,5,0.0,1.043081283569336e-07
hotpotqa,oracle_last_half,6,0.0,2.9802322387695312e-08
hotpotqa,oracle_last_half,7,0.0,2.086162567138672e-07
hotpotqa,oracle_last_half,8,0.0,1.7881393432617188e-07
hotpotqa,oracle_last_half,9,0.0,-4.470348358154297e-08
hotpotqa,oracle_last_half,10,0.0,5.960464477539063e-08
hotpotqa,oracle_last_half,11,0.0,1.6391277313232422e-07
hotpotqa,oracle_last_half,12,0.0,1.4901161193847656e-07
hotpotqa,oracle_last_half,13,0.0,1.341104507446289e-07
hotpotqa,oracle_last_half,14,0.07064236141741276,0.002273470163345337
hotpotqa,oracle_last_half,15,0.12491972371935844,0.00763489305973053
hotpotqa,oracle_last_half,16,0.1563114318996668,0.012390851974487305
hotpotqa,oracle_last_half,17,0.18743238598108292,0.018000200390815735
hotpotqa,oracle_last_half,18,0.20683160051703453,0.021984145045280457
hotpotqa,oracle_last_half,19,0.21153303608298302,0.022696077823638916
hotpotqa,oracle_last_half,20,0.21410512551665306,0.023236677050590515
hotpotqa,oracle_last_half,21,0.21617847681045532,0.023682206869125366
hotpotqa,oracle_last_half,22,0.20646172016859055,0.02169986069202423
hotpotqa,oracle_last_half,23,0.19808022677898407,0.01982422173023224
hotpotqa,oracle_last_half,24,0.19171836972236633,0.018533572554588318
hotpotqa,oracle_last_half,25,0.18543509766459465,0.017696276307106018
hotpotqa,oracle_last_half,26,0.19556612521409988,0.019318625330924988
hotpotqa,oracle_last_half,27,0.540681317448616,0.11760319769382477
qasper,oracle_all,0,0.37434501573443413,0.07765820622444153
qasper,oracle_all,1,0.4113995134830475,0.09232974052429199
qasper,oracle_all,2,0.48298773169517517,0.12915654480457306
qasper,oracle_all,3,0.5383839756250381,0.16487379372119904
qasper,oracle_all,4,0.6506960839033127,0.22529567778110504
qasper,oracle_all,5,0.7836175262928009,0.339533269405365
qasper,oracle_all,6,0.737187385559082,0.2884466052055359
qasper,oracle_all,7,0.7816799730062485,0.3608033210039139
qasper,oracle_all,8,0.8384142816066742,0.40465304255485535
qasper,oracle_all,9,0.8368961066007614,0.39480237662792206
qasper,oracle_all,10,0.7852270156145096,0.35020993649959564
qasper,oracle_all,11,0.7929480969905853,0.34467726945877075
qasper,oracle_all,12,0.7513154149055481,0.3227809965610504
qasper,oracle_all,13,0.7825107425451279,0.33134785294532776
qasper,oracle_all,14,0.7723172605037689,0.3262324631214142
qasper,oracle_all,15,0.8114499747753143,0.38049013912677765
qasper,oracle_all,16,0.8345008939504623,0.3956659138202667
qasper,oracle_all,17,0.895742803812027,0.450839564204216
qasper,oracle_all,18,0.9060655534267426,0.48607051372528076
qasper,oracle_all,19,0.8767045587301254,0.4442954659461975
qasper,oracle_all,20,0.8243705332279205,0.39285367727279663
qasper,oracle_all,21,0.8564746826887131,0.3934303969144821
qasper,oracle_all,22,0.7920051217079163,0.3405747711658478
qasper,oracle_all,23,0.741812527179718,0.2980504482984543
qasper,oracle_all,24,0.7404084354639053,0.29920582473278046
qasper,oracle_all,25,0.7078827917575836,0.2848547548055649
qasper,oracle_all,26,0.7080373018980026,0.27842792868614197
qasper,oracle_all,27,1.2449660450220108,0.6773488074541092
qasper,oracle_last_half,0,0.0,1.7881393432617188e-07
qasper,oracle_last_half,1,0.0,2.086162567138672e-07
qasper,oracle_last_half,2,0.0,1.4901161193847656e-07
qasper,oracle_last_half,3,0.0,1.4901161193847656e-08
