active_detail_bytes,answer_quality_publishable,answer_string_availability,candidate_count,completion_latency_ms,condition,document_recall_at_candidate_k,exact_match,examples,failure_counts,false_selected_document_fraction,gold_chunk_recall,ingestion_ms,itl_ms,itl_p50_ms,itl_p95_ms,kv_bytes,logical_candidate_tokens,materialization_avoidance,native_reuse,newly_materialized_tokens,official_multihop_rag_score,official_multihop_rag_score_ci95_high,official_multihop_rag_score_ci95_low,output_tokens_per_second,peak_memory_bytes,physical_context_tokens,prefill_ms,regime,requests_per_second,retained_detail_bytes,selected_native_kv_tokens,selector_profile,status,successful_examples,supporting_document_coverage,supporting_span_coverage,temporary_allocation_bytes,token_budget,token_f1,token_f1_ci95_high,token_f1_ci95_low,tokens_per_second,total_latency_ms,total_latency_ms_ci95_high,total_latency_ms_ci95_low,ttft_ms,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,visible_prompt_tokens,visible_reuse
0.0,True,0.8666666666666667,20,74.78047500286873,NO_PRA_STANDARD_RAG,1.0,0.0,15,"{""GENERATION_FAILURE"": 13, ""STANDARD_RAG_PACKING_MISS"": 2}",0.8157407407407408,0.2755555555555555,60.588914000739656,4.984788520054685,4.957597202155739,5.171035574749112,0.0,1165.2,0.8977586605261716,0.0,119.13333333333334,0.0,0.0,0.0,141.2096932737755,1260838510.6666667,119.13333333333334,99.63038339822863,COLD,5.746564757006566,0.0,0.0,standard_bm25,MEASURED,0,0.9333333333333333,0.0,261510560.66666666,128,0.1096969696969697,0.15494949494949495,0.06221717171717171,91.94503611210506,174.41085840109736,178.6138688107409,170.31505531156046,99.63038339822863,103.75555564232248,95.79064854672954,97.38079097587615,112.38979161134921,113.26175752910785,151.13333333333333,0.0
0.0,True,0.8666666666666667,20,74.66009159882863,NO_PRA_STANDARD_RAG,1.0,0.0,15,"{""GENERATION_FAILURE"": 13, ""STANDARD_RAG_PACKING_MISS"": 2}",0.8157407407407408,0.2755555555555555,60.60842498748874,4.976776666525337,4.9603111343458295,5.0606583307186765,0.0,1165.2,0.8977586605261716,0.0,119.13333333333334,0.0,0.0,0.0,139.21671386406058,1260838510.6666667,119.13333333333334,101.55671671576177,WARM,5.6891579121283105,0.0,0.0,standard_bm25,MEASURED,0,0.9333333333333333,0.0,261540328.66666666,128,0.1096969696969697,0.15494949494949495,0.06221717171717171,91.02652659405297,176.2168083145904,180.95107244618703,171.8757683453926,101.55671671576177,106.5109343934455,96.94683404639363,100.762958987616,118.36225006263703,119.76108360569924,151.13333333333333,0.0
,True,,20,,PRA_NATIVE_MEMORY_BUNDLE,,,15,"{""None"": 15}",,,,,,,,,,,,,,,,,,,COLD,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,128,,,,,,,,,,,,,,,
,True,,20,,PRA_NATIVE_MEMORY_BUNDLE,,,15,"{""None"": 15}",,,,,,,,,,,,,,,,,,,WARM,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,128,,,,,,,,,,,,,,,
13946060.8,True,0.7333333333333333,20,79.72055833476286,PRA_NATIVE_MEMORY_NO_ADAPTOR,1.0,0.0,15,"{""GENERATION_FAILURE"": 11, ""PRA_DISTRACTOR_SELECTION"": 4}",0.8351851851851853,0.2822222222222222,61.36038887392109,5.314218524274312,5.251433331674586,5.628199171818171,13946060.8,1165.2,0.8956326288381926,0.0,121.6,0.0,0.0,0.0,129.1379350308475,1262990275.6,121.6,106.4092416743127,COLD,5.392645907398656,13946060.8,121.6,pra_generic,MEASURED,0,0.8666666666666667,0.0,219511669.6,128,0.09227661227661228,0.13773115773115777,0.045803030303030304,86.28233451837849,186.12980000907555,192.8324429692778,180.50022450101096,106.4092416743127,111.59872575769744,101.4074755363011,103.37154095759615,120.68079191376454,125.21795842447318,32.0,0.0
13946060.8,True,0.7333333333333333,20,79.23060841082285,PRA_NATIVE_MEMORY_NO_ADAPTOR,1.0,0.0,15,"{""GENERATION_FAILURE"": 11, ""PRA_DISTRACTOR_SELECTION"": 4}",0.8351851851851853,0.2822222222222222,0.032019467713932194,5.281559640231232,5.246044466427217,5.4794797134430455,13946060.8,1165.2,0.8956326288381926,1.0,0.0,0.0,0.0,0.0,138.79650642775678,1165301682.0,121.6,36.38940006494522,WARM,8.672383725790409,13946060.8,121.6,pra_generic,MEASURED,0,0.8666666666666667,0.0,121823076.0,128,0.09227661227661228,0.13773115773115777,0.045803030303030304,138.75813961264654,115.62000847576807,118.7606289651012,112.68519631509358,36.38940006494522,39.7679372766288,33.40517785894917,32.08437602734193,46.089779463363804,49.55638947314583,32.0,0.0
,True,,20,,PRA_SELECTED_CONTEXT_BUNDLE,,,15,"{""None"": 15}",,,,,,,,,,,,,,,,,,,COLD,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,128,,,,,,,,,,,,,,,
,True,,20,,PRA_SELECTED_CONTEXT_BUNDLE,,,15,"{""None"": 15}",,,,,,,,,,,,,,,,,,,WARM,,,,bundle_exact_qualified,NO_QUALIFIED_ADAPTER,0,,,,128,,,,,,,,,,,,,,,
0.0,True,0.7333333333333333,20,76.13429172973458,PRA_SELECTED_CONTEXT_NO_ADAPTOR,1.0,0.0,15,"{""GENERATION_FAILURE"": 11, ""PRA_DISTRACTOR_SELECTION"": 4}",0.8351851851851853,0.2822222222222222,60.02083627972752,5.075015373683224,4.969277799439927,5.554715532343835,0.0,1165.2,0.8956326288381926,0.0,121.6,0.0,0.0,0.0,137.92427416382304,1265838908.2666667,121.6,100.52470853940274,COLD,5.675648065100201,0.0,0.0,pra_generic,MEASURED,0,0.8666666666666667,0.0,266510958.26666668,128,0.09227661227661228,0.13773115773115777,0.045803030303030304,90.81036904160321,176.65900026913732,181.335346805184,172.13242538826307,100.52470853940274,104.95663177057092,96.27273566691049,99.33550097048283,115.55671620299108,115.91684324317612,153.6,0.0
0.0,True,0.7333333333333333,20,74.32091659866273,PRA_SELECTED_CONTEXT_NO_ADAPTOR,1.0,0.0,15,"{""GENERATION_FAILURE"": 11, ""PRA_DISTRACTOR_SELECTION"": 4}",0.8351851851851853,0.2822222222222222,60.23817513293276,4.954223146713856,4.9471527997714775,5.065381954967354,0.0,1165.2,0.8956326288381926,0.0,121.6,0.0,0.0,0.0,138.42328362485512,1295199036.2666667,121.6,102.01601412457724,WARM,5.681784808703558,0.0,0.0,pra_generic,MEASURED,0,0.8666666666666667,0.0,266530621.73333332,128,0.09227661227661228,0.13773115773115777,0.045803030303030304,90.90855693925693,176.33693072324,180.37222067156108,172.43905908059483,102.01601412457724,106.12608854590992,97.97619174642023,100.85537598934025,114.10186616703868,115.01947318203747,153.6,0.0
