active_native_kv_tokens,condition,endpoint,index_backing_state,initial_visible_tokens,recovery_visible_tokens,retrieval_controller_calls,success_or_evidence
NOT_USED,HEADROOM_OFFICIAL_TUNED,"Paper7 task success; 18 identities, five controller seeds",0.5 KiB compressed index; retained CCR backing,123.8,0.0,1 model; 0 retrieval,83.3%
NOT_USED,PRA_TYPE_AWARE_COMPACT_ONLY,External exact-evidence diagnostic; 32 rows,25.2 KiB cheap indexes; exact backing retained,54.1,0.0,0,25.0%
NOT_USED; lazy native optional,PRA_TYPE_AWARE_AUTO_RECOVERY,External exact-evidence diagnostic; 32 rows,25.2 KiB cheap indexes; exact backing retained,54.1,106.6,1 automatic local search; 0 model decisions,71.9%
182.9,PRA_NATIVE,"Paper7 task success; 18 identities, five controller seeds",full native Q/K and detail K/V; bytes NOT_MEASURED in matched table,94.2,359.6,1 model; 1 automatic native route,83.3%
304.6,FULL_BACKING,"Paper7 task success; 18 identities, five controller seeds",exact full backing; resident bytes NOT_MEASURED in matched table,94.2,304.6,2 model passes; 1 full materialization,83.3%
