active_native_kv_tokens,cheap_index_bytes,condition,cost_axes_note,initial_visible_tokens,n,native_index_bytes,selected_region_tokens,task_success
0.0,0.0,FULL_BACKING,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",497.25,32,0,497.25,0.75
0.0,0.0,HEADROOM_OFFICIAL_DEFAULT,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",780.875,32,0,0.0,0.75
0.0,0.0,HEADROOM_OFFICIAL_TUNED,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",780.875,32,0,0.0,0.75
0.0,25754.75,PRA_CURRENT_COMPACTOR,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",180.8125,32,0,0.0,0.625
119.375,25754.75,PRA_FULL_HYBRID_ENVELOPE,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",54.0625,32,not_comparable,119.375,0.71875
0.0,25754.75,PRA_TYPE_AWARE,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",54.0625,32,0,0.0,0.25
0.0,25754.75,PRA_TYPE_AWARE_BM25,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",54.0625,32,0,86.0,0.65625
0.0,25754.75,PRA_TYPE_AWARE_BM25_EMBED,"visible tokens, selected tokens, active native K/V, and index bytes are separate axes",54.0625,32,0,106.625,0.71875
