example_id,dataset,seed,policy,depth,budget_fraction,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
5ab2b863554299295394685a,hotpotqa,11,one_shot,1,0.2,48,3,10,1,0.3333333333333333,0.1,0,0.20833333333333334,3.3333333333333335,0.7916666666666666,1.5999999999999999
5ab2b863554299295394685a,hotpotqa,11,oracle,1,0.2,48,3,3,3,1.0,1.0,1,0.0625,1.0,0.9375,16.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.2,48,3,10,0,0.0,0.0,0,0.20833333333333334,3.3333333333333335,0.7916666666666666,0.0
5ab2b863554299295394685a,hotpotqa,11,one_shot,1,0.3,48,3,15,1,0.3333333333333333,0.06666666666666667,0,0.3125,5.0,0.6875,1.0666666666666667
5ab2b863554299295394685a,hotpotqa,11,oracle,1,0.3,48,3,3,3,1.0,1.0,1,0.0625,1.0,0.9375,16.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.3,48,3,15,2,0.6666666666666666,0.13333333333333333,0,0.3125,5.0,0.6875,2.1333333333333333
5a710a915542994082a3e504,hotpotqa,11,one_shot,1,0.05,36,4,2,2,0.5,1.0,0,0.05555555555555555,0.5,0.9444444444444444,9.0
5a710a915542994082a3e504,hotpotqa,11,oracle,1,0.05,36,4,2,2,0.5,1.0,0,0.05555555555555555,0.5,0.9444444444444444,9.0
5a710a915542994082a3e504,hotpotqa,11,iterative,2,0.05,36,4,2,2,0.5,1.0,0,0.05555555555555555,0.5,0.9444444444444444,9.0
5a710a915542994082a3e504,hotpotqa,11,one_shot,1,0.1,36,4,4,3,0.75,0.75,0,0.1111111111111111,1.0,0.8888888888888888,6.75
5a710a915542994082a3e504,hotpotqa,11,oracle,1,0.1,36,4,4,4,1.0,1.0,1,0.1111111111111111,1.0,0.8888888888888888,9.0
5a710a915542994082a3e504,hotpotqa,11,iterative,2,0.1,36,4,4,2,0.5,0.5,0,0.1111111111111111,1.0,0.8888888888888888,4.5
5a710a915542994082a3e504,hotpotqa,11,one_shot,1,0.2,36,4,8,4,1.0,0.5,1,0.2222222222222222,2.0,0.7777777777777778,4.5
5a710a915542994082a3e504,hotpotqa,11,oracle,1,0.2,36,4,4,4,1.0,1.0,1,0.1111111111111111,1.0,0.8888888888888888,9.0
5a710a915542994082a3e504,hotpotqa,11,iterative,2,0.2,36,4,8,3,0.75,0.375,0,0.2222222222222222,2.0,0.7777777777777778,3.375
5a710a915542994082a3e504,hotpotqa,11,one_shot,1,0.3,36,4,11,4,1.0,0.36363636363636365,1,0.3055555555555556,2.75,0.6944444444444444,3.2727272727272725
5a710a915542994082a3e504,hotpotqa,11,oracle,1,0.3,36,4,4,4,1.0,1.0,1,0.1111111111111111,1.0,0.8888888888888888,9.0
5a710a915542994082a3e504,hotpotqa,11,iterative,2,0.3,36,4,11,4,1.0,0.36363636363636365,1,0.3055555555555556,2.75,0.6944444444444444,3.2727272727272725
5adc93a4554299438c868e01,hotpotqa,11,one_shot,1,0.05,38,5,2,1,0.2,0.5,0,0.05263157894736842,0.4,0.9473684210526316,3.8000000000000003
5adc93a4554299438c868e01,hotpotqa,11,oracle,1,0.05,38,5,2,2,0.4,1.0,0,0.05263157894736842,0.4,0.9473684210526316,7.6000000000000005
5adc93a4554299438c868e01,hotpotqa,11,iterative,2,0.05,38,5,2,0,0.0,0.0,0,0.05263157894736842,0.4,0.9473684210526316,0.0
5adc93a4554299438c868e01,hotpotqa,11,one_shot,1,0.1,38,5,4,1,0.2,0.25,0,0.10526315789473684,0.8,0.8947368421052632,1.9000000000000001
5adc93a4554299438c868e01,hotpotqa,11,oracle,1,0.1,38,5,4,4,0.8,1.0,0,0.10526315789473684,0.8,0.8947368421052632,7.6000000000000005
5adc93a4554299438c868e01,hotpotqa,11,iterative,2,0.1,38,5,4,1,0.2,0.25,0,0.10526315789473684,0.8,0.8947368421052632,1.9000000000000001
5adc93a4554299438c868e01,hotpotqa,11,one_shot,1,0.2,38,5,8,1,0.2,0.125,0,0.21052631578947367,1.6,0.7894736842105263,0.9500000000000001
5adc93a4554299438c868e01,hotpotqa,11,oracle,1,0.2,38,5,5,5,1.0,1.0,1,0.13157894736842105,1.0,0.868421052631579,7.6000000000000005
5adc93a4554299438c868e01,hotpotqa,11,iterative,2,0.2,38,5,8,1,0.2,0.125,0,0.21052631578947367,1.6,0.7894736842105263,0.9500000000000001
5adc93a4554299438c868e01,hotpotqa,11,one_shot,1,0.3,38,5,12,1,0.2,0.08333333333333333,0,0.3157894736842105,2.4,0.6842105263157895,0.6333333333333334
5adc93a4554299438c868e01,hotpotqa,11,oracle,1,0.3,38,5,5,5,1.0,1.0,1,0.13157894736842105,1.0,0.868421052631579,7.6000000000000005
5adc93a4554299438c868e01,hotpotqa,11,iterative,2,0.3,38,5,12,1,0.2,0.08333333333333333,0,0.3157894736842105,2.4,0.6842105263157895,0.6333333333333334
5ab7f97a5542991d322237ef,hotpotqa,11,one_shot,1,0.05,126,4,7,0,0.0,0.0,0,0.05555555555555555,1.75,0.9444444444444444,0.0
5ab7f97a5542991d322237ef,hotpotqa,11,oracle,1,0.05,126,4,4,4,1.0,1.0,1,0.031746031746031744,1.0,0.9682539682539683,31.5
5ab7f97a5542991d322237ef,hotpotqa,11,iterative,2,0.05,126,4,7,0,0.0,0.0,0,0.05555555555555555,1.75,0.9444444444444444,0.0
5ab7f97a5542991d322237ef,hotpotqa,11,one_shot,1,0.1,126,4,13,1,0.25,0.07692307692307693,0,0.10317460317460317,3.25,0.8968253968253969,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,11,oracle,1,0.1,126,4,4,4,1.0,1.0,1,0.031746031746031744,1.0,0.9682539682539683,31.5
5ab7f97a5542991d322237ef,hotpotqa,11,iterative,2,0.1,126,4,13,0,0.0,0.0,0,0.10317460317460317,3.25,0.8968253968253969,0.0
5ab7f97a5542991d322237ef,hotpotqa,11,one_shot,1,0.2,126,4,26,2,0.5,0.07692307692307693,0,0.20634920634920634,6.5,0.7936507936507937,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,11,oracle,1,0.2,126,4,4,4,1.0,1.0,1,0.031746031746031744,1.0,0.9682539682539683,31.5
5ab7f97a5542991d322237ef,hotpotqa,11,iterative,2,0.2,126,4,26,2,0.5,0.07692307692307693,0,0.20634920634920634,6.5,0.7936507936507937,2.4230769230769234
5ab7f97a5542991d322237ef,hotpotqa,11,one_shot,1,0.3,126,4,38,4,1.0,0.10526315789473684,1,0.30158730158730157,9.5,0.6984126984126984,3.3157894736842106
5ab7f97a5542991d322237ef,hotpotqa,11,oracle,1,0.3,126,4,4,4,1.0,1.0,1,0.031746031746031744,1.0,0.9682539682539683,31.5
5ab7f97a5542991d322237ef,hotpotqa,11,iterative,2,0.3,126,4,38,3,0.75,0.07894736842105263,0,0.30158730158730157,9.5,0.6984126984126984,2.486842105263158
5a8888e35542997e5c09a5f6,hotpotqa,11,one_shot,1,0.05,39,4,2,1,0.25,0.5,0,0.05128205128205128,0.5,0.9487179487179487,4.875
5a8888e35542997e5c09a5f6,hotpotqa,11,oracle,1,0.05,39,4,2,2,0.5,1.0,0,0.05128205128205128,0.5,0.9487179487179487,9.75
5a8888e35542997e5c09a5f6,hotpotqa,11,iterative,2,0.05,39,4,2,1,0.25,0.5,0,0.05128205128205128,0.5,0.9487179487179487,4.875
5a8888e35542997e5c09a5f6,hotpotqa,11,one_shot,1,0.1,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,11,oracle,1,0.1,39,4,4,4,1.0,1.0,1,0.10256410256410256,1.0,0.8974358974358975,9.75
5a8888e35542997e5c09a5f6,hotpotqa,11,iterative,2,0.1,39,4,4,2,0.5,0.5,0,0.10256410256410256,1.0,0.8974358974358975,4.875
5a8888e35542997e5c09a5f6,hotpotqa,11,one_shot,1,0.2,39,4,8,1,0.25,0.125,0,0.20512820512820512,2.0,0.7948717948717949,1.21875
5a8888e35542997e5c09a5f6,hotpotqa,11,oracle,1,0.2,39,4,4,4,1.0,1.0,1,0.10256410256410256,1.0,0.8974358974358975,9.75
5a8888e35542997e5c09a5f6,hotpotqa,11,iterative,2,0.2,39,4,8,2,0.5,0.25,0,0.20512820512820512,2.0,0.7948717948717949,2.4375
5a8888e35542997e5c09a5f6,hotpotqa,11,one_shot,1,0.3,39,4,12,1,0.25,0.08333333333333333,0,0.3076923076923077,3.0,0.6923076923076923,0.8125
5a8888e35542997e5c09a5f6,hotpotqa,11,oracle,1,0.3,39,4,4,4,1.0,1.0,1,0.10256410256410256,1.0,0.8974358974358975,9.75
5a8888e35542997e5c09a5f6,hotpotqa,11,iterative,2,0.3,39,4,12,2,0.5,0.16666666666666666,0,0.3076923076923077,3.0,0.6923076923076923,1.625
5a8c8502554299585d9e36d0,hotpotqa,11,one_shot,1,0.05,55,5,3,1,0.2,0.3333333333333333,0,0.05454545454545454,0.6,0.9454545454545454,3.666666666666667
5a8c8502554299585d9e36d0,hotpotqa,11,oracle,1,0.05,55,5,3,3,0.6,1.0,0,0.05454545454545454,0.6,0.9454545454545454,11.0
5a8c8502554299585d9e36d0,hotpotqa,11,iterative,2,0.05,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5a8c8502554299585d9e36d0,hotpotqa,11,one_shot,1,0.1,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5a8c8502554299585d9e36d0,hotpotqa,11,oracle,1,0.1,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5a8c8502554299585d9e36d0,hotpotqa,11,iterative,2,0.1,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5a8c8502554299585d9e36d0,hotpotqa,11,one_shot,1,0.2,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5a8c8502554299585d9e36d0,hotpotqa,11,oracle,1,0.2,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5a8c8502554299585d9e36d0,hotpotqa,11,iterative,2,0.2,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5a8c8502554299585d9e36d0,hotpotqa,11,one_shot,1,0.3,55,5,17,2,0.4,0.11764705882352941,0,0.3090909090909091,3.4,0.6909090909090909,1.2941176470588236
5a8c8502554299585d9e36d0,hotpotqa,11,oracle,1,0.3,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5a8c8502554299585d9e36d0,hotpotqa,11,iterative,2,0.3,55,5,17,1,0.2,0.058823529411764705,0,0.3090909090909091,3.4,0.6909090909090909,0.6470588235294118
5a84c4bb5542991dd0999dec,hotpotqa,11,one_shot,1,0.05,47,7,3,0,0.0,0.0,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,oracle,1,0.05,47,7,3,3,0.42857142857142855,1.0,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,6.714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,11,iterative,2,0.05,47,7,3,0,0.0,0.0,0,0.06382978723404255,0.42857142857142855,0.9361702127659575,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,one_shot,1,0.1,47,7,5,0,0.0,0.0,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,oracle,1,0.1,47,7,5,5,0.7142857142857143,1.0,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,6.714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,11,iterative,2,0.1,47,7,5,0,0.0,0.0,0,0.10638297872340426,0.7142857142857143,0.8936170212765957,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,one_shot,1,0.2,47,7,10,0,0.0,0.0,0,0.2127659574468085,1.4285714285714286,0.7872340425531915,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,oracle,1,0.2,47,7,7,7,1.0,1.0,1,0.14893617021276595,1.0,0.851063829787234,6.714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,11,iterative,2,0.2,47,7,10,0,0.0,0.0,0,0.2127659574468085,1.4285714285714286,0.7872340425531915,0.0
5a84c4bb5542991dd0999dec,hotpotqa,11,one_shot,1,0.3,47,7,15,1,0.14285714285714285,0.06666666666666667,0,0.3191489361702128,2.142857142857143,0.6808510638297872,0.4476190476190476
5a84c4bb5542991dd0999dec,hotpotqa,11,oracle,1,0.3,47,7,7,7,1.0,1.0,1,0.14893617021276595,1.0,0.851063829787234,6.714285714285714
5a84c4bb5542991dd0999dec,hotpotqa,11,iterative,2,0.3,47,7,15,0,0.0,0.0,0,0.3191489361702128,2.142857142857143,0.6808510638297872,0.0
5abbd4035542993f40c73bcb,hotpotqa,11,one_shot,1,0.05,50,7,3,1,0.14285714285714285,0.3333333333333333,0,0.06,0.42857142857142855,0.94,2.380952380952381
5abbd4035542993f40c73bcb,hotpotqa,11,oracle,1,0.05,50,7,3,3,0.42857142857142855,1.0,0,0.06,0.42857142857142855,0.94,7.142857142857142
5abbd4035542993f40c73bcb,hotpotqa,11,iterative,2,0.05,50,7,3,1,0.14285714285714285,0.3333333333333333,0,0.06,0.42857142857142855,0.94,2.380952380952381
5abbd4035542993f40c73bcb,hotpotqa,11,one_shot,1,0.1,50,7,5,1,0.14285714285714285,0.2,0,0.1,0.7142857142857143,0.9,1.4285714285714284
5abbd4035542993f40c73bcb,hotpotqa,11,oracle,1,0.1,50,7,5,5,0.7142857142857143,1.0,0,0.1,0.7142857142857143,0.9,7.142857142857142
5abbd4035542993f40c73bcb,hotpotqa,11,iterative,2,0.1,50,7,5,1,0.14285714285714285,0.2,0,0.1,0.7142857142857143,0.9,1.4285714285714284
5abbd4035542993f40c73bcb,hotpotqa,11,one_shot,1,0.2,50,7,10,3,0.42857142857142855,0.3,0,0.2,1.4285714285714286,0.8,2.142857142857143
5abbd4035542993f40c73bcb,hotpotqa,11,oracle,1,0.2,50,7,7,7,1.0,1.0,1,0.14,1.0,0.86,7.142857142857142
5abbd4035542993f40c73bcb,hotpotqa,11,iterative,2,0.2,50,7,10,4,0.5714285714285714,0.4,0,0.2,1.4285714285714286,0.8,2.8571428571428568
5abbd4035542993f40c73bcb,hotpotqa,11,one_shot,1,0.3,50,7,15,4,0.5714285714285714,0.26666666666666666,0,0.3,2.142857142857143,0.7,1.9047619047619047
5abbd4035542993f40c73bcb,hotpotqa,11,oracle,1,0.3,50,7,7,7,1.0,1.0,1,0.14,1.0,0.86,7.142857142857142
5abbd4035542993f40c73bcb,hotpotqa,11,iterative,2,0.3,50,7,15,4,0.5714285714285714,0.26666666666666666,0,0.3,2.142857142857143,0.7,1.9047619047619047
5ae6143f5542996de7b71b2d,hotpotqa,11,one_shot,1,0.05,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5ae6143f5542996de7b71b2d,hotpotqa,11,oracle,1,0.05,55,5,3,3,0.6,1.0,0,0.05454545454545454,0.6,0.9454545454545454,11.0
5ae6143f5542996de7b71b2d,hotpotqa,11,iterative,2,0.05,55,5,3,0,0.0,0.0,0,0.05454545454545454,0.6,0.9454545454545454,0.0
5ae6143f5542996de7b71b2d,hotpotqa,11,one_shot,1,0.1,55,5,6,1,0.2,0.16666666666666666,0,0.10909090909090909,1.2,0.8909090909090909,1.8333333333333335
5ae6143f5542996de7b71b2d,hotpotqa,11,oracle,1,0.1,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5ae6143f5542996de7b71b2d,hotpotqa,11,iterative,2,0.1,55,5,6,0,0.0,0.0,0,0.10909090909090909,1.2,0.8909090909090909,0.0
5ae6143f5542996de7b71b2d,hotpotqa,11,one_shot,1,0.2,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5ae6143f5542996de7b71b2d,hotpotqa,11,oracle,1,0.2,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5ae6143f5542996de7b71b2d,hotpotqa,11,iterative,2,0.2,55,5,11,1,0.2,0.09090909090909091,0,0.2,2.2,0.8,1.0
5ae6143f5542996de7b71b2d,hotpotqa,11,one_shot,1,0.3,55,5,17,2,0.4,0.11764705882352941,0,0.3090909090909091,3.4,0.6909090909090909,1.2941176470588236
5ae6143f5542996de7b71b2d,hotpotqa,11,oracle,1,0.3,55,5,5,5,1.0,1.0,1,0.09090909090909091,1.0,0.9090909090909091,11.0
5ae6143f5542996de7b71b2d,hotpotqa,11,iterative,2,0.3,55,5,17,1,0.2,0.058823529411764705,0,0.3090909090909091,3.4,0.6909090909090909,0.6470588235294118
5a7e513a5542994959419996,hotpotqa,11,one_shot,1,0.05,29,4,2,1,0.25,0.5,0,0.06896551724137931,0.5,0.9310344827586207,3.625
5a7e513a5542994959419996,hotpotqa,11,oracle,1,0.05,29,4,2,2,0.5,1.0,0,0.06896551724137931,0.5,0.9310344827586207,7.25
5a7e513a5542994959419996,hotpotqa,11,iterative,2,0.05,29,4,2,0,0.0,0.0,0,0.06896551724137931,0.5,0.9310344827586207,0.0
5a7e513a5542994959419996,hotpotqa,11,one_shot,1,0.1,29,4,3,1,0.25,0.3333333333333333,0,0.10344827586206896,0.75,0.896551724137931,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,11,oracle,1,0.1,29,4,3,3,0.75,1.0,0,0.10344827586206896,0.75,0.896551724137931,7.25
5a7e513a5542994959419996,hotpotqa,11,iterative,2,0.1,29,4,3,1,0.25,0.3333333333333333,0,0.10344827586206896,0.75,0.896551724137931,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,11,one_shot,1,0.2,29,4,6,1,0.25,0.16666666666666666,0,0.20689655172413793,1.5,0.7931034482758621,1.2083333333333333
5a7e513a5542994959419996,hotpotqa,11,oracle,1,0.2,29,4,4,4,1.0,1.0,1,0.13793103448275862,1.0,0.8620689655172413,7.25
5a7e513a5542994959419996,hotpotqa,11,iterative,2,0.2,29,4,6,2,0.5,0.3333333333333333,0,0.20689655172413793,1.5,0.7931034482758621,2.4166666666666665
5a7e513a5542994959419996,hotpotqa,11,one_shot,1,0.3,29,4,9,2,0.5,0.2222222222222222,0,0.3103448275862069,2.25,0.6896551724137931,1.6111111111111112
5a7e513a5542994959419996,hotpotqa,11,oracle,1,0.3,29,4,4,4,1.0,1.0,1,0.13793103448275862,1.0,0.8620689655172413,7.25
5a7e513a5542994959419996,hotpotqa,11,iterative,2,0.3,29,4,9,2,0.5,0.2222222222222222,0,0.3103448275862069,2.25,0.6896551724137931,1.6111111111111112
5a80d6be55429938b6142206,hotpotqa,11,one_shot,1,0.05,47,4,3,0,0.0,0.0,0,0.06382978723404255,0.75,0.9361702127659575,0.0
5a80d6be55429938b6142206,hotpotqa,11,oracle,1,0.05,47,4,3,3,0.75,1.0,0,0.06382978723404255,0.75,0.9361702127659575,11.750000000000002
5a80d6be55429938b6142206,hotpotqa,11,iterative,2,0.05,47,4,3,0,0.0,0.0,0,0.06382978723404255,0.75,0.9361702127659575,0.0
5a80d6be55429938b6142206,hotpotqa,11,one_shot,1,0.1,47,4,5,0,0.0,0.0,0,0.10638297872340426,1.25,0.8936170212765957,0.0
5a80d6be55429938b6142206,hotpotqa,11,oracle,1,0.1,47,4,4,4,1.0,1.0,1,0.0851063829787234,1.0,0.9148936170212766,11.75
5a80d6be55429938b6142206,hotpotqa,11,iterative,2,0.1,47,4,5,0,0.0,0.0,0,0.10638297872340426,1.25,0.8936170212765957,0.0
5a80d6be55429938b6142206,hotpotqa,11,one_shot,1,0.2,47,4,10,1,0.25,0.1,0,0.2127659574468085,2.5,0.7872340425531915,1.175
5a80d6be55429938b6142206,hotpotqa,11,oracle,1,0.2,47,4,4,4,1.0,1.0,1,0.0851063829787234,1.0,0.9148936170212766,11.75
5a80d6be55429938b6142206,hotpotqa,11,iterative,2,0.2,47,4,10,0,0.0,0.0,0,0.2127659574468085,2.5,0.7872340425531915,0.0
5a80d6be55429938b6142206,hotpotqa,11,one_shot,1,0.3,47,4,15,2,0.5,0.13333333333333333,0,0.3191489361702128,3.75,0.6808510638297872,1.5666666666666667
5a80d6be55429938b6142206,hotpotqa,11,oracle,1,0.3,47,4,4,4,1.0,1.0,1,0.0851063829787234,1.0,0.9148936170212766,11.75
5a80d6be55429938b6142206,hotpotqa,11,iterative,2,0.3,47,4,15,1,0.25,0.06666666666666667,0,0.3191489361702128,3.75,0.6808510638297872,0.7833333333333333
5ab88c075542991b5579efbe,hotpotqa,11,one_shot,1,0.05,51,4,3,0,0.0,0.0,0,0.058823529411764705,0.75,0.9411764705882353,0.0
5ab88c075542991b5579efbe,hotpotqa,11,oracle,1,0.05,51,4,3,3,0.75,1.0,0,0.058823529411764705,0.75,0.9411764705882353,12.75
5ab88c075542991b5579efbe,hotpotqa,11,iterative,2,0.05,51,4,3,0,0.0,0.0,0,0.058823529411764705,0.75,0.9411764705882353,0.0
5ab88c075542991b5579efbe,hotpotqa,11,one_shot,1,0.1,51,4,6,0,0.0,0.0,0,0.11764705882352941,1.5,0.8823529411764706,0.0
5ab88c075542991b5579efbe,hotpotqa,11,oracle,1,0.1,51,4,4,4,1.0,1.0,1,0.0784313725490196,1.0,0.9215686274509804,12.75
5ab88c075542991b5579efbe,hotpotqa,11,iterative,2,0.1,51,4,6,0,0.0,0.0,0,0.11764705882352941,1.5,0.8823529411764706,0.0
5ab88c075542991b5579efbe,hotpotqa,11,one_shot,1,0.2,51,4,11,1,0.25,0.09090909090909091,0,0.21568627450980393,2.75,0.7843137254901961,1.159090909090909
5ab88c075542991b5579efbe,hotpotqa,11,oracle,1,0.2,51,4,4,4,1.0,1.0,1,0.0784313725490196,1.0,0.9215686274509804,12.75
5ab88c075542991b5579efbe,hotpotqa,11,iterative,2,0.2,51,4,11,1,0.25,0.09090909090909091,0,0.21568627450980393,2.75,0.7843137254901961,1.159090909090909
5ab88c075542991b5579efbe,hotpotqa,11,one_shot,1,0.3,51,4,16,2,0.5,0.125,0,0.3137254901960784,4.0,0.6862745098039216,1.59375
5ab88c075542991b5579efbe,hotpotqa,11,oracle,1,0.3,51,4,4,4,1.0,1.0,1,0.0784313725490196,1.0,0.9215686274509804,12.75
5ab88c075542991b5579efbe,hotpotqa,11,iterative,2,0.3,51,4,16,2,0.5,0.125,0,0.3137254901960784,4.0,0.6862745098039216,1.59375
5a714b645542994082a3e78b,hotpotqa,11,one_shot,1,0.05,40,5,2,1,0.2,0.5,0,0.05,0.4,0.95,4.0
5a714b645542994082a3e78b,hotpotqa,11,oracle,1,0.05,40,5,2,2,0.4,1.0,0,0.05,0.4,0.95,8.0
5a714b645542994082a3e78b,hotpotqa,11,iterative,2,0.05,40,5,2,2,0.4,1.0,0,0.05,0.4,0.95,8.0
5a714b645542994082a3e78b,hotpotqa,11,one_shot,1,0.1,40,5,4,1,0.2,0.25,0,0.1,0.8,0.9,2.0
5a714b645542994082a3e78b,hotpotqa,11,oracle,1,0.1,40,5,4,4,0.8,1.0,0,0.1,0.8,0.9,8.0
