example_id,dataset,seed,policy,depth,budget_fraction,hop,incremental_K,cumulative_K,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
5adc3aff5542996e685252eb,hotpotqa,11,one_shot,1,0.05,1,2,2,39,4,2,0,0.0,0.0,0,0.05128205128205128,0.5,0.9487179487179487,0.0
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.05,1,1,1,39,4,1,0,0.0,0.0,0,0.02564102564102564,0.25,0.9743589743589743,0.0
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.05,2,1,2,39,4,2,1,0.25,0.5,0,0.05128205128205128,0.5,0.9487179487179487,4.875
5adc3aff5542996e685252eb,hotpotqa,11,one_shot,1,0.1,1,4,4,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.1,1,2,2,39,4,2,0,0.0,0.0,0,0.05128205128205128,0.5,0.9487179487179487,0.0
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.1,2,2,4,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5adc3aff5542996e685252eb,hotpotqa,11,one_shot,1,0.2,1,8,8,39,4,8,2,0.5,0.25,0,0.20512820512820512,2.0,0.7948717948717949,2.4375
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.2,1,4,4,39,4,4,1,0.25,0.25,0,0.10256410256410256,1.0,0.8974358974358975,2.4375
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.2,2,4,8,39,4,8,1,0.25,0.125,0,0.20512820512820512,2.0,0.7948717948717949,1.21875
5adc3aff5542996e685252eb,hotpotqa,11,one_shot,1,0.3,1,12,12,39,4,12,3,0.75,0.25,0,0.3076923076923077,3.0,0.6923076923076923,2.4375
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.3,1,6,6,39,4,6,1,0.25,0.16666666666666666,0,0.15384615384615385,1.5,0.8461538461538461,1.625
5adc3aff5542996e685252eb,hotpotqa,11,iterative,2,0.3,2,6,12,39,4,12,2,0.5,0.16666666666666666,0,0.3076923076923077,3.0,0.6923076923076923,1.625
5ab56db7554299494045efc6,hotpotqa,11,one_shot,1,0.05,1,2,2,40,4,2,1,0.25,0.5,0,0.05,0.5,0.95,5.0
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.05,1,1,1,40,4,1,1,0.25,1.0,0,0.025,0.25,0.975,10.0
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.05,2,1,2,40,4,2,1,0.25,0.5,0,0.05,0.5,0.95,5.0
5ab56db7554299494045efc6,hotpotqa,11,one_shot,1,0.1,1,4,4,40,4,4,1,0.25,0.25,0,0.1,1.0,0.9,2.5
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.1,1,2,2,40,4,2,1,0.25,0.5,0,0.05,0.5,0.95,5.0
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.1,2,2,4,40,4,4,2,0.5,0.5,0,0.1,1.0,0.9,5.0
5ab56db7554299494045efc6,hotpotqa,11,one_shot,1,0.2,1,8,8,40,4,8,1,0.25,0.125,0,0.2,2.0,0.8,1.25
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.2,1,4,4,40,4,4,1,0.25,0.25,0,0.1,1.0,0.9,2.5
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.2,2,4,8,40,4,8,2,0.5,0.25,0,0.2,2.0,0.8,2.5
5ab56db7554299494045efc6,hotpotqa,11,one_shot,1,0.3,1,12,12,40,4,12,3,0.75,0.25,0,0.3,3.0,0.7,2.5
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.3,1,6,6,40,4,6,1,0.25,0.16666666666666666,0,0.15,1.5,0.85,1.6666666666666667
5ab56db7554299494045efc6,hotpotqa,11,iterative,2,0.3,2,6,12,40,4,12,3,0.75,0.25,0,0.3,3.0,0.7,2.5
5ab2b863554299295394685a,hotpotqa,11,one_shot,1,0.05,1,3,3,48,3,3,0,0.0,0.0,0,0.0625,1.0,0.9375,0.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.05,1,2,2,48,3,2,0,0.0,0.0,0,0.041666666666666664,0.6666666666666666,0.9583333333333334,0.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.05,2,1,3,48,3,3,0,0.0,0.0,0,0.0625,1.0,0.9375,0.0
5ab2b863554299295394685a,hotpotqa,11,one_shot,1,0.1,1,5,5,48,3,5,0,0.0,0.0,0,0.10416666666666667,1.6666666666666667,0.8958333333333334,0.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.1,1,3,3,48,3,3,0,0.0,0.0,0,0.0625,1.0,0.9375,0.0
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.1,2,2,5,48,3,5,0,0.0,0.0,0,0.10416666666666667,1.6666666666666667,0.8958333333333334,0.0
5ab2b863554299295394685a,hotpotqa,11,one_shot,1,0.2,1,10,10,48,3,10,1,0.3333333333333333,0.1,0,0.20833333333333334,3.3333333333333335,0.7916666666666666,1.5999999999999999
5ab2b863554299295394685a,hotpotqa,11,iterative,2,0.2,1,5,5,48,3,5,0,0.0,0.0,0,0.10416666666666667,1.6666666666666667,0.8958333333333334,0.0
