dataset,policy,target_R_E,phi,K_star,R_E,C_E
hotpotqa,oracle,0.8,0.09173186820999188,4.25,0.9236607142857143,0.6875
hotpotqa,oracle,0.9,0.09173186820999188,4.25,0.9236607142857143,0.6875
hotpotqa,oracle,0.95,0.10225385193397533,4.6875,1.0,1.0
qasper,oracle,0.8,0.056979155901180835,8.0625,0.9533333333333334,0.875
qasper,oracle,0.9,0.056979155901180835,8.0625,0.9533333333333334,0.875
qasper,oracle,0.95,0.056979155901180835,8.0625,0.9533333333333334,0.875
synthetic_2hop,oracle,0.8,0.2,2.0,1.0,1.0
synthetic_2hop,oracle,0.9,0.2,2.0,1.0,1.0
synthetic_2hop,oracle,0.95,0.2,2.0,1.0,1.0
synthetic_3hop,oracle,0.8,0.2727272727272727,3.0,1.0,1.0
synthetic_3hop,oracle,0.9,0.2727272727272727,3.0,1.0,1.0
synthetic_3hop,oracle,0.95,0.2727272727272727,3.0,1.0,1.0
