dataset,model_tier,stage,setting,split_count,encoding_block_references,position_policy,requested_distance,oracle_mode,seed_count,example_count,loss_mean,loss_std,loss_median,token_accuracy_mean,rcb_mean,retrieval_key_rmse_vs_exact_mean,retrieval_logit_rmse_vs_exact_mean,retrieval_attention_l1_vs_exact_mean,retrieval_top_token_agreement_vs_exact_mean,memory_attention_mass_mean,memory_last_query_attention_mass_mean,original_logical_distance_mean,effective_distance_mean,maximum_native_operation_mean,native_limit_violations_mean
hotpotqa,small,confirmation,split5_block4,5,4,clipped_64,64,native_all,5,60,0.0026867775168890754,0.00025122905003034874,0.0026264209882356226,1.0,0.9999743717519041,0.14862494602178533,1.059321359048287,0.24429145701821348,0.8627604166666666,0.9661041063567003,0.9469967812299729,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,clipped_64,64,native_evidence_adjacent,5,60,0.0026299049185278516,0.00019780702624872326,0.002626631835786005,1.0,0.9999975245257218,0.29724989204357066,2.0942722775042055,0.4879100573423784,0.7229166666666667,0.935570701211691,0.9036033121248087,58.5,58.5,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,clipped_64,64,native_evidence_irrelevant,5,60,0.0026167041428076725,0.0002142303319573484,0.0025916845964578292,1.0,1.0000023868195735,0.29724989204357066,2.1015958691636722,0.4887287989433389,0.725,0.9338795823355517,0.899520319700241,8.0,8.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,clipped_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,clipped_64,64,valid,5,60,0.002612711062344412,0.00020089218241493959,0.00261058066583549,1.0,1.0000043381527002,0.22759633560975395,1.7751368423302971,0.36237761301260135,0.7989583333333333,0.9370955708126226,0.9066473344961802,13.35,13.35,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,exact,,native_all,5,60,0.002623431683362772,0.00020034161514978906,0.002621134219225496,1.0,0.9999999999999926,0.0,0.0,0.0,1.0,0.9672893514235815,0.9495541386306285,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,exact,,native_evidence_adjacent,5,60,0.0026590532273985446,0.00020307913331363481,0.0026606453272203603,1.0,0.9999880936686936,0.0,0.0,0.0,1.0,0.9382750170926253,0.9092851330836614,58.5,58.5,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,exact,,native_evidence_irrelevant,5,60,0.00264355296191449,0.0002144207171408362,0.0026258708870348832,1.0,0.9999935625393631,0.0,0.0,0.0,1.0,0.9373434953391552,0.9072858716050785,8.0,8.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,exact,,native_oracle,5,60,0.0030245675356127323,0.000313066860991643,0.0030113114432121315,1.0,0.9998266526427455,0.0,0.0,0.0,1.0,0.8734796546399594,0.8277547491093475,87.25,87.25,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,exact,,valid,5,60,0.002629145273628334,0.00019792535895518166,0.0026391471619717777,1.0,1.0000004401494507,0.0,0.0,0.0,1.0,0.9397382614513239,0.9118581821521123,13.35,13.35,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,fixed_64,64,native_all,5,60,0.002912675911405434,0.0003449705477105155,0.002801777775554607,1.0,0.9998799051199555,0.5584670945381125,4.00538073234881,1.0353440739117408,0.39895833333333336,0.9677774091561636,0.9511403627693653,8.0,64.0,110.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,fixed_64,64,native_evidence_adjacent,5,60,0.0026424071014237898,0.00020395883897978654,0.002630724338814616,1.0,0.9999937025921882,0.47214821844051286,2.9893445319806533,0.820489656664237,0.5109375,0.9362316536406675,0.9050999939441681,58.5,64.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,fixed_64,64,native_evidence_irrelevant,5,60,0.0027523717416139937,0.00035209487434763954,0.0026801235896224775,1.0,0.9999492947409692,0.6123374450330933,4.777569810797771,1.1217511187841107,0.36875,0.9372126335899035,0.9080077913900217,8.0,64.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,fixed_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,fixed_64,64,valid,5,60,0.002627995835306744,0.000207430894438873,0.002618774267223974,1.0,0.9999988544157711,0.5009333626367152,3.2077263825262583,0.8936874447380736,0.4739583333333333,0.9378559209406376,0.9086142900089422,13.35,64.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,log_compressed,64,native_all,5,60,0.002629676115854333,0.00019863324510505358,0.0026295362622477114,1.0,0.999997447461228,0.11401011707882087,0.5182766502102216,0.18538785644019906,0.8880208333333334,0.967385215808948,0.9496485856672129,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,log_compressed,64,native_evidence_adjacent,5,60,0.00266968704527244,0.00020998236142472933,0.002665986520393441,1.0,0.9999852615809136,0.22802023415764175,1.0308713898062707,0.3702414858150102,0.7765625,0.938537418593963,0.9094625361263752,58.5,58.5,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,log_compressed,64,native_evidence_irrelevant,5,60,0.0026526897020327546,0.00021913386460853837,0.0026301025063730776,1.0,0.9999908496183334,0.22802023415764175,1.0324469717840352,0.37035244721140165,0.7786458333333334,0.937521719187498,0.9073295312623182,8.0,8.0,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,log_compressed,64,native_oracle,5,60,0.003038858742608378,0.0003245504453221785,0.0030379193291688957,1.0,0.9998233463379549,0.4560404683152835,2.0455219308535257,0.7392376057392539,0.5489583333333333,0.873867859194676,0.8276296116411685,87.25,92.08333333333333,102.83333333333333,0.0
hotpotqa,small,confirmation,split5_block4,5,4,log_compressed,64,valid,5,60,0.0026389900827780365,0.000202661952694211,0.0026452213254136345,1.0,0.9999975593581938,0.1733909796923399,0.8091508140166601,0.2706721714528612,0.840625,0.9399684819082419,0.9120215475559235,13.35,13.35,102.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,exact,,native_all,5,60,0.023465268364331375,0.03475322844502082,0.007675384054891765,1.0,0.9927503598473599,0.0,0.0,0.0,1.0,0.9685556220511595,0.9532268159091473,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,exact,,native_oracle,5,60,0.0030245675356127323,0.000313066860991643,0.0030113114432121315,1.0,0.9998266526427455,0.0,0.0,0.0,1.0,0.8734796546399594,0.8277547491093475,87.25,87.25,34.916666666666664,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,fixed_64,64,native_all,5,60,0.092642920728152,0.11461879580850971,0.01246004739853864,0.95,0.9689811487031715,0.5632171819762637,4.17881492106244,1.016876392394382,0.4158854166666667,0.9692799049119154,0.9553125326832136,8.0,64.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,fixed_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,34.916666666666664,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,local,,native_all,5,60,0.07479898655631889,0.12015006949512631,0.01540246718407919,0.95,0.9751199038778917,0.6269237242328624,4.433727499842644,1.1277372754025237,0.3614583333333333,0.9651007555425167,0.9441371545195579,8.0,1.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block1,5,1,local,,native_oracle,5,60,0.002967546232199917,0.0003281552363553978,0.0029556138906627893,1.0,0.999837222614689,0.7472811207175255,6.583695789674917,1.2482140763352314,0.309375,0.8621300133566061,0.7910187438130378,87.25,1.0,34.916666666666664,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,exact,,native_all,5,60,0.0035249236350258194,0.0011980647865989878,0.002932468856063982,1.0,0.999667937175464,0.0,0.0,0.0,1.0,0.9677959377566973,0.9509983385602633,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,exact,,native_oracle,5,60,0.0030245675356127323,0.000313066860991643,0.0030113114432121315,1.0,0.9998266526427455,0.0,0.0,0.0,1.0,0.8734796546399594,0.8277547491093475,87.25,87.25,56.25,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,fixed_64,64,native_all,5,60,0.016042031006266673,0.01600692745793272,0.0043319138543059426,1.0,0.9952961227128876,0.5644412986623744,4.195084522943944,1.0293473341094797,0.4080729166666667,0.968731022377809,0.9538214142123858,8.0,64.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,fixed_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,56.25,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,local,,native_all,5,60,0.014984350899855295,0.015696494879703333,0.00881392378748084,1.0,0.9957162103874652,0.6236504669301212,4.322899109870195,1.1370300441911696,0.3526041666666667,0.9646690579752126,0.9427333816885948,8.0,1.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block2,5,2,local,,native_oracle,5,60,0.002967546232199917,0.0003281552363553978,0.0029556138906627893,1.0,0.999837222614689,0.7472811207175255,6.583695789674917,1.2482140763352314,0.309375,0.8621300133566061,0.7910187438130378,87.25,1.0,56.25,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,exact,,native_all,5,60,0.002623431683362772,0.00020034161514978906,0.002621134219225496,1.0,0.9999999999999926,0.0,0.0,0.0,1.0,0.9672893514235815,0.9495541386306285,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,exact,,native_oracle,5,60,0.0030245675356127323,0.000313066860991643,0.0030113114432121315,1.0,0.9998266526427455,0.0,0.0,0.0,1.0,0.8734796546399594,0.8277547491093475,87.25,87.25,102.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,fixed_64,64,native_all,5,60,0.002912675911405434,0.0003449705477105155,0.002801777775554607,1.0,0.9998799051199555,0.5584670945381125,4.00538073234881,1.0353440739117408,0.39895833333333336,0.9677774091561636,0.9511403627693653,8.0,64.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,fixed_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,102.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,local,,native_all,5,60,0.00326567639131099,0.0006819517161553276,0.003262738212166975,1.0,0.999766254248302,0.6198305762993792,4.30271301008761,1.1523221731884405,0.33932291666666664,0.9642545809348425,0.9411388389766217,8.0,1.0,110.83333333333333,0.0
hotpotqa,small,encoding_context,split5_block4,5,4,local,,native_oracle,5,60,0.002967546232199917,0.0003281552363553978,0.0029556138906627893,1.0,0.999837222614689,0.7472811207175255,6.583695789674917,1.2482140763352314,0.309375,0.8621300133566061,0.7910187438130378,87.25,1.0,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split16,16,128,exact,,native_oracle,5,60,0.0039776027280216415,0.0008524860300090792,0.0037596133382370076,1.0,0.9993485789853416,0.0,0.0,0.0,1.0,0.6549926499525707,0.5886370067174236,104.5,104.5,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split16,16,128,fixed_64,64,native_oracle,5,60,0.0036780146455081797,0.0005038426362485772,0.003617223099960635,1.0,0.9994562655309789,0.6954578856627146,5.178205279012522,0.7676122561718026,0.5635416666666667,0.6393671618153652,0.5436437691251437,104.5,64.0,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split16,16,128,local,,native_oracle,5,60,0.004018160254539301,0.0005957816125138236,0.004028115848389764,1.0,0.9992756636411471,0.743457775314649,6.651453722516696,0.8923389245067179,0.5072916666666667,0.6434018212060134,0.5285892797013123,104.5,1.0,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split2,2,128,exact,,native_oracle,5,60,0.002623431683362772,0.00020034161514978906,0.002621134219225496,1.0,0.9999999999999926,0.0,0.0,0.0,1.0,0.9672893514235815,0.9495541386306285,8.0,8.0,110.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split2,2,128,fixed_64,64,native_oracle,5,60,0.0035638305164563157,0.0005093592602711869,0.003305954218376428,1.0,0.9995107025317796,0.6236900627613068,5.708083592851957,1.4053039066493511,0.21666666666666665,0.9695050917565823,0.9538430658479532,8.0,64.0,110.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split2,2,128,local,,native_oracle,5,60,0.002613749665518602,0.0001901506193418436,0.002611582555497686,1.0,1.0000028275648005,0.45958021630843476,2.170093428591887,0.8962269919885634,0.45625,0.9668397662540278,0.9487076006829739,8.0,1.0,110.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split5,5,128,exact,,native_oracle,5,60,0.0030245675356127323,0.000313066860991643,0.0030113114432121315,1.0,0.9998266526427455,0.0,0.0,0.0,1.0,0.8734796546399594,0.8277547491093475,87.25,87.25,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split5,5,128,fixed_64,64,native_oracle,5,60,0.002948708440332363,0.0002444581352620989,0.002913848807414373,1.0,0.9998476902705725,0.5944997840871413,4.108393573760987,0.975994730804814,0.4395833333333333,0.865829693277677,0.8096820518374443,87.25,64.0,102.83333333333333,0.0
hotpotqa,small,routing_chunk,native_slice_split5,5,128,local,,native_oracle,5,60,0.002967546232199917,0.0003281552363553978,0.0029556138906627893,1.0,0.999837222614689,0.7472811207175255,6.583695789674917,1.2482140763352314,0.309375,0.8621300133566061,0.7910187438130378,87.25,1.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,clipped_64,64,native_all,5,60,0.06111926088730494,0.00808923168172716,0.05981544405221939,1.0,0.9996657139121904,0.15035643571366866,0.6696106843650341,0.18913313479473193,0.878125,0.9595990796883902,0.9365752180417379,8.0,8.0,110.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,clipped_64,64,native_evidence_adjacent,5,60,0.06167357967545589,0.00924321427990843,0.060003070160746574,1.0,0.99903288913084,0.3007128714273373,1.3371053318182626,0.3779185218115647,0.7552083333333334,0.924470495680968,0.8882706011335054,58.5,58.5,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,clipped_64,64,native_evidence_irrelevant,5,60,0.061872588035961,0.010309065008320168,0.059563987888395786,1.0,0.9986597019339488,0.3007128714273373,1.335899925728639,0.3782407201205691,0.7520833333333334,0.923187261323134,0.884307025372982,8.0,8.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,clipped_64,64,native_oracle,5,60,0.06572809120019277,0.014934608309441424,0.06129941747834285,1.0,0.9947781735614665,0.6014257428546746,2.666200751066208,0.7556254165867964,0.5083333333333333,0.8516412566105525,0.7974045932292938,87.25,64.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,clipped_64,64,valid,5,60,0.0633407968406876,0.008813181346418964,0.05979985650628805,1.0,0.9977438631641281,0.253038976714015,1.17782351821661,0.3047746067866683,0.8,0.9237850174307823,0.8889611269036928,30.01666666666667,30.01666666666667,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,exact,,native_all,5,60,0.06071957312524319,0.007959691924272315,0.05945797357708216,1.0,0.9999999876110026,0.0,0.0,0.0,1.0,0.9601519813140234,0.9385319128632545,8.0,8.0,110.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,exact,,native_evidence_adjacent,5,60,0.06215882760783037,0.008798150385143857,0.06016997154802084,1.0,0.9986830302016096,0.0,0.0,0.0,1.0,0.9258190140128135,0.8927493929862976,58.5,58.5,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,exact,,native_evidence_irrelevant,5,60,0.0624477411309878,0.009669404093253207,0.05961143256475528,1.0,0.9982613185715665,0.0,0.0,0.0,1.0,0.9248402655124665,0.8898904979228973,8.0,8.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,exact,,native_oracle,5,60,0.06548172570765018,0.011384144843989332,0.061650532918671765,1.0,0.9955844014074995,0.0,0.0,0.0,1.0,0.8553623671332995,0.8096175397435825,87.25,87.25,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,exact,,valid,5,60,0.06374261205395063,0.008559798307185671,0.06020022245744864,1.0,0.997478902062215,0.0,0.0,0.0,1.0,0.9251150906085968,0.8930646215875944,30.01666666666667,30.01666666666667,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,fixed_64,64,native_all,5,60,0.06170945496608813,0.00850703418979429,0.06002748105674982,1.0,0.999094653570706,0.5270905083976686,2.203671711683273,0.8213908815135559,0.4598958333333333,0.9598629926641783,0.9379504367709159,8.0,64.0,110.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,fixed_64,64,native_evidence_adjacent,5,60,0.06164850064863762,0.009098353461662757,0.059995013289153576,1.0,0.9990782409629375,0.4815552954251568,1.854383746534586,0.631250616411368,0.575,0.9246253107984861,0.8888446276386579,58.5,64.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,fixed_64,64,native_evidence_irrelevant,5,60,0.06159992733349402,0.009618376988044547,0.0597368689874808,1.0,0.9990067360950908,0.5400335835913816,2.5843944663802785,0.8481425251811743,0.4520833333333333,0.9239170233408609,0.8877383068203926,8.0,64.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,fixed_64,64,native_oracle,5,60,0.06572809120019277,0.014934608309441424,0.06129941747834285,1.0,0.9947781735614665,0.6014257428546746,2.666200751066208,0.7556254165867964,0.5083333333333333,0.8516412566105525,0.7974045932292938,87.25,64.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,fixed_64,64,valid,5,60,0.06322506076345841,0.00859385243465782,0.059821028572817646,1.0,0.9978771328612573,0.528312316040198,2.1678417312602205,0.7425007104252775,0.4916666666666667,0.9237660730878513,0.888892742494742,30.01666666666667,64.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,log_compressed,64,native_all,5,60,0.06085174760470787,0.0077847892106985075,0.05946059866497914,1.0,0.9999094081298392,0.1056956572458148,0.2769502207636833,0.10927717528926831,0.9255208333333333,0.9601478720704714,0.9384440531333288,8.0,8.0,110.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,log_compressed,64,native_evidence_adjacent,5,60,0.06213135148088137,0.008585856686703076,0.06014088417092959,1.0,0.9987368509997196,0.2113913144916296,0.5534455264608066,0.2189994167536497,0.8510416666666666,0.9258178348342578,0.8925855646530787,58.5,58.5,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,log_compressed,64,native_evidence_irrelevant,5,60,0.06230956371873617,0.009398695716659631,0.05958891101181507,1.0,0.9984185832298987,0.2113913144916296,0.5532508405546348,0.21924232685317596,0.8520833333333332,0.9248324766755104,0.8896878565351167,8.0,8.0,102.83333333333333,0.0
hotpotqa,tiny,confirmation,split5_block4,5,4,log_compressed,64,native_oracle,5,60,0.06531570628285407,0.011264506199639118,0.06164295474688212,1.0,0.9957368780646473,0.4227826289832592,1.1048212200403214,0.43947017925481,0.6916666666666667,0.8552715331315994,0.8088134124875068,87.25,92.08333333333333,102.83333333333333,0.0
