condition,dataset,evidence_attention_mass,examples,layer,local_attention_mass,memory_attention_mass
learned_last_8,hotpotqa,0.02829162497073412,4,20,0.5416206419467926,0.4583793580532074
learned_last_8,hotpotqa,0.020228715962730348,4,21,0.526233896613121,0.47376610338687897
learned_last_8,hotpotqa,0.018011696985922754,4,22,0.5189647153019905,0.4810352846980095
learned_last_8,hotpotqa,0.014449244947172701,4,23,0.5389959737658501,0.46100402623414993
learned_last_8,hotpotqa,0.017546045943163335,4,24,0.538067065179348,0.461932934820652
learned_last_8,hotpotqa,0.012506612576544285,4,25,0.5438053235411644,0.4561946764588356
learned_last_8,hotpotqa,0.025949202943593264,4,26,0.5434080585837364,0.4565919414162636
learned_last_8,hotpotqa,0.03471441369038075,4,27,0.4883888214826584,0.5116111785173416
learned_last_half,hotpotqa,0.02532460098154843,4,14,0.6282053589820862,0.3717946410179138
learned_last_half,hotpotqa,0.05993729364126921,4,15,0.5333175957202911,0.46668240427970886
learned_last_half,hotpotqa,0.03327770112082362,4,16,0.622776634991169,0.377223365008831
learned_last_half,hotpotqa,0.039490426890552044,4,17,0.6117774099111557,0.3882225900888443
learned_last_half,hotpotqa,0.04102809960022569,4,18,0.5378070026636124,0.46219299733638763
learned_last_half,hotpotqa,0.031058594351634383,4,19,0.5574772879481316,0.44252271205186844
learned_last_half,hotpotqa,0.029122181236743927,4,20,0.5533453673124313,0.44665463268756866
learned_last_half,hotpotqa,0.020864213816821575,4,21,0.5289013311266899,0.4710986688733101
learned_last_half,hotpotqa,0.019021351006813347,4,22,0.5182697176933289,0.48173028230667114
learned_last_half,hotpotqa,0.01557677739765495,4,23,0.5391240641474724,0.4608759358525276
learned_last_half,hotpotqa,0.018896908732131124,4,24,0.5416373461484909,0.4583626538515091
learned_last_half,hotpotqa,0.013630557106807828,4,25,0.5526274740695953,0.44737252593040466
learned_last_half,hotpotqa,0.027472042478621006,4,26,0.5467594563961029,0.4532405436038971
learned_last_half,hotpotqa,0.03796113026328385,4,27,0.4861288145184517,0.5138711854815483
learned_last_8,qasper,0.2098931148648262,4,20,0.6218132451176643,0.37818675488233566
learned_last_8,qasper,0.2114202380180359,4,21,0.6288004759699106,0.3711995240300894
learned_last_8,qasper,0.22552328556776047,4,22,0.5930551793426275,0.4069448206573725
learned_last_8,qasper,0.20076005905866623,4,23,0.6414765287190676,0.3585234712809324
learned_last_8,qasper,0.19238024204969406,4,24,0.6703907791525126,0.32960922084748745
learned_last_8,qasper,0.19350844621658325,4,25,0.6721487361937761,0.32785126380622387
learned_last_8,qasper,0.20399852097034454,4,26,0.6379487812519073,0.36205121874809265
learned_last_8,qasper,0.22851155698299408,4,27,0.5578637793660164,0.4421362206339836
learned_last_half,qasper,0.17429880052804947,4,14,0.7090231478214264,0.2909768521785736
learned_last_half,qasper,0.1781429797410965,4,15,0.6202379167079926,0.37976208329200745
learned_last_half,qasper,0.15002132952213287,4,16,0.7381849549710751,0.26181504502892494
learned_last_half,qasper,0.13514939695596695,4,17,0.720161683857441,0.27983831614255905
learned_last_half,qasper,0.17442940175533295,4,18,0.6842143461108208,0.31578565388917923
learned_last_half,qasper,0.18578362464904785,4,19,0.6652699485421181,0.3347300514578819
learned_last_half,qasper,0.19973932206630707,4,20,0.641158688813448,0.35884131118655205
learned_last_half,qasper,0.20782390236854553,4,21,0.6347302347421646,0.3652697652578354
learned_last_half,qasper,0.2232244461774826,4,22,0.5922172926366329,0.4077827073633671
learned_last_half,qasper,0.20173223316669464,4,23,0.6402440518140793,0.3597559481859207
learned_last_half,qasper,0.19853705912828445,4,24,0.6595675647258759,0.34043243527412415
learned_last_half,qasper,0.19330112636089325,4,25,0.6714087007567286,0.32859129924327135
learned_last_half,qasper,0.19992300868034363,4,26,0.6410012505948544,0.35899874940514565
learned_last_half,qasper,0.22632823139429092,4,27,0.5561475940048695,0.44385240599513054
