condition,dataset,evidence_attention_mass,examples,layer,local_attention_mass,memory_attention_mass
zero_shot_last_8,hotpotqa,0.02519847545772791,4,20,0.8895221017301083,0.11047789826989174
zero_shot_last_8,hotpotqa,0.02161841350607574,4,21,0.932349968701601,0.06765003129839897
zero_shot_last_8,hotpotqa,0.02092116978019476,4,22,0.9094067327678204,0.09059326723217964
zero_shot_last_8,hotpotqa,0.010758034884929657,4,23,0.9434124417603016,0.05658755823969841
zero_shot_last_8,hotpotqa,0.01313075260259211,4,24,0.940044142305851,0.05995585769414902
zero_shot_last_8,hotpotqa,0.011240054154768586,4,25,0.9519193391315639,0.0480806608684361
zero_shot_last_8,hotpotqa,0.02092711883597076,4,26,0.9232948170974851,0.07670518290251493
zero_shot_last_8,hotpotqa,0.0783159309066832,4,27,0.7987126857042313,0.20128731429576874
zero_shot_last_half,hotpotqa,0.036021117120981216,4,14,0.8768610768020153,0.1231389231979847
zero_shot_last_half,hotpotqa,0.06941145611926913,4,15,0.7702314220368862,0.22976857796311378
zero_shot_last_half,hotpotqa,0.02908800123259425,4,16,0.8973071184009314,0.10269288159906864
zero_shot_last_half,hotpotqa,0.043344474863260984,4,17,0.8363705519586802,0.16362944804131985
zero_shot_last_half,hotpotqa,0.042068005073815584,4,18,0.8551632463932037,0.14483675360679626
zero_shot_last_half,hotpotqa,0.02696954528801143,4,19,0.8883078694343567,0.11169213056564331
zero_shot_last_half,hotpotqa,0.019406544510275126,4,20,0.9138899510726333,0.08611004892736673
zero_shot_last_half,hotpotqa,0.02022341452538967,4,21,0.9360450189560652,0.06395498104393482
zero_shot_last_half,hotpotqa,0.019729035208001733,4,22,0.9103502463549376,0.08964975364506245
zero_shot_last_half,hotpotqa,0.01076269126497209,4,23,0.9405532320961356,0.059446767903864384
zero_shot_last_half,hotpotqa,0.012694495730102062,4,24,0.938107090536505,0.061892909463495016
zero_shot_last_half,hotpotqa,0.010987717192620039,4,25,0.9498674650676548,0.05013253493234515
zero_shot_last_half,hotpotqa,0.020325867924839258,4,26,0.9239470148459077,0.07605298515409231
zero_shot_last_half,hotpotqa,0.07706784643232822,4,27,0.8001891300082207,0.19981086999177933
zero_shot_last_8,qasper,0.0,4,20,0.8125056009739637,0.18749439902603626
zero_shot_last_8,qasper,0.0,4,21,0.8299191491678357,0.1700808508321643
zero_shot_last_8,qasper,0.0,4,22,0.7861469127237797,0.21385308727622032
zero_shot_last_8,qasper,0.0,4,23,0.8507196195423603,0.1492803804576397
zero_shot_last_8,qasper,0.0,4,24,0.8599481824785471,0.1400518175214529
zero_shot_last_8,qasper,0.0,4,25,0.858297698199749,0.141702301800251
zero_shot_last_8,qasper,0.0,4,26,0.8340905979275703,0.16590940207242966
zero_shot_last_8,qasper,0.0,4,27,0.6449209116399288,0.3550790883600712
zero_shot_last_half,qasper,0.0,4,14,0.8734223358333111,0.12657766416668892
zero_shot_last_half,qasper,0.0,4,15,0.7584754228591919,0.2415245771408081
zero_shot_last_half,qasper,0.0,4,16,0.8770882049575448,0.1229117950424552
zero_shot_last_half,qasper,0.0,4,17,0.8451304659247398,0.15486953407526016
zero_shot_last_half,qasper,0.0,4,18,0.8507338464260101,0.14926615357398987
zero_shot_last_half,qasper,0.0,4,19,0.8522685393691063,0.1477314606308937
zero_shot_last_half,qasper,0.0,4,20,0.8295336086302996,0.17046639136970043
zero_shot_last_half,qasper,0.0,4,21,0.835183004848659,0.16481699515134096
zero_shot_last_half,qasper,0.0,4,22,0.7812817357480526,0.2187182642519474
zero_shot_last_half,qasper,0.0,4,23,0.8511255783960223,0.14887442160397768
zero_shot_last_half,qasper,0.0,4,24,0.8586902972310781,0.14130970276892185
zero_shot_last_half,qasper,0.0,4,25,0.8622810682281852,0.13771893177181482
zero_shot_last_half,qasper,0.0,4,26,0.8357920628041029,0.1642079371958971
zero_shot_last_half,qasper,0.0,4,27,0.646959513425827,0.353040486574173
