condition,dataset,evidence_attention_mass,examples,layer,local_attention_mass,memory_attention_mass
oracle_all,hotpotqa,0.2670864090323448,4,0,0.5910108461976051,0.40898915380239487
oracle_all,hotpotqa,0.2843719981610775,4,1,0.5434188470244408,0.45658115297555923
oracle_all,hotpotqa,0.20173965767025948,4,2,0.6871500164270401,0.3128499835729599
oracle_all,hotpotqa,0.40846845507621765,4,3,0.16912394762039185,0.8308760523796082
oracle_all,hotpotqa,0.5484183058142662,4,4,0.10024845600128174,0.8997515439987183
oracle_all,hotpotqa,0.4611387252807617,4,5,0.03225569427013397,0.967744305729866
oracle_all,hotpotqa,0.2568305963650346,4,6,0.3462054431438446,0.6537945568561554
oracle_all,hotpotqa,0.4887646734714508,4,7,0.07065333425998688,0.9293466657400131
oracle_all,hotpotqa,0.304725076071918,4,8,0.2538827657699585,0.7461172342300415
oracle_all,hotpotqa,0.33452701196074486,4,9,0.2986142933368683,0.7013857066631317
oracle_all,hotpotqa,0.48555494099855423,4,10,0.11736756563186646,0.8826324343681335
oracle_all,hotpotqa,0.24706893041729927,4,11,0.41697047650814056,0.5830295234918594
oracle_all,hotpotqa,0.31539885699748993,4,12,0.26588089764118195,0.734119102358818
oracle_all,hotpotqa,0.19026793725788593,4,13,0.5553251728415489,0.4446748271584511
oracle_all,hotpotqa,0.20076738484203815,4,14,0.5044335350394249,0.4955664649605751
oracle_all,hotpotqa,0.2661985717713833,4,15,0.393293172121048,0.606706827878952
oracle_all,hotpotqa,0.2408904554322362,4,16,0.419701024889946,0.580298975110054
oracle_all,hotpotqa,0.22276513651013374,4,17,0.45131853222846985,0.5486814677715302
oracle_all,hotpotqa,0.2419866044074297,4,18,0.4252398908138275,0.5747601091861725
oracle_all,hotpotqa,0.29874726943671703,4,19,0.26439298689365387,0.7356070131063461
oracle_all,hotpotqa,0.3006457891315222,4,20,0.2619257867336273,0.7380742132663727
oracle_all,hotpotqa,0.31288099102675915,4,21,0.21690672636032104,0.783093273639679
oracle_all,hotpotqa,0.2930630762130022,4,22,0.21428173780441284,0.7857182621955872
oracle_all,hotpotqa,0.2989291148260236,4,23,0.18192024528980255,0.8180797547101974
oracle_all,hotpotqa,0.2888075076043606,4,24,0.22130349278450012,0.7786965072154999
oracle_all,hotpotqa,0.30148663837462664,4,25,0.2158072292804718,0.7841927707195282
oracle_all,hotpotqa,0.30734843108803034,4,26,0.21910493075847626,0.7808950692415237
oracle_all,hotpotqa,0.38615856878459454,4,27,0.12281160056591034,0.8771883994340897
