variant,dataset,condition,seeds,examples_per_seed,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,f1_mean,f1_std,em_mean,em_std,answer_contained_mean,answer_contained_std,teacher_forced_seconds_mean,teacher_forced_seconds_std,generation_seconds_mean,generation_seconds_std,active_memory_tokens_mean,active_memory_tokens_std,trainable_parameter_count_mean,trainable_parameter_count_std,trainable_parameter_percent_mean,trainable_parameter_percent_std,trainable_memory_bytes_fp32_mean,trainable_memory_bytes_fp32_std
fixed,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1799992549989838,0.03717290864991396,0.7423790599976201,0.04150402742319025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,oracle,5,4,-6.999312579631805,0.0,1.0035043060779572,0.0,236.75,0.0,-650.0,0.0,-10.423828125,0.0,1.392578125,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16295496000093407,0.0009610004468787626,0.78669189500215,0.04806247548868473,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,routed,5,4,-7.892500400543213,0.0,0.11031648516654968,0.0,440.5,0.0,-446.25,0.0,-11.712890625,0.0,0.103515625,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16251001499185805,0.000762968717850098,0.7680633349984418,0.02830419365343008,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15379672999551985,0.00900338807205625,0.7727187399985269,0.05082897013136001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,oracle,5,4,-7.341205358505249,0.0,-0.16070330142974854,0.0,10.5,0.0,-0.5,0.0,-6.80078125,0.0,-0.02734375,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.16104161000694148,0.0053345100611324895,0.9072395249939291,0.12546754541191438,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,routed,5,4,-7.6368184089660645,0.0,-0.45631635189056396,0.0,14.75,0.0,3.75,0.0,-7.125,0.0,-0.3515625,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.1595184249948943,0.010429804801095429,0.8618161200021859,0.08993813090177012,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
per_layer,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16421479000709951,0.010714059264155886,0.8237246849952499,0.07067618911909458,0.0,0.0,4.0,0.0,6.710847306212204e-07,0.0,16.0,0.0
per_layer,hotpotqa,oracle,5,4,-7.366245865821838,0.09530039771660737,0.6365710198879242,0.09530039771660737,91.05,5.868134286125361,-795.7,5.868134286125361,-9.039453125,0.04164143116011384,2.776953125,0.04164143116011384,0.0,0.0,0.0,0.0,0.0,0.0,0.17320308500202372,0.00551132285322727,0.8395026550046168,0.07823112351533827,449.0,0.0,4.0,0.0,6.710847306212204e-07,0.0,16.0,0.0
per_layer,hotpotqa,routed,5,4,-8.200712084770203,0.031734722874778486,-0.19789519906044006,0.031734722874778486,237.75,6.618156843109719,-649.0,6.618156843109719,-11.881640625,0.030623604878936936,-0.065234375,0.030623604878936936,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1750357350014383,0.005540572610848187,0.8788011000084225,0.03168971202029658,384.0,0.0,4.0,0.0,6.710847306212204e-07,0.0,16.0,0.0
per_layer,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.147257990000071,0.000455789105599976,0.7605083800008288,0.025986573822460463,0.0,0.0,4.0,0.0,6.710847306212204e-07,0.0,16.0,0.0
