seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
11,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15669860001071356,0.7128347249963554,0.0,0.0,0.0,0.0
11,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.05555555555555556,0.0,0.0,0.16242915000475477,0.7692314499872737,449.0,0.0,0.0,0.0
11,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.05555555555555556,0.0,0.0,0.16182717500487342,0.7340575749985874,384.0,0.0,0.0,0.0
11,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.1528758249914972,0.748891300012474,0.0,0.0,0.0,0.0
11,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.125,0.0,0.5,0.15654492501926143,0.9012436749908375,960.0,0.0,0.0,0.0
11,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.125,0.0,0.5,0.155556074983906,0.8725523250031983,384.0,0.0,0.0,0.0
11,per_layer,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.16029142501065508,0.789004649996059,0.0,4.0,6.710847306212204e-07,16.0
11,per_layer,hotpotqa,oracle,4,-7.415713310241699,0.5871035754680634,96.0,-790.75,-9.080078125,2.736328125,0.0,0.0,0.0,0.16783294999913778,0.7623213000042597,449.0,4.0,6.710847306212204e-07,16.0
11,per_layer,hotpotqa,routed,4,-8.210067987442017,-0.20725110173225403,245.25,-641.5,-11.927734375,-0.111328125,0.05555555555555556,0.0,0.0,0.1772610999905737,0.8889371499826666,384.0,4.0,6.710847306212204e-07,16.0
11,per_layer,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14660067499789875,0.7289797499834094,0.0,4.0,6.710847306212204e-07,16.0
11,per_layer,qasper,oracle,4,-7.547962784767151,-0.3674607276916504,19.75,8.75,-6.84375,-0.0703125,0.125,0.0,0.5,0.16100105000077747,0.790710824978305,960.0,4.0,6.710847306212204e-07,16.0
11,per_layer,qasper,routed,4,-7.884516358375549,-0.7040143013000488,17.25,6.25,-7.400390625,-0.626953125,0.125,0.0,0.5,0.15848672499123495,0.7859366250049789,384.0,4.0,6.710847306212204e-07,16.0
11,residual_16,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15771120000863448,0.7594235999858938,0.0,196672.0,0.032995894035184166,786688.0
11,residual_16,hotpotqa,oracle,4,-4.825223863124847,3.177593022584915,36.0,-850.75,-6.837890625,4.978515625,0.0,0.0,0.0,0.1793716500105802,0.9661438000039198,449.0,196672.0,0.032995894035184166,786688.0
11,residual_16,hotpotqa,routed,4,-6.647512376308441,1.3553045094013214,110.75,-776.0,-8.291015625,3.525390625,0.07142857142857144,0.0,0.0,0.17330332502024248,0.8712861749809235,384.0,196672.0,0.032995894035184166,786688.0
11,residual_16,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.147794625008828,0.8035755250020884,0.0,196672.0,0.032995894035184166,786688.0
11,residual_16,qasper,oracle,4,-6.918774127960205,0.2617279291152954,21.25,10.25,-6.31640625,0.45703125,0.0,0.0,0.0,0.16369767500145826,0.8856731000123546,960.0,196672.0,0.032995894035184166,786688.0
11,residual_16,qasper,routed,4,-7.099182724952698,0.08131933212280273,23.75,12.75,-6.482421875,0.291015625,0.0,0.0,0.0,0.16211707500042394,0.9636982499941951,384.0,196672.0,0.032995894035184166,786688.0
11,residual_32,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15727849998802412,0.7130759249848779,0.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,hotpotqa,oracle,4,-4.6262876987457275,3.376529186964035,17.0,-869.75,-6.359375,5.45703125,0.0,0.0,0.0,0.1727712749998318,0.7649363250238821,449.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,hotpotqa,routed,4,-6.555687338113785,1.4471295475959778,72.0,-814.75,-8.42578125,3.390625,0.07142857142857144,0.0,0.0,0.1737947749934392,0.8164274250011658,384.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14829472498968244,0.7613728249853011,0.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,oracle,4,-5.704078376293182,1.4764236807823181,18.25,7.25,-4.88671875,1.88671875,0.0,0.0,0.0,0.16631534999760333,0.8897738749947166,960.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,routed,4,-5.9753098487854,1.2051922082901,20.5,9.5,-5.056640625,1.716796875,0.0,0.0,0.0,0.1629157249990385,0.888946949999081,384.0,393344.0,0.06599178807036833,1573376.0
11,residual_64,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.156529199986835,0.7145964999945136,0.0,786688.0,0.13198357614073666,3146752.0
11,residual_64,hotpotqa,oracle,4,-5.355796933174133,2.6470199525356293,46.5,-840.25,-7.576171875,4.240234375,0.0,0.0,0.0,0.17260437499498948,0.7585646999941673,449.0,786688.0,0.13198357614073666,3146752.0
11,residual_64,hotpotqa,routed,4,-7.208232432603836,0.7945844531059265,123.0,-763.75,-9.71875,2.09765625,0.0625,0.0,0.0,0.1743586999946274,0.7655346750107128,384.0,786688.0,0.13198357614073666,3146752.0
11,residual_64,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14718429998902138,0.805654025010881,0.0,786688.0,0.13198357614073666,3146752.0
11,residual_64,qasper,oracle,4,-5.303847074508667,1.8766549825668335,13.5,2.5,-4.45703125,2.31640625,0.0,0.0,0.0,0.1654410250048386,0.8935533249896253,960.0,786688.0,0.13198357614073666,3146752.0
11,residual_64,qasper,routed,4,-5.635158181190491,1.5453438758850098,16.25,5.25,-4.74609375,2.02734375,0.0,0.0,0.0,0.16401669998595025,0.8934646999987308,384.0,786688.0,0.13198357614073666,3146752.0
11,single,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.1555630749935517,0.8312509000097634,0.0,1.0,1.677711826553051e-07,4.0
