policy,dataset,n,recall,precision,mrr,complete_recovery,root_comparisons,successor_comparisons,token_span_operations,materialized_kv_tokens,representation,validation_n,heldout_n,datasets,root_method_accuracy,coverage_note
C0_nonlearned_cascade,2wikimultihopqa,18,0.07777777777777778,0.1388888888888889,0.21802203454981234,0.0,42.388888888888886,84.77777777777777,63488.38888888889,0.0,,,,,,
C0_nonlearned_cascade,hotpotqa,16,0.08913690476190476,0.1875,0.3275476807549176,0.0,50.125,100.25,85858.75,0.0,,,,,,
C0_nonlearned_cascade,musique,18,0.010917766425429262,0.08333333333333333,0.2592011769095103,0.0,81.61111111111111,163.22222222222223,168345.66666666666,0.0,,,,,,
C0_nonlearned_cascade,qasper,16,0.013333333333333334,0.0625,0.15573141867118462,0.0,142.625,285.25,219335.5625,0.0,,,,,,
C0_nonlearned_cascade,all,68,0.0475888765467873,0.11764705882352941,0.24003652054537414,0.0,78.17647058823529,156.35294117647058,133178.26470588235,0.0,,,,,,
S0_fixed_same,2wikimultihopqa,18,0.013888888888888888,0.027777777777777776,0.16548430690587554,0.0,42.388888888888886,84.77777777777777,107006.05555555556,0.0,,,,,,
S0_fixed_same,hotpotqa,16,0.015625,0.03125,0.17941375413801885,0.0,50.125,100.25,134401.0,0.0,,,,,,
S0_fixed_same,musique,18,0.012975379594153541,0.1111111111111111,0.25034731618064954,0.0,81.61111111111111,163.22222222222223,235381.38888888888,0.0,,,,,,
S0_fixed_same,qasper,16,0.0,0.0,0.11418268221237371,0.0,142.625,285.25,336202.75,0.0,,,,,,
S0_fixed_same,all,68,0.010787600480805348,0.04411764705882353,0.17915459113476076,0.0,78.17647058823529,156.35294117647058,201362.26470588235,0.0,,,,,,
S1_dataset_fixed_diagnostic,2wikimultihopqa,18,0.03888888888888889,0.05555555555555555,0.1723958125510413,0.0,42.388888888888886,84.77777777777777,107713.11111111111,0.0,,,,,,
S1_dataset_fixed_diagnostic,hotpotqa,16,0.05208333333333333,0.09375,0.2935240800865801,0.0,50.125,100.25,134401.0,0.0,,,,,,
S1_dataset_fixed_diagnostic,musique,18,0.019212120130410983,0.1111111111111111,0.30345456387123054,0.0,81.61111111111111,163.22222222222223,68970.72222222222,0.0,,,,,,
S1_dataset_fixed_diagnostic,qasper,16,0.0016666666666666668,0.0625,0.16441862535612536,0.0,142.625,285.25,336202.75,0.0,,,,,,
S1_dataset_fixed_diagnostic,all,68,0.02802673768157938,0.08088235294117647,0.233711618568885,0.0,78.17647058823529,156.35294117647058,157499.54411764705,0.0,,,,,,
S2_static_hybrid,2wikimultihopqa,18,0.013888888888888888,0.027777777777777776,0.14560192623058119,0.0,42.388888888888886,84.77777777777777,107713.11111111111,0.0,,,,,,
S2_static_hybrid,hotpotqa,16,0.10267857142857142,0.1875,0.3874982044099691,0.0,50.125,100.25,134401.0,0.0,,,,,,
S2_static_hybrid,musique,18,0.006030935149709096,0.08333333333333333,0.21638197042608806,0.0,81.61111111111111,163.22222222222223,235381.38888888888,0.0,,,,,,
S2_static_hybrid,qasper,16,0.02291666666666667,0.0625,0.17964061390855146,0.0,142.625,285.25,336202.75,0.0,,,,,,
S2_static_hybrid,all,68,0.03482471532674373,0.08823529411764706,0.22926369460171142,0.0,78.17647058823529,156.35294117647058,201549.42647058822,0.0,,,,,,
S3_fixed_pair,2wikimultihopqa,18,0.03888888888888889,0.05555555555555555,0.141292701051258,0.0,42.388888888888886,84.77777777777777,21725.555555555555,0.0,,,,,,
S3_fixed_pair,hotpotqa,16,0.040178571428571425,0.09375,0.28723044590643276,0.0,50.125,100.25,32988.9375,0.0,,,,,,
S3_fixed_pair,musique,18,0.019212120130410983,0.1111111111111111,0.30345456387123054,0.0,81.61111111111111,163.22222222222223,68970.72222222222,0.0,,,,,,
S3_fixed_pair,qasper,16,0.021666666666666664,0.0625,0.1845266207444516,0.0,142.625,285.25,44630.75,0.0,,,,,,
S3_fixed_pair,all,68,0.029931499586341285,0.08088235294117647,0.22872887992674917,0.0,78.17647058823529,156.35294117647058,42271.294117647056,0.0,,,,,,
S4_adaptive_root,2wikimultihopqa,18,0.05277777777777778,0.08333333333333333,0.17247281177428236,0.0,42.388888888888886,84.77777777777777,13811.277777777777,0.0,,,,,,
S4_adaptive_root,hotpotqa,16,0.06770833333333333,0.125,0.28783808479532164,0.0,50.125,100.25,10505.0625,0.0,,,,,,
S4_adaptive_root,musique,18,0.0273786717752235,0.1111111111111111,0.2892241246407913,0.0,81.61111111111111,163.22222222222223,42626.166666666664,0.0,,,,,,
S4_adaptive_root,qasper,16,0.0,0.0,0.091820393016427,0.0,142.625,285.25,40842.9375,0.0,,,,,,
S4_adaptive_root,all,68,0.037149256254225826,0.08088235294117647,0.2115453014773427,0.0,78.17647058823529,156.35294117647058,27021.20588235294,0.0,,,,,,
S5_adaptive_successor,2wikimultihopqa,18,0.05,0.08333333333333333,0.18857393311071585,0.0,42.388888888888886,84.77777777777777,51571.38888888889,0.0,,,,,,
S5_adaptive_successor,hotpotqa,16,0.020833333333333332,0.03125,0.20368855377079062,0.0,50.125,100.25,81517.0,0.0,,,,,,
S5_adaptive_successor,musique,18,0.019212120130410983,0.1111111111111111,0.28426508453682364,0.0,81.61111111111111,163.22222222222223,99036.5,0.0,,,,,,
S5_adaptive_successor,qasper,16,0.0016666666666666668,0.0625,0.14946223474667747,0.0,142.625,285.25,203286.75,0.0,,,,,,
S5_adaptive_successor,all,68,0.023614972975697025,0.07352941176470588,0.20825757255787058,0.0,78.17647058823529,156.35294117647058,106879.44117647059,0.0,,,,,,
S6_adaptive_both,2wikimultihopqa,18,0.05277777777777778,0.08333333333333333,0.20279753425586758,0.0,42.388888888888886,84.77777777777777,58085.055555555555,0.0,,,,,,
S6_adaptive_both,hotpotqa,16,0.057291666666666664,0.09375,0.27499574611946737,0.0,50.125,100.25,85941.125,0.0,,,,,,
S6_adaptive_both,musique,18,0.009359903381642512,0.05555555555555555,0.23438824247647774,0.0,81.61111111111111,163.22222222222223,123323.05555555556,0.0,,,,,,
