split,dataset,example_id,conditioned_root_method,oracle_successor_method,oracle_recall,oracle_precision,oracle_mrr,combined_root_method,combined_successor_method,combined_recall,combined_precision,combined_mrr,comparisons,latency_ms,mapping_semantics
test,hotpotqa,5adc3aff5542996e685252eb,approx,approximate_new_address,0.0,0.0,0.14285714285714285,bm25,native_semantic,0.0,0.0,0.2,78,53.367000073194504,unordered_evidence_remainder
test,hotpotqa,5adc93a4554299438c868e01,exact,exact_new_address,0.0,0.0,0.14285714285714285,approx,approximate_new_address,0.2,0.5,1.0,76,52.584199933335185,unordered_evidence_remainder
test,hotpotqa,5ae6143f5542996de7b71b2d,semantic,bm25_state,0.0,0.0,0.1,bm25,exact_new_address,0.2,0.5,0.5,110,111.3829999230802,unordered_evidence_remainder
test,musique,2hop__10114_599630,bm25,approximate_new_address,0.0,0.0,0.043478260869565216,approx,native_semantic,0.0,0.0,0.07692307692307693,168,123.8758999388665,annotated_dependency
test,musique,2hop__103889_86452,bm25,approximate_new_address,0.0,0.0,0.07142857142857142,semantic,native_semantic,0.0,0.0,0.1,144,108.27169986441731,annotated_dependency
test,musique,2hop__104095_40501,exact,bm25_state,0.14285714285714285,0.5,0.5,hybrid,bm25_state,0.14285714285714285,0.5,1.0,176,154.81590013951063,annotated_dependency
test,musique,2hop__104095_40502,approx,native_semantic,0.0,0.0,0.3333333333333333,hybrid,native_semantic,0.0,0.0,0.3333333333333333,144,106.99329990893602,annotated_dependency
test,musique,2hop__10620_49084,semantic,hybrid_state,0.0,0.0,0.2,approx,native_semantic,0.0,0.0,0.3333333333333333,136,153.79570005461574,annotated_dependency
test,musique,2hop__107238_64918,bm25,native_semantic,0.0,0.0,0.3333333333333333,bm25,native_semantic,0.0,0.0,0.3333333333333333,220,165.96959996968508,annotated_dependency
test,musique,3hop1__102087_214799_259594,hybrid,bm25_state,0.125,0.5,1.0,exact,native_semantic,0.25,1.0,1.0,122,151.3837999664247,annotated_dependency
test,musique,3hop1__103197_214799_259594,bm25,approximate_new_address,0.0,0.0,0.2,semantic,bm25_state,0.125,0.5,1.0,124,61.588999815285206,annotated_dependency
test,musique,3hop1__103254_214799_259594,exact,native_semantic,0.0,0.0,0.3333333333333333,hybrid,native_semantic,0.0,0.0,0.3333333333333333,128,88.46980007365346,annotated_dependency
test,musique,3hop2__101809_30152_20999,approx,bm25_state,0.0,0.0,0.25,semantic,native_semantic,0.0,0.0,0.3333333333333333,180,218.15550001338124,annotated_dependency
