stage,method,n,comparisons,index_lookups,token_span_operations,latency_ms_exhaustive_python,index_memory_bytes,placement,cross_method_scalar_cost
root,semantic,132,73.4469696969697,19.59090909090909,0.0,39.770525767270364,0.0,CPU exhaustive Python,not_defined
root,exact,132,73.4469696969697,19.59090909090909,43335.568181818184,41.92094091206055,35039.15151515151,CPU exhaustive Python,not_defined
root,bm25,132,73.4469696969697,19.59090909090909,43335.568181818184,38.14103862686986,35039.15151515151,CPU exhaustive Python,not_defined
root,approx,132,73.4469696969697,19.59090909090909,43335.568181818184,35.00996059985041,35039.15151515151,CPU exhaustive Python,not_defined
root,hybrid,132,73.4469696969697,19.59090909090909,43335.568181818184,34.07449468927966,35039.15151515151,CPU exhaustive Python,not_defined
successor,native_semantic,598,155.1571906354515,63.92642140468227,0.0,125.12310368692609,0.0,CPU exhaustive Python,not_defined
successor,exact_new_address,598,155.1571906354515,63.92642140468227,157986.42474916388,115.87516153285772,37100.959866220735,CPU exhaustive Python,not_defined
successor,bm25_state,598,155.1571906354515,63.92642140468227,157986.42474916388,165.82572056964838,37100.959866220735,CPU exhaustive Python,not_defined
successor,approximate_new_address,598,155.1571906354515,63.92642140468227,157986.42474916388,107.84770317187215,37100.959866220735,CPU exhaustive Python,not_defined
successor,hybrid_state,598,155.1571906354515,63.92642140468227,157986.42474916388,162.70468845444864,37100.959866220735,CPU exhaustive Python,not_defined
