heldout_dataset,train_datasets,train_n,test_n,root_method_accuracy,dataset_feature_used
2wikimultihopqa,hotpotqa|musique|qasper,34,24,0.16666666666666666,0
hotpotqa,2wikimultihopqa|musique|qasper,50,16,0.1875,0
musique,2wikimultihopqa|hotpotqa|qasper,40,18,0.2777777777777778,0
qasper,2wikimultihopqa|hotpotqa|musique,50,16,0.25,0
