partition,dataset,fraction,variant,representation,query_window_size,query_stride,query_facet_reduction,head_mode,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,false_positive_parent_count,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,query_facet_count,active_head_count,search_comparisons,candidate_parent_comparisons,deduplicated_candidates,final_parent_budget,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,selection_wall_time,wall_time,root_recall_gain_per_extra_comparison
test,hotpotqa,0.1,A_global_semantic,learned_semantic_128d,,,max,not_applicable,35,7,5,0.22857142857142856,2.6,0.5033333333333333,0.22857142857142856,0.4857142857142857,0.9714285714285714,1.0,-0.029292474793536322,1.7511168003082276,0.6857142857142857,0.13333333333333333,0.3142857142857143,0.13333333333333333,0.0,1.0,1.0,5.857142857142857,5.857142857142857,5.857142857142857,1.0,253.37142857142857,0.18204552328443957,0.0012264514242165854,0.003618114281977926,0.004845011423874114,
test,hotpotqa,0.1,B_multi_span_semantic,learned_semantic_128d,4,2,max,not_applicable,35,7,5,0.42857142857142855,2.2285714285714286,0.6257142857142857,0.42857142857142855,0.5714285714285714,0.9428571428571428,1.0,-0.009385636102940355,1.7536497558866229,0.45714285714285713,0.2523809523809524,0.5428571428571428,0.2523809523809524,0.0,11.142857142857142,1.0,67.57142857142857,67.57142857142857,5.857142857142857,1.0,251.0,0.18006437994991278,0.0014817314305608825,0.003401599994062313,0.004883788565972022,
test,hotpotqa,0.1,C_global_split_head,layer27_pre_rope_native_qk,,,max,per_head_top1,7,7,0,0.42857142857142855,3.0,0.5846938775510203,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,-0.10549170630318778,1.7516496351787023,0.42857142857142855,0.2619047619047619,0.5714285714285714,0.2619047619047619,0.0,1.0,16.0,93.71428571428571,5.857142857142857,4.428571428571429,1.0,256.0,0.18417564599803068,0.0011920999885270639,0.01720437142232965,0.018396914271371707,
test,hotpotqa,0.1,D_multi_span_split_head,layer27_pre_rope_native_qk,4,2,max,per_head_top1,7,7,0,0.14285714285714285,3.5714285714285716,0.37857142857142856,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,-0.14587409155709402,1.7507628543036324,0.42857142857142855,0.2619047619047619,0.5714285714285714,0.2619047619047619,0.0,11.142857142857142,16.0,1081.142857142857,67.57142857142857,4.571428571428571,1.0,225.0,0.16380530258628248,0.0014154571524289037,0.015292200002087546,0.016708085729208375,
test,hotpotqa,0.1,E_global_native_mean,layer27_pre_rope_native_qk,,,max,mean,7,7,0,0.2857142857142857,2.857142857142857,0.5047619047619047,0.2857142857142857,0.42857142857142855,0.8571428571428571,1.0,-0.05949272428240095,1.7552485125405448,0.42857142857142855,0.2619047619047619,0.5714285714285714,0.2619047619047619,0.0,1.0,16.0,93.71428571428571,5.857142857142857,5.857142857142857,1.0,256.0,0.18417564599803068,0.0013153428361485048,0.003787499993839966,0.005103257118857333,
test,hotpotqa,0.1,F_multi_span_native_mean,layer27_pre_rope_native_qk,4,2,max,mean,7,7,0,0.42857142857142855,2.7142857142857144,0.5952380952380952,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,-0.08160393578665597,1.755114197731018,0.42857142857142855,0.2619047619047619,0.5714285714285714,0.2619047619047619,0.0,11.142857142857142,16.0,1081.142857142857,67.57142857142857,5.857142857142857,1.0,232.57142857142858,0.16978463160701632,0.0013240857016561286,0.003369971436248826,0.004694457140950752,
test,hotpotqa,0.2,A_global_semantic,learned_semantic_128d,,,max,not_applicable,35,7,5,0.34285714285714286,2.6,0.5033333333333333,0.22857142857142856,0.4857142857142857,0.9714285714285714,1.0,-0.029292474793536322,1.7511168003082276,1.1142857142857143,0.20476190476190478,0.34285714285714286,0.16666666666666666,0.0,1.0,1.0,5.857142857142857,5.857142857142857,5.857142857142857,1.5714285714285714,397.85714285714283,0.2730640797755788,0.0012264514242165854,0.0035704371436232965,0.004797374284160989,
test,hotpotqa,0.2,B_multi_span_semantic,learned_semantic_128d,4,2,max,not_applicable,35,7,5,0.45714285714285713,2.2285714285714286,0.6257142857142857,0.42857142857142855,0.5714285714285714,0.9428571428571428,1.0,-0.009385636102940355,1.7536497558866229,0.9428571428571428,0.29523809523809524,0.45714285714285713,0.2476190476190476,0.02857142857142857,11.142857142857142,1.0,67.57142857142857,67.57142857142857,5.857142857142857,1.5714285714285714,393.6857142857143,0.26986094051437176,0.0014817314305608825,0.0033142371419151977,0.004796431429817208,0.0018518518518518515
test,hotpotqa,0.2,C_global_split_head,layer27_pre_rope_native_qk,,,max,per_head_top1,7,7,0,0.42857142857142855,3.0,0.5846938775510203,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,-0.10549170630318778,1.7516496351787023,1.0,0.2619047619047619,0.42857142857142855,0.21428571428571427,0.0,1.0,16.0,93.71428571428571,5.857142857142857,4.428571428571429,1.5714285714285714,402.2857142857143,0.27641619841585013,0.0011920999885270639,0.01574165713308113,0.016934171410477056,0.0009756097560975608
test,hotpotqa,0.2,D_multi_span_split_head,layer27_pre_rope_native_qk,4,2,max,per_head_top1,7,7,0,0.14285714285714285,3.5714285714285716,0.37857142857142856,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,-0.14587409155709402,1.7507628543036324,1.0,0.2619047619047619,0.5,0.23809523809523808,0.0,11.142857142857142,16.0,1081.142857142857,67.57142857142857,4.571428571428571,1.5714285714285714,354.7142857142857,0.24558197739978144,0.0014154571524289037,0.014682885725051165,0.016098771443856612,-0.00018599707718878705
