candidate,hotpot_root_present,hotpot_mrr,qasper_root_present,qasper_preserved,search_comparisons
w4_s2_max,0.2,0.3607936507936508,0.82,True,70.44444444444444
w4_s2_top_m_mean,0.2,0.3483068783068783,0.82,True,70.44444444444444
w8_s4_max,0.17777777777777778,0.35114638447971785,0.82,True,37.55555555555556
w8_s4_top_m_mean,0.17777777777777778,0.34883597883597883,0.82,True,37.55555555555556
w16_s8_max,0.15555555555555556,0.3434920634920635,0.8,True,20.666666666666668
w16_s8_top_m_mean,0.15555555555555556,0.3365079365079365,0.84,True,20.666666666666668
