candidate,hotpot_root_present,hotpot_mrr,qasper_root_present,qasper_preserved,search_comparisons,deduplicated_candidates
max,0.1111111111111111,0.2820767195767196,0.2,True,112.0,7.0
top4_mean,0.0,0.2175925925925926,0.4,True,112.0,7.0
per_head_top1,0.1111111111111111,0.2820767195767196,0.3,True,112.0,4.888888888888889
per_head_top2,0.1111111111111111,0.2820767195767196,0.2,True,112.0,6.0
