example_id,dataset,partition,seed,fraction,budget,variant,representation,query_window_size,query_stride,query_facet_reduction,query_facet_count,head_mode,active_head_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,winning_query_facet,winning_query_span_kind,winning_query_span,winning_query_span_text,winning_head,oracle_score,best_distractor_parent,best_distractor_score,oracle_margin,score_entropy,false_positive_parent_count,selected_parent_ids,nominated_parent_ids,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,search_comparisons,raw_span_head_comparisons,candidate_parent_comparisons,deduplicated_candidates,final_parent_budget,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,selection_wall_time,wall_time,full_query_forward_count,independent_window_forward_count,method,first_oracle_group_present,chain_complete,total_routing_comparisons,propagation_activation,estimated_full_routing_seconds,final_ids,first_oracle_group_locked,frozen_scorer_seconds,lock_policy,locked_root_count,locked_root_ids,mean_transition_k,native_qk_comparisons,oracle_root_locked,oracle_root_state,policy_role,propagated_ids,propagation_budget,propagation_hops,root_comparisons,root_confidence,root_scores,root_topB_ids,second_oracle_recovered_given_first_locked,semantic_comparisons,stage,transition_comparisons,transition_confidence,transition_geometry,transition_k,transition_policy,transition_score_traces,unique_parents_selected,query_facet_comparisons,query_facet_scoring_seconds
5ab2b863554299295394685a,hotpotqa,test,11,0.2,2,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,3,2,1.0,0.5,0.0,1.0,1.0,1.0,0,global,"[38, 39]",,,-0.46591776609420776,1,-0.4566953778266907,-0.00922238826751709,1.790663242340088,1,"[1, 3]",[],0.5,0.5,0.3333333333333333,0.0,6,6,6,6,2,512,0.33485938521909747,0.0012850999482907355,0.003346199984662235,0.004631899937521666,1,0,current_one_shot,1.0,1.0,6,0.0,0.004631899937521666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab2b863554299295394685a,hotpotqa,test,23,0.2,2,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,3,4,0.0,0.25,0.0,0.0,1.0,1.0,0,global,"[38, 39]",,,-0.5591421723365784,1,-0.5029016137123108,-0.05624055862426758,1.791266679763794,2,"[1, 2]",[],0.0,0.0,0.0,0.0,6,6,6,6,2,512,0.33485938521909747,0.0011818999773822725,0.0025449999957345426,0.0037272999761626124,1,0,current_one_shot,0.0,0.0,6,0.0,0.0037272999761626124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab2b863554299295394685a,hotpotqa,test,37,0.2,2,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[38, 39]",,,-0.6625170707702637,1,-0.6646523475646973,0.0021352767944335938,1.7913485765457153,1,"[3, 1]",[],0.5,0.5,0.3333333333333333,0.0,6,6,6,6,2,512,0.33485938521909747,0.0009067999781109393,0.0030556999845430255,0.003962899965699762,1,0,current_one_shot,1.0,1.0,6,0.0,0.003962899965699762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab2b863554299295394685a,hotpotqa,test,53,0.2,2,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,3,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0,global,"[38, 39]",,,-0.3541659712791443,1,-0.308756560087204,-0.04540941119194031,1.7910051345825195,2,"[1, 2]",[],0.0,0.0,0.0,0.0,6,6,6,6,2,512,0.33485938521909747,0.0008465000428259373,0.00229199999012053,0.0031389000359922647,1,0,current_one_shot,0.0,0.0,6,0.0,0.0031389000359922647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab2b863554299295394685a,hotpotqa,test,71,0.2,2,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,3,2,1.0,0.5,0.0,1.0,1.0,1.0,0,global,"[38, 39]",,,-0.6076028943061829,1,-0.5962157249450684,-0.011387169361114502,1.7912094593048096,1,"[1, 3]",[],0.5,0.5,0.3333333333333333,0.0,6,6,6,6,2,512,0.33485938521909747,0.0011381999938748777,0.0023892000317573547,0.0035277000279165804,1,0,current_one_shot,1.0,1.0,6,0.0,0.0035277000279165804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a710a915542994082a3e504,hotpotqa,test,11,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,1,2,0.0,0.5,0.0,1.0,1.0,1.0,0,global,"[42, 43]",,,-0.05754269286990166,0,-0.02130225859582424,-0.036240434274077415,1.6057988405227661,1,[0],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.2222222222222222,0.0009885000181384385,0.0021645999513566494,0.0031535999733023345,1,0,current_one_shot,0.0,0.0,5,0.0,0.0031535999733023345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a710a915542994082a3e504,hotpotqa,test,23,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,1,2,0.0,0.5,0.0,1.0,1.0,1.0,0,global,"[42, 43]",,,0.042576342821121216,0,0.2735583782196045,-0.23098203539848328,1.6014363765716553,1,[0],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.2222222222222222,0.0008015999919734895,0.0021838999819010496,0.0029858999769203365,1,0,current_one_shot,0.0,0.0,5,0.0,0.0029858999769203365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a710a915542994082a3e504,hotpotqa,test,37,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,1,2,0.0,0.5,0.0,1.0,1.0,1.0,0,global,"[42, 43]",,,-0.39597952365875244,0,-0.34761491417884827,-0.048364609479904175,1.606554627418518,1,[0],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.2222222222222222,0.0011416999623179436,0.002641000028233975,0.0037831999943591654,1,0,current_one_shot,0.0,0.0,5,0.0,0.0037831999943591654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a710a915542994082a3e504,hotpotqa,test,53,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[42, 43]",,,0.02924620360136032,0,-0.02805558405816555,0.05730178765952587,1.6072924137115479,0,[1],[],0.5,1.0,0.5,0.0,5,5,5,5,1,256,0.2222222222222222,0.0007734000100754201,0.002718700037803501,0.003492400050163269,1,0,current_one_shot,1.0,0.0,5,0.0,0.003492400050163269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a710a915542994082a3e504,hotpotqa,test,71,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,1,2,0.0,0.5,0.0,1.0,1.0,1.0,0,global,"[42, 43]",,,-0.2528991103172302,0,-0.20021745562553406,-0.05268165469169617,1.6071619987487793,1,[0],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.2222222222222222,0.0007597999647259712,0.0018341000541113317,0.0025943000218831003,1,0,current_one_shot,0.0,0.0,5,0.0,0.0025943000218831003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adc93a4554299438c868e01,hotpotqa,test,11,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[34, 35]",,,0.27405017614364624,4,-0.053438231348991394,0.32748840749263763,1.5713999271392822,0,[0],[],0.3333333333333333,1.0,0.3333333333333333,0.0,5,5,5,5,1,256,0.21386800334168754,0.0015973999979905784,0.0030741000082343817,0.0046719000092707574,1,0,current_one_shot,1.0,0.0,5,0.0,0.0046719000092707574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adc93a4554299438c868e01,hotpotqa,test,23,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[34, 35]",,,0.4916124641895294,4,0.47129330039024353,0.02031916379928589,1.5672446489334106,0,[0],[],0.3333333333333333,1.0,0.3333333333333333,0.0,5,5,5,5,1,256,0.21386800334168754,0.0008168999920599163,0.0033304000389762223,0.004147700034081936,1,0,current_one_shot,1.0,0.0,5,0.0,0.004147700034081936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adc93a4554299438c868e01,hotpotqa,test,37,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[34, 35]",,,-0.1833181530237198,4,-0.39023053646087646,0.20691238343715668,1.5912559032440186,0,[0],[],0.3333333333333333,1.0,0.3333333333333333,0.0,5,5,5,5,1,256,0.21386800334168754,0.0012863000156357884,0.0033247999963350594,0.0046116000157780945,1,0,current_one_shot,1.0,0.0,5,0.0,0.0046116000157780945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adc93a4554299438c868e01,hotpotqa,test,53,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[34, 35]",,,0.3538455665111542,4,0.18360841274261475,0.17023715376853943,1.578993558883667,0,[0],[],0.3333333333333333,1.0,0.3333333333333333,0.0,5,5,5,5,1,256,0.21386800334168754,0.001184699998702854,0.0024880999699234962,0.003673299972433597,1,0,current_one_shot,1.0,0.0,5,0.0,0.003673299972433597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adc93a4554299438c868e01,hotpotqa,test,71,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,global,"[34, 35]",,,0.09835615009069443,4,-0.045676104724407196,0.14403225481510162,1.5825631618499756,0,[0],[],0.3333333333333333,1.0,0.3333333333333333,0.0,5,5,5,5,1,256,0.21386800334168754,0.0007654000073671341,0.002826999989338219,0.0035929000005126,1,0,current_one_shot,1.0,0.0,5,0.0,0.0035929000005126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8888e35542997e5c09a5f6,hotpotqa,test,11,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,2,2,0.0,0.5,0.0,1.0,1.0,1.0,0,global,"[30, 31]",,,-0.6040316224098206,4,-0.5713778734207153,-0.032653748989105225,1.6091642379760742,0,[4],[],0.5,1.0,0.5,0.0,5,5,5,5,1,210,0.17017828200972449,0.0015518000000156462,0.004062200023327023,0.005614599969703704,1,0,current_one_shot,0.0,0.0,5,0.0,0.005614599969703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8888e35542997e5c09a5f6,hotpotqa,test,23,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,0,global,"[30, 31]",,,-0.4629078209400177,3,-0.4435672163963318,-0.019340604543685913,1.6080646514892578,1,[3],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.20745542949756887,0.0018431000062264502,0.0035438999766483903,0.005387499986682087,1,0,current_one_shot,0.0,0.0,5,0.0,0.005387499986682087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8888e35542997e5c09a5f6,hotpotqa,test,37,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0,global,"[30, 31]",,,-0.7881534099578857,3,-0.7720065116882324,-0.01614689826965332,1.6093759536743164,1,[3],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.20745542949756887,0.0012824999867007136,0.004497300018556416,0.005780200008302927,1,0,current_one_shot,0.0,0.0,5,0.0,0.005780200008302927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8888e35542997e5c09a5f6,hotpotqa,test,53,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,0,global,"[30, 31]",,,-0.5130060315132141,4,-0.43275943398475647,-0.08024659752845764,1.6089236736297607,0,[4],[],0.5,1.0,0.5,0.0,5,5,5,5,1,210,0.17017828200972449,0.0011700000031851232,0.0035282999742776155,0.004698599979747087,1,0,current_one_shot,0.0,0.0,5,0.0,0.004698599979747087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8888e35542997e5c09a5f6,hotpotqa,test,71,0.2,1,A_global_semantic,learned_semantic_128d,,,max,1,not_applicable,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,0,global,"[30, 31]",,,-0.7130891680717468,3,-0.6635764241218567,-0.04951274394989014,1.6088464260101318,1,[3],[],0.0,0.0,0.0,0.0,5,5,5,5,1,256,0.20745542949756887,0.0011580000282265246,0.004851700039580464,0.006010300072375685,1,0,current_one_shot,0.0,0.0,5,0.0,0.006010300072375685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
