dataset,method,identities,seeds,rows,first_oracle_group_present,oracle_recall,complete_oracle,chain_complete,active_final_kv_fraction,total_routing_comparisons,propagation_activation,estimated_full_routing_seconds
hotpotqa,current_best_monotonic_iterative,7,5,35,0.34285714285714286,0.2333333333333333,0.0,0.14285714285714285,0.2730640797755788,82409.4857142857,0.3142857142857143,0.00612683427752927
hotpotqa,current_one_shot,7,5,35,0.34285714285714286,0.20476190476190478,0.0,0.14285714285714285,0.2730640797755788,5.857142857142857,0.0,0.004797374284160989
hotpotqa,new_query_facets_plus_monotonic_propagation,7,5,35,0.45714285714285713,0.29523809523809524,0.05714285714285714,0.17142857142857143,0.27204332347302984,112231.65714285715,0.42857142857142855,0.009271594291619424
hotpotqa,new_query_facets_root_only,7,5,35,0.45714285714285713,0.29523809523809524,0.02857142857142857,0.17142857142857143,0.26986094051437176,67.57142857142857,0.0,0.0015879542866189566
qasper,current_best_monotonic_iterative,6,5,30,0.9666666666666667,0.8833333333333333,0.8,0.8,0.22889942918754916,907557.5666666667,0.7666666666666667,0.06857924666643764
qasper,current_one_shot,6,5,30,0.9666666666666667,0.8833333333333333,0.8,0.8,0.22889942918754916,16.333333333333332,0.0,0.008728496672119945
qasper,new_query_facets_plus_monotonic_propagation,6,5,30,0.9666666666666667,0.8833333333333333,0.8,0.8,0.23031175899867948,1154035.5333333334,0.8333333333333334,0.08309740332382111
qasper,new_query_facets_root_only,6,5,30,0.9666666666666667,0.8833333333333333,0.8,0.8,0.22744540475683023,82.0,0.0,0.0014646199900501717
