dataset,example_id,query_mode,winning_head,oracle_root_parent,head_specific_oracle_rank,aggregated_oracle_rank,best_distractor_parent,score_margin
hotpotqa,5a710a915542994082a3e504,global,15,1,1,4,2,0.11413812637329102
hotpotqa,5a80d6be55429938b6142206,global,14,2,1,3,1,0.0006074905395507812
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,global,7,1,2,6,18,-0.10624885559082031
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,global,7,0,4,11,13,-0.1229867935180664
