combined_recall_at_3,condition,hotpotqa_recall_at_3,qasper_recall_at_3,routing_index_fraction
0.46875,Zero-shot cosine,0.8125,0.125,0.03137047472764447
0.5625,Contrastive asymmetric-128,0.4,0.725,0.003928906317528372
0.63125,Margin asymmetric-128,0.5875,0.675,0.0039213093409555585
0.63125,Contrastive shared-256,0.5,0.7625,0.007842618681911117
0.5375,Mixed negatives,0.3125,0.7625,0.0039213093409555585
0.50625,Mined round 1,0.2875,0.725,0.0039213093409555585
