dataset,budget_chunks,example_id,regime,best_lexical_mode,selection_jaccard,chunks_unique_to_lowrank,evidence_unique_to_lowrank,evidence_unique_to_lexical,lowrank_recall_delta
musique,4,2hop__107905_110222,zero_shot,bm25,0.14285714285714285,3,1,2,-0.09090909090909091
musique,4,2hop__107905_110222,retrained,bm25,0.0,4,0,2,-0.18181818181818182
musique,4,2hop__107905_110222,mixed,bm25,0.14285714285714285,3,1,1,0.0
musique,8,2hop__107905_110222,zero_shot,bm25,0.14285714285714285,6,2,2,0.0
musique,8,2hop__107905_110222,retrained,bm25,0.0,8,0,2,-0.18181818181818182
musique,8,2hop__107905_110222,mixed,bm25,0.14285714285714285,6,3,0,0.2727272727272727
musique,4,2hop__115515_779396,zero_shot,bm25,0.3333333333333333,2,0,0,0.0
musique,4,2hop__115515_779396,retrained,bm25,0.0,4,0,1,-0.125
musique,4,2hop__115515_779396,mixed,bm25,0.14285714285714285,3,0,0,0.0
musique,8,2hop__115515_779396,zero_shot,bm25,0.3333333333333333,4,0,0,0.0
musique,8,2hop__115515_779396,retrained,bm25,0.06666666666666667,7,0,2,-0.25
musique,8,2hop__115515_779396,mixed,bm25,0.14285714285714285,6,0,1,-0.125
musique,4,2hop__128945_47686,zero_shot,bm25,0.0,4,2,1,0.1
musique,4,2hop__128945_47686,retrained,bm25,0.14285714285714285,3,0,1,-0.1
musique,4,2hop__128945_47686,mixed,bm25,0.0,4,1,1,0.0
musique,8,2hop__128945_47686,zero_shot,bm25,0.0,8,3,1,0.19999999999999998
musique,8,2hop__128945_47686,retrained,bm25,0.14285714285714285,6,0,1,-0.1
musique,8,2hop__128945_47686,mixed,bm25,0.06666666666666667,7,1,1,0.0
musique,4,2hop__131951_643670,zero_shot,bm25,0.0,4,1,1,0.0
musique,4,2hop__131951_643670,retrained,bm25,0.0,4,2,1,0.14285714285714285
musique,4,2hop__131951_643670,mixed,bm25,0.0,4,1,1,0.0
musique,8,2hop__131951_643670,zero_shot,bm25,0.06666666666666667,7,1,1,0.0
musique,8,2hop__131951_643670,retrained,bm25,0.14285714285714285,6,2,1,0.14285714285714285
musique,8,2hop__131951_643670,mixed,bm25,0.14285714285714285,6,1,1,0.0
musique,4,2hop__133116_533882,zero_shot,bm25,0.0,4,0,2,-0.4
musique,4,2hop__133116_533882,retrained,bm25,0.0,4,1,2,-0.2
musique,4,2hop__133116_533882,mixed,bm25,0.0,4,1,2,-0.2
musique,8,2hop__133116_533882,zero_shot,bm25,0.06666666666666667,7,0,2,-0.4
musique,8,2hop__133116_533882,retrained,bm25,0.14285714285714285,6,2,1,0.19999999999999996
musique,8,2hop__133116_533882,mixed,bm25,0.06666666666666667,7,1,2,-0.2
musique,4,2hop__13353_85402,zero_shot,bm25,0.0,4,0,2,-0.08695652173913043
musique,4,2hop__13353_85402,retrained,bm25,0.0,4,2,2,0.0
musique,4,2hop__13353_85402,mixed,bm25,0.0,4,0,2,-0.08695652173913043
musique,8,2hop__13353_85402,zero_shot,bm25,0.0,8,0,2,-0.08695652173913043
musique,8,2hop__13353_85402,retrained,bm25,0.06666666666666667,7,2,1,0.043478260869565216
musique,8,2hop__13353_85402,mixed,bm25,0.0,8,1,2,-0.043478260869565216
