dataset,budget_chunks,condition,seeds,mean,median,min,max,std,topk_stability_jaccard
musique,4,rank16_mixed,5,0.061137154087592904,0.05895013663480146,0.04261477047876967,0.08871291632605739,0.016259580081393506,0.08155238095238095
musique,4,rank16_retrained,5,0.06174930596220608,0.06091714063818654,0.05346649194047901,0.07515714601688823,0.00787278535718197,0.15662857142857142
musique,4,rank16_zero_shot,5,0.05965166525865813,0.05613385147069021,0.050779943697513354,0.06895845472709788,0.007026539369315421,0.14425714285714283
musique,4,rank8_centroid8_mixed,5,0.06195756845949402,0.06346344890321536,0.04516445829301193,0.08287107913175351,0.013349927236104744,0.056209523809523806
musique,4,rank8_centroid8_retrained,5,0.061753227338462224,0.061374562658217925,0.048667097582873596,0.07323718491952104,0.007935222434275597,0.14896190476190474
musique,4,rank8_centroid8_zero_shot,5,0.05367047910794579,0.05132212721731836,0.047288814941359024,0.06376414469640677,0.0059920744912091905,0.12322857142857142
musique,4,rank8_mixed,5,0.06697856037039643,0.0675935081733002,0.05367934721386061,0.07915782266857445,0.0100761404763193,0.06666666666666665
musique,4,rank8_retrained,5,0.06543232065574305,0.06432348606882864,0.05996308052374481,0.07247592587823776,0.004479634393814483,0.23323809523809524
musique,4,rank8_zero_shot,5,0.05354836986087154,0.055583046281727125,0.04259435530518449,0.061301135738896534,0.0066302633197169985,0.159
musique,8,rank16_mixed,5,0.12884560118647748,0.130841633511192,0.09507463856942926,0.1747392848988555,0.027158547453634288,0.13106395826395825
musique,8,rank16_retrained,5,0.11922268239433201,0.11974668060958947,0.09578497995625469,0.14569168240226593,0.017639868821103504,0.19915595515595516
musique,8,rank16_zero_shot,5,0.12035465931594616,0.12103542452596834,0.10935557397576176,0.13111372247314163,0.008706348174238395,0.2067101565101565
musique,8,rank8_centroid8_mixed,5,0.11954352160582271,0.11697302651432412,0.09237334526535967,0.1452383943183243,0.018179493236643668,0.09198921078921078
musique,8,rank8_centroid8_retrained,5,0.12211213441245343,0.1217791985713543,0.10503080852158117,0.14063390332428224,0.011316752557328029,0.21206773226773226
musique,8,rank8_centroid8_zero_shot,5,0.10937457519231042,0.10875116665950223,0.09662389002503755,0.12571596424805806,0.009673005029234544,0.175595670995671
musique,8,rank8_mixed,5,0.1212864983438661,0.11216567572695921,0.10228866094607446,0.15199120369056765,0.01946761348330636,0.10850036630036629
musique,8,rank8_retrained,5,0.13149178827633531,0.12987777440399598,0.12289734332612243,0.14664730833172748,0.008093199830888225,0.2831042513042513
musique,8,rank8_zero_shot,5,0.11367986995072202,0.11396864657567646,0.10363192272796526,0.12411577617914608,0.008164958219108953,0.2096888000888001
