dataset,split,example_id,condition,seed,row_kind,budget_chunks,candidate_chunks,positive_chunks,authored_evidence_items,positive_chunk_ids,authored_chain_budget_feasible,full_positive_span_budget_feasible,selected_chunks,index_bytes_per_chunk,routing_setup_plus_score_ms,materialized_native_kv_tokens,active_memory_fraction,backing_native_kv_bytes,transfer_bytes,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks,mae,rmse,spearman,kendall,kl,teacher_top1_overlap,teacher_top2_overlap,teacher_top4_overlap,teacher_top8_overlap
musique,validation,2hop__131275_72870,native_mean,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,7 8 38 67,4096,0.0,128,0.058742542450665444,8925184,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5146135091781616,1.5560803413391113,0.708695650100708,0.5524296675191815,0.06541139632463455,0.0,0.0,0.0,0.5
musique,validation,2hop__131275_72870,native_farthest_m2,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,48 0 8 40,8192,0.0,128,0.058742542450665444,8925184,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.431475281715393,1.5596386194229126,0.6063573360443115,0.4475703324808184,0.4002983868122101,0.0,0.5,0.5,1.0
musique,validation,2hop__131275_72870,exact,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,55 0 1 20,0,32.65780000947416,128,0.058742542450665444,8925184,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.25,4.0,6.0811004638671875,6.0955986976623535,0.1843259036540985,0.17816436712657469,0.0964222177863121,0.0,0.5,0.25,0.125
musique,validation,2hop__131275_72870,bm25,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,26 28 27 23,0,32.65780000947416,128,0.058742542450665444,8925184,524288,0.4444444444444444,1.0,1.0,1.0,0.0,1.0,4.0,6.074876308441162,6.090989589691162,0.022981366142630577,0.008658008658008658,0.11349547654390335,0.0,0.0,0.0,0.0
musique,validation,2hop__131275_72870,approximate,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,55 26 54 21,0,32.65780000947416,128,0.058742542450665444,8925184,524288,0.2222222222222222,0.5,1.0,1.0,0.0,0.5,4.0,6.11277437210083,6.125314235687256,0.2043112814426422,0.12537441163885324,0.08629035204648972,0.0,0.0,0.0,0.125
musique,validation,2hop__131275_72870,inherited_hybrid,-1,control,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,0 26 7 64,0,32.65780000947416,128,0.058742542450665444,8925184,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.5,4.0,5.80137825012207,5.810883522033691,0.6984289288520813,0.5200341005967605,0.06304329633712769,1.0,0.5,0.5,0.375
musique,validation,2hop__131275_72870,rank8_zero_shot,11,seed,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,51 48 26 45,1024,6.275500170886517,128,0.058742542450665444,8925184,524288,0.1111111111111111,0.25,1.0,0.0,0.0,0.3333333333333333,4.0,3.3980178833007812,3.6214351654052734,0.20010963082313538,0.13128729752770674,0.5271022319793701,0.0,0.0,0.0,0.375
musique,validation,2hop__131275_72870,rank8_zero_shot,23,seed,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,24 40 48 41,1024,4.955200012773275,128,0.058742542450665444,8925184,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.321651458740234,5.429251194000244,0.3308001458644867,0.22932651321398123,0.47131267189979553,0.0,0.0,0.5,0.5
musique,validation,2hop__131275_72870,rank8_zero_shot,37,seed,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,24 48 25 8,1024,4.988300148397684,128,0.058742542450665444,8925184,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.747003436088562,0.9253925085067749,0.48502007126808167,0.3452685421994885,0.25487589836120605,0.0,0.0,0.25,0.625
musique,validation,2hop__131275_72870,rank8_zero_shot,53,seed,4,69,9,2,20 21 22 23 26 27 28 29 30,True,False,48 40 24 51,1024,5.4471001494675875,128,0.058742542450665444,8925184,524288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.335247993469238,8.45142650604248,0.42725610733032227,0.30179028132992325,0.6655424237251282,0.0,0.0,0.5,0.5
