adaptive_eligible,auxiliary_resolved,calls,cohort,decisions,divergence_right_censored_at,evidence_class,exact_command_rate,first_action_divergence,first_action_divergence_fraction,independence_key,model,official_resolved,quality_proxy,saving_fraction,source,strategy,strategy_coordinate,strategy_family,task_id,tool_calls,valid_action_rate
True,,,task01_late_semantic_vs_tail,7,7,frozen_next_action,1.0,,,c6872e9da8ef176327b5528911f75a0bfb003c3fb15b09b65aff0fff2e1e6d24,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task01_qwen30/comparison.json,FULL,FULL,full,django__django-15277,,1.0
True,,,task01_late_semantic_vs_tail,7,,frozen_next_action,0.5714285714285714,22,,c6872e9da8ef176327b5528911f75a0bfb003c3fb15b09b65aff0fff2e1e6d24,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,0.5714285714285714,0.028795862798487726,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task01_qwen30/comparison.json,safe2_h1_h3@100%-ceiling;Kf=8;Kr=2;seed=0,safe2_h1_h3@100%-ceiling;Kf=8;Kr=2,safe2_h1_h3,django__django-15277,,0.8571428571428571
True,,,task01_late_semantic_vs_tail,7,,frozen_next_action,0.8571428571428571,22,,c6872e9da8ef176327b5528911f75a0bfb003c3fb15b09b65aff0fff2e1e6d24,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,0.8571428571428571,0.029187643244725656,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task01_qwen30/comparison.json,matched_token_tail@matched-ceiling:678d9bf6;seed=0,matched_token_tail@matched-ceiling:678d9bf6,matched_token_tail,django__django-15277,,1.0
True,,,task02_late_semantic_vs_tail,11,11,frozen_next_action,1.0,,,d307637aca354cbdec0679020a8c77998402a0745f9a7a7160cc4ce601cd9780,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task02_qwen30/comparison.json,FULL,FULL,full,django__django-15368,,1.0
True,,,task02_late_semantic_vs_tail,11,,frozen_next_action,0.6363636363636364,23,,d307637aca354cbdec0679020a8c77998402a0745f9a7a7160cc4ce601cd9780,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,0.6363636363636364,0.027135796966558736,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task02_qwen30/comparison.json,safe2_h1_h3@100%-ceiling;Kf=8;Kr=2;seed=0,safe2_h1_h3@100%-ceiling;Kf=8;Kr=2,safe2_h1_h3,django__django-15368,,1.0
True,,,task02_late_semantic_vs_tail,11,,frozen_next_action,0.7272727272727273,25,,d307637aca354cbdec0679020a8c77998402a0745f9a7a7160cc4ce601cd9780,/Users/admin.jorge.simao/.cache/huggingface/hub/models--mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit/snapshots/6e302ea604ad9ab206367e2c501d1571023e7b6d,,0.7272727272727273,0.027922341806169135,docs/papers/shared/results/paper8_5_agent_memory/frozen_long_task02_qwen30/comparison.json,matched_token_tail@matched-ceiling:cfed863a;seed=0,matched_token_tail@matched-ceiling:cfed863a,matched_token_tail,django__django-15368,,1.0
False,,,task03_materialization_d3_10,23,23,frozen_next_action,1.0,,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/materialization_t512_d3_10_comparison.json,FULL,FULL,full,scikit-learn__scikit-learn-13135,,0.9565217391304348
False,,,task03_materialization_d3_10,8,,frozen_next_action,0.5,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.5,0.07541753653444676,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/materialization_t512_d3_10_comparison.json,FULL;materialization=tool_structured_evidence;threshold=512,FULL;materialization=tool_structured_evidence;threshold=512,tool_structured_evidence,scikit-learn__scikit-learn-13135,,1.0
False,,,task03_materialization_d3_10,8,,frozen_next_action,0.25,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.25,0.2826722338204593,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/materialization_t512_d3_10_comparison.json,FULL;materialization=tool_matched_span;threshold=512,FULL;materialization=tool_matched_span;threshold=512,tool_matched_span,scikit-learn__scikit-learn-13135,,1.0
False,,,task03_materialization_d3_10,8,,frozen_next_action,0.125,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.125,0.3028183716075157,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/materialization_t512_d3_10_comparison.json,FULL;materialization=tool_head_tail;threshold=512,FULL;materialization=tool_head_tail;threshold=512,tool_head_tail,scikit-learn__scikit-learn-13135,,1.0
True,,,task03_structured_materialization_all,23,23,frozen_next_action,1.0,,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/structured_evidence_t512_comparison.json,FULL,FULL,full,scikit-learn__scikit-learn-13135,,0.9565217391304348
True,,,task03_structured_materialization_all,23,,frozen_next_action,0.45454545454545453,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.5454545454545454,0.05543194933428423,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/structured_evidence_t512_comparison.json,FULL;materialization=tool_structured_evidence;threshold=512,FULL;materialization=tool_structured_evidence;threshold=512,tool_structured_evidence,scikit-learn__scikit-learn-13135,,0.9565217391304348
False,,,task03_structured_threshold_repeat,23,23,frozen_next_action,1.0,,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,1.0,0.0,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/structured_threshold_curve/comparison_equivalent_thresholds.json,FULL,FULL,full,scikit-learn__scikit-learn-13135,,0.9565217391304348
False,,,task03_structured_threshold_repeat,23,,frozen_next_action,0.5454545454545454,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.6363636363636364,0.05543194933428423,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/structured_threshold_curve/comparison_equivalent_thresholds.json,FULL;materialization=tool_structured_evidence;threshold=256;H=1;T=2,FULL;materialization=tool_structured_evidence;threshold=256;H=1;T=2,tool_structured_evidence,scikit-learn__scikit-learn-13135,,0.9565217391304348
False,,,task03_structured_threshold_repeat,23,,frozen_next_action,0.45454545454545453,3,,e770f747c8b3081a4f0ba8675b4143ccfd80efbf14a1ea37a660e6d503ed1027,qwen3-coder:30b,,0.5454545454545454,0.05543194933428423,docs/papers/shared/results/paper8_5_agent_memory/frozen_task03_qwen30/structured_threshold_curve/comparison_equivalent_thresholds.json,FULL;materialization=tool_structured_evidence;threshold=512;H=1;T=2,FULL;materialization=tool_structured_evidence;threshold=512;H=1;T=2,tool_structured_evidence,scikit-learn__scikit-learn-13135,,0.9565217391304348
