split,seed,example_id,target_facet,discovered_facet,suppressed_units,normal_similarity,cluster_suppressed_similarity,random_unit_suppressed_similarity,cluster_damage,random_damage,selective_damage_advantage
test,101,test-s101-e000,0,0,5,1.0,0.0,0.0,1.0,1.0,0.0
test,101,test-s101-e001,0,1,3,1.0,0.00013990886509418488,0.8844660520553589,0.9998600911349058,0.11553394794464111,0.8843261431902647
test,101,test-s101-e001,1,0,4,0.9999999403953552,0.00013991445302963257,0.8488913774490356,0.9998600259423256,0.15110856294631958,0.848751462996006
test,101,test-s101-e002,0,2,4,1.0,0.020790932700037956,0.8527781963348389,0.979209067299962,0.14722180366516113,0.8319872636348009
test,101,test-s101-e002,1,1,5,1.0,0.2172553539276123,0.8311141729354858,0.7827446460723877,0.16888582706451416,0.6138588190078735
test,101,test-s101-e002,2,0,3,0.9999999403953552,0.21725529432296753,0.8246139287948608,0.7827446460723877,0.17538601160049438,0.6073586344718933
test,101,test-s101-e003,0,0,5,1.0,0.10901203006505966,0.8629580140113831,0.8909879699349403,0.13704198598861694,0.7539459839463234
test,101,test-s101-e003,1,3,3,1.0,0.11954410374164581,0.9056517481803894,0.8804558962583542,0.0943482518196106,0.7861076444387436
test,101,test-s101-e003,2,1,4,1.0000001192092896,0.11954410374164581,0.8725378513336182,0.8804560154676437,0.1274622678756714,0.7529937475919724
test,101,test-s101-e003,3,2,5,0.9999999403953552,0.10901201516389847,0.8293210864067078,0.8909879252314568,0.17067885398864746,0.7203090712428093
test,101,test-s101-e004,0,3,3,1.0,0.03409820795059204,0.860438883304596,0.965901792049408,0.13956111669540405,0.8263406753540039
test,101,test-s101-e004,1,4,4,1.0,0.21865051984786987,0.8672342300415039,0.7813494801521301,0.1327657699584961,0.648583710193634
test,101,test-s101-e004,2,1,5,1.0000001192092896,0.21561190485954285,0.8668120503425598,0.7843882143497467,0.13318806886672974,0.651200145483017
test,101,test-s101-e004,3,0,4,1.0,0.07681423425674438,0.935344934463501,0.9231857657432556,0.06465506553649902,0.8585307002067566
test,101,test-s101-e004,4,2,4,1.0000001192092896,0.21865051984786987,0.8801999688148499,0.7813495993614197,0.1198001503944397,0.66154944896698
test,101,test-s101-e005,0,3,4,0.9999998807907104,0.0655875876545906,0.863857626914978,0.9344122931361198,0.13614225387573242,0.7982700392603874
test,101,test-s101-e005,1,4,5,1.0,0.22846387326717377,0.8439543843269348,0.7715361267328262,0.15604561567306519,0.615490511059761
test,101,test-s101-e005,2,5,3,0.9999999403953552,0.2381441295146942,0.8846219778060913,0.761855810880661,0.11537796258926392,0.6464778482913971
test,101,test-s101-e005,3,0,4,1.0000001192092896,0.024100661277770996,0.8814931511878967,0.9758994579315186,0.11850696802139282,0.8573924899101257
test,101,test-s101-e005,4,1,5,0.9999998807907104,0.22846387326717377,0.862341046333313,0.7715360075235367,0.13765883445739746,0.6338771730661392
test,101,test-s101-e005,5,2,3,1.0,0.2381441295146942,0.9183212518692017,0.7618558704853058,0.08167874813079834,0.6801771223545074
test,101,test-s101-e006,0,0,5,1.0,0.0,0.0,1.0,1.0,0.0
test,101,test-s101-e007,0,0,3,1.0,-0.009669113904237747,0.8625913858413696,1.0096691139042377,0.13740861415863037,0.8722604997456074
test,101,test-s101-e007,1,1,4,0.9999998807907104,-0.009669091552495956,0.08993043005466461,1.0096689723432064,0.9100694507360458,0.09959952160716057
test,101,test-s101-e008,0,1,5,1.0,0.16416989266872406,0.8274644017219543,0.8358301073312759,0.17253559827804565,0.6632945090532303
test,101,test-s101-e008,1,0,5,1.0,0.1182665005326271,0.8399336338043213,0.8817334994673729,0.1600663661956787,0.7216671332716942
test,101,test-s101-e008,2,2,3,0.9999999403953552,0.16416987776756287,0.8946415185928345,0.8358300626277924,0.10535842180252075,0.7304716408252716
test,101,test-s101-e009,0,2,5,0.9999998807907104,0.07374481111764908,0.874887228012085,0.9262550696730614,0.1251126527786255,0.8011424168944359
test,101,test-s101-e009,1,1,3,0.9999998807907104,0.14292499423027039,0.8614467978477478,0.8570748865604401,0.13855308294296265,0.7185218036174774
test,101,test-s101-e009,2,3,4,1.0,0.14292499423027039,0.8318243026733398,0.8570750057697296,0.16817569732666016,0.6888993084430695
test,101,test-s101-e009,3,0,5,1.0,0.09135964512825012,0.8374829292297363,0.9086403548717499,0.16251707077026367,0.7461232841014862
test,101,test-s101-e010,0,4,3,1.000000238418579,0.041878968477249146,0.8458360433578491,0.95812126994133,0.15416419506072998,0.8039570748806
test,101,test-s101-e010,1,3,4,1.0,0.3211888372898102,0.8379202485084534,0.6788111627101898,0.16207975149154663,0.5167314112186432
test,101,test-s101-e010,2,1,5,0.9999999403953552,0.32118886709213257,0.851692259311676,0.6788110733032227,0.1483076810836792,0.5305033922195435
test,101,test-s101-e010,3,0,3,0.9999998807907104,0.10100310295820236,0.8799779415130615,0.8989967778325081,0.12002193927764893,0.7789748385548592
test,101,test-s101-e010,4,2,4,1.0,0.17371909320354462,0.8537725806236267,0.8262809067964554,0.1462274193763733,0.6800534874200821
test,101,test-s101-e011,0,2,4,0.9999998211860657,0.04359636455774307,0.8373192548751831,0.9564034566283226,0.16268056631088257,0.79372289031744
test,101,test-s101-e011,1,0,5,1.0,0.2548826336860657,0.8563622832298279,0.7451173663139343,0.14363771677017212,0.6014796495437622
test,101,test-s101-e011,2,5,3,1.0000001192092896,0.3755338490009308,0.8834419846534729,0.6244662702083588,0.11655813455581665,0.5079081356525421
test,101,test-s101-e011,3,3,4,1.0000001192092896,-0.016808487474918365,0.8530724048614502,1.016808606684208,0.14692771434783936,0.8698808923363686
test,101,test-s101-e011,4,1,5,0.9999999403953552,0.21131187677383423,0.8514474034309387,0.788688063621521,0.1485525369644165,0.6401355266571045
test,101,test-s101-e011,5,4,3,1.0,0.3755338490009308,0.8513084650039673,0.6244661509990692,0.14869153499603271,0.4757746160030365
test,101,test-s101-e012,0,0,5,0.9999998807907104,0.0,0.0,0.9999998807907104,0.9999998807907104,0.0
test,101,test-s101-e013,0,1,3,0.9999999403953552,-0.0020233383402228355,0.9027476906776428,1.002023278735578,0.0972522497177124,0.9047710290178657
test,101,test-s101-e013,1,0,4,0.9999999403953552,-0.0020233411341905594,0.8902386426925659,1.0020232815295458,0.1097612977027893,0.8922619838267565
test,101,test-s101-e014,0,2,4,0.9999999403953552,0.0741036981344223,0.8584273457527161,0.9258962422609329,0.14157259464263916,0.7843236476182938
test,101,test-s101-e014,1,0,5,0.9999999403953552,0.1351936161518097,0.8464937806129456,0.8648063242435455,0.15350615978240967,0.7113001644611359
test,101,test-s101-e014,2,1,3,1.0,0.1351936161518097,0.8849610686302185,0.8648063838481903,0.1150389313697815,0.7497674524784088
test,101,test-s101-e015,0,3,5,0.9999998211860657,0.04187304526567459,0.8430485725402832,0.9581267759203911,0.15695124864578247,0.8011755272746086
test,101,test-s101-e015,1,0,3,1.0,0.185977041721344,0.874049186706543,0.814022958278656,0.12595081329345703,0.688072144985199
test,101,test-s101-e015,2,1,4,1.0000001192092896,0.185977041721344,0.8673970699310303,0.8140230774879456,0.13260304927825928,0.6814200282096863
test,101,test-s101-e015,3,2,5,1.000000238418579,0.06364486366510391,0.8511530756950378,0.9363553747534752,0.14884716272354126,0.7875082120299339
test,101,test-s101-e016,0,4,4,1.0000001192092896,0.10826823115348816,0.9030990600585938,0.8917318880558014,0.0969010591506958,0.7948308289051056
test,101,test-s101-e016,1,1,4,1.0,0.2383943796157837,0.8551647067070007,0.7616056203842163,0.14483529329299927,0.616770327091217
test,101,test-s101-e016,2,2,5,1.0,0.10826823115348816,0.8600616455078125,0.8917317688465118,0.1399383544921875,0.7517934143543243
test,101,test-s101-e016,3,3,3,0.9999998807907104,-0.008055508136749268,0.8688223958015442,1.0080553889274597,0.13117748498916626,0.8768779039382935
test,101,test-s101-e016,4,0,4,1.0,0.2383943796157837,0.8612289428710938,0.7616056203842163,0.13877105712890625,0.6228345632553101
test,101,test-s101-e017,0,3,4,1.0,0.19267408549785614,0.8859633207321167,0.8073259145021439,0.1140366792678833,0.6932892352342606
test,101,test-s101-e017,1,2,5,1.0,0.13539838790893555,0.8822806477546692,0.8646016120910645,0.11771935224533081,0.7468822598457336
test,101,test-s101-e017,2,0,3,1.0,0.2523975968360901,0.8862771391868591,0.7476024031639099,0.11372286081314087,0.633879542350769
test,101,test-s101-e017,3,1,4,1.0,0.19182373583316803,0.833145260810852,0.808176264166832,0.16685473918914795,0.641321524977684
test,101,test-s101-e017,4,4,5,0.9999998211860657,0.19267408549785614,0.8215533494949341,0.8073257356882095,0.1784464716911316,0.6288792639970779
test,101,test-s101-e017,5,5,3,1.0000001192092896,0.2523975968360901,0.8901764750480652,0.7476025223731995,0.10982364416122437,0.6377788782119751
test,101,test-s101-e018,0,0,5,1.0,0.0,0.0,1.0,1.0,0.0
test,101,test-s101-e019,0,1,3,1.0000001192092896,-0.09266480803489685,0.8562371730804443,1.0926649272441864,0.14376294612884521,0.9489019811153412
test,101,test-s101-e019,1,0,4,1.0000001192092896,-0.09266480803489685,0.8661084771156311,1.0926649272441864,0.13389164209365845,0.958773285150528
test,101,test-s101-e020,0,0,5,1.0,0.12403762340545654,0.8726183772087097,0.8759623765945435,0.12738162279129028,0.7485807538032532
