split,seed,example_id,method,facets,units,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,predicted_clusters,iterations,converged,edges
test,113,test-s113-e011,graph_label_propagation,6,24,1,1,0.9687924016282227,0.9780268152531073,0.972972972972973,1.0,1,7,3,1,56
test,113,test-s113-e012,global,1,5,0,0,0.0,0.0,1.0,0.0,0,1,1,1,0
test,113,test-s113-e012,fixed_window,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e012,clause_proxy,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e012,embedding_kmeans,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,2,1,0
test,113,test-s113-e012,graph_cc,1,5,0,0,0.0,0.0,1.0,0.0,0,1,2,1,14
test,113,test-s113-e012,graph_label_propagation,1,5,0,0,0.0,0.0,1.0,0.0,0,1,2,1,14
test,113,test-s113-e013,global,2,7,0,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,113,test-s113-e013,fixed_window,2,7,0,0,0.4166666666666667,0.5294617736385714,0.6666666666666666,0.0,0,2,1,1,0
test,113,test-s113-e013,clause_proxy,2,7,0,0,0.4166666666666667,0.5294617736385714,0.6666666666666666,0.0,0,2,1,1,0
test,113,test-s113-e013,embedding_kmeans,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,0
test,113,test-s113-e013,graph_cc,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,3,1,16
test,113,test-s113-e013,graph_label_propagation,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,3,1,16
test,113,test-s113-e014,global,3,12,1,0,0.0,0.0,0.4470588235294118,0.0,2,1,1,1,0
test,113,test-s113-e014,fixed_window,3,12,1,0,-0.01365187713310579,0.1810191516194344,0.27027027027027023,0.4,0,3,1,1,0
test,113,test-s113-e014,clause_proxy,3,12,1,0,-0.01365187713310579,0.1810191516194344,0.27027027027027023,0.4,0,3,1,1,0
test,113,test-s113-e014,embedding_kmeans,3,12,1,0,0.6267672007540056,0.7732385636237636,0.76,0.8571428571428571,1,2,2,1,0
test,113,test-s113-e014,graph_cc,3,12,1,0,1.0,1.0,1.0,1.0,0,3,3,1,28
test,113,test-s113-e014,graph_label_propagation,3,12,1,0,1.0,1.0,1.0,1.0,0,3,5,1,28
test,113,test-s113-e015,global,4,17,1,1,0.0,0.0,0.3515151515151515,0.0,3,1,1,1,0
test,113,test-s113-e015,fixed_window,4,17,1,1,-0.005502063273727628,0.32430337676580906,0.18867924528301888,0.47058823529411764,1,5,1,1,0
test,113,test-s113-e015,clause_proxy,4,17,1,1,-0.005502063273727628,0.32430337676580906,0.18867924528301888,0.47058823529411764,1,5,1,1,0
test,113,test-s113-e015,embedding_kmeans,4,17,1,1,0.7234273318872018,0.8714348994509404,0.7945205479452054,0.9166666666666666,1,3,2,1,0
test,113,test-s113-e015,graph_cc,4,17,1,1,1.0,1.0,1.0,1.0,0,4,3,1,42
test,113,test-s113-e015,graph_label_propagation,4,17,1,1,1.0,1.0,1.0,1.0,0,4,3,1,42
test,113,test-s113-e016,global,5,20,0,1,0.0,0.0,0.2882882882882883,0.0,4,1,1,1,0
test,113,test-s113-e016,fixed_window,5,20,0,1,0.7302231237322515,0.8512230775363656,0.7741935483870969,0.5,0,5,1,1,0
test,113,test-s113-e016,clause_proxy,5,20,0,1,0.7302231237322515,0.8512230775363656,0.7741935483870969,0.5,0,5,1,1,0
test,113,test-s113-e016,embedding_kmeans,5,20,0,1,0.5079177149622613,0.6676728451402344,0.6153846153846153,0.6,2,3,3,1,0
test,113,test-s113-e016,graph_cc,5,20,0,1,1.0,1.0,1.0,1.0,0,5,3,1,50
test,113,test-s113-e016,graph_label_propagation,5,20,0,1,0.9208992506244796,0.9580796329703221,0.9333333333333333,0.8,1,6,3,1,50
test,113,test-s113-e017,global,6,24,0,1,0.0,0.0,0.24203821656050956,0.0,5,1,1,1,0
test,113,test-s113-e017,fixed_window,6,24,0,1,0.6879240162822253,0.8362393911149706,0.7297297297297298,0.4000000000000001,0,6,1,1,0
test,113,test-s113-e017,clause_proxy,6,24,0,1,0.6879240162822253,0.8362393911149706,0.7297297297297298,0.4000000000000001,0,6,1,1,0
test,113,test-s113-e017,embedding_kmeans,6,24,0,1,0.37465142219743447,0.6207740907439477,0.4961240310077519,0.6666666666666666,3,3,3,1,0
test,113,test-s113-e017,graph_cc,6,24,0,1,1.0,1.0,1.0,1.0,0,6,3,1,56
test,113,test-s113-e017,graph_label_propagation,6,24,0,1,0.788883222845487,0.9266263452814044,0.8125000000000001,0.625,2,8,2,1,56
test,113,test-s113-e018,global,1,5,1,0,0.0,0.0,1.0,0.0,0,1,1,1,0
test,113,test-s113-e018,fixed_window,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e018,clause_proxy,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e018,embedding_kmeans,1,5,1,0,0.0,0.0,0.5714285714285715,0.0,1,2,2,1,0
test,113,test-s113-e018,graph_cc,1,5,1,0,0.0,0.0,1.0,0.0,0,1,3,1,14
test,113,test-s113-e018,graph_label_propagation,1,5,1,0,0.0,0.0,1.0,0.0,0,1,3,1,14
test,113,test-s113-e019,global,2,7,1,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,113,test-s113-e019,fixed_window,2,7,1,0,-0.16666666666666669,0.02054773550747662,0.3333333333333333,0.0,0,2,1,1,0
