split,seed,example_id,method,facets,units,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,predicted_clusters,iterations,converged,edges
test,101,test-s101-e012,clause_proxy,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,101,test-s101-e012,embedding_kmeans,1,5,0,0,0.0,0.0,0.5714285714285715,0.0,1,2,2,1,0
test,101,test-s101-e012,graph_cc,1,5,0,0,0.0,0.0,1.0,0.0,0,1,3,1,10
test,101,test-s101-e012,graph_label_propagation,1,5,0,0,0.0,0.0,0.5714285714285715,0.0,1,2,1,1,10
test,101,test-s101-e013,global,2,7,0,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,101,test-s101-e013,fixed_window,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,1,1,0
test,101,test-s101-e013,clause_proxy,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,1,1,0
test,101,test-s101-e013,embedding_kmeans,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,0
test,101,test-s101-e013,graph_cc,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,16
test,101,test-s101-e013,graph_label_propagation,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,16
test,101,test-s101-e014,global,3,12,1,0,0.0,0.0,0.4470588235294118,0.0,2,1,1,1,0
test,101,test-s101-e014,fixed_window,3,12,1,0,0.06143344709897612,0.2871915587187901,0.3243243243243243,0.0,0,3,1,1,0
test,101,test-s101-e014,clause_proxy,3,12,1,0,0.06143344709897612,0.2871915587187901,0.3243243243243243,0.0,0,3,1,1,0
test,101,test-s101-e014,embedding_kmeans,3,12,1,0,0.5512239347234815,0.7426931039502302,0.7169811320754718,0.8,1,2,2,1,0
test,101,test-s101-e014,graph_cc,3,12,1,0,1.0,1.0,1.0,1.0,0,3,3,1,24
test,101,test-s101-e014,graph_label_propagation,3,12,1,0,1.0,1.0,1.0,1.0,0,3,5,1,24
test,101,test-s101-e015,global,4,17,1,1,0.0,0.0,0.3515151515151515,0.0,3,1,1,1,0
test,101,test-s101-e015,fixed_window,4,17,1,1,0.08803301237964238,0.36683250880520113,0.26415094339622647,0.375,1,5,1,1,0
test,101,test-s101-e015,clause_proxy,4,17,1,1,0.08803301237964238,0.36683250880520113,0.26415094339622647,0.375,1,5,1,1,0
test,101,test-s101-e015,embedding_kmeans,4,17,1,1,0.7714925791094931,0.885302939073629,0.8285714285714285,0.9565217391304348,1,3,2,1,0
test,101,test-s101-e015,graph_cc,4,17,1,1,1.0,1.0,1.0,1.0,0,4,3,1,40
test,101,test-s101-e015,graph_label_propagation,4,17,1,1,0.8577901707912164,0.9324604526874296,0.8846153846153846,0.9600000000000001,1,5,3,1,40
test,101,test-s101-e016,global,5,20,0,1,0.0,0.0,0.28054298642533937,0.0,4,1,1,1,0
test,101,test-s101-e016,fixed_window,5,20,0,1,0.8633093525179856,0.9259046521006454,0.8852459016393444,0.75,0,5,1,1,0
test,101,test-s101-e016,clause_proxy,5,20,0,1,0.8633093525179856,0.9259046521006454,0.8852459016393444,0.75,0,5,1,1,0
test,101,test-s101-e016,embedding_kmeans,5,20,0,1,0.5271671505599336,0.775089084790945,0.6326530612244898,0.8571428571428571,2,3,3,1,0
