region_groups,n,evidence_source_tokens,materialized_tokens,evidence_coverage,correct_margin,margin_delta_vs_none
1.0,25,12.0,121.0,1.0,-2.9162046337127685,-0.5921028614044189
2.0,25,12.0,44.0,1.0,-1.315987424850464,1.0081142902374267
4.0,25,12.0,44.0,1.0,-1.315987424850464,1.0081142902374267
