window,target_parent_gain_fraction,selection_partition,status,selected_radius,validation_retention,validation_parent_gain,heldout_materialized_tokens,heldout_kv_reduction_vs_parent,heldout_margin_retention,representation_change
w16,0.9,validation,supported,0,10.215499733805125,0.2018021047115326,5.25,0.9289340101522843,5.975020624963636,0.2860898368060589
w16,0.95,validation,supported,0,10.215499733805125,0.2018021047115326,5.25,0.9289340101522843,5.975020624963636,0.2860898368060589
w16,0.99,validation,supported,0,10.215499733805125,0.2018021047115326,5.25,0.9289340101522843,5.975020624963636,0.2860898368060589
w32,0.9,validation,supported,0,17.224117669072385,0.19447183012962332,5.25,0.9289340101522843,4.2653718338832505,0.27039238102734087
w32,0.95,validation,supported,0,17.224117669072385,0.19447183012962332,5.25,0.9289340101522843,4.2653718338832505,0.27039238102734087
w32,0.99,validation,supported,0,17.224117669072385,0.19447183012962332,5.25,0.9289340101522843,4.2653718338832505,0.27039238102734087
w64,0.9,validation,supported,0,24.99632328082988,0.1385780096054079,5.25,0.9289340101522843,3.3110980905684895,0.2183738425374031
w64,0.95,validation,supported,0,24.99632328082988,0.1385780096054079,5.25,0.9289340101522843,3.3110980905684895,0.2183738425374031
w64,0.99,validation,supported,0,24.99632328082988,0.1385780096054079,5.25,0.9289340101522843,3.3110980905684895,0.2183738425374031
w128,0.9,validation,unresolved,,,-0.14203748703002939,,,,0.15672146752476693
w128,0.95,validation,unresolved,,,-0.14203748703002939,,,,0.15672146752476693
w128,0.99,validation,unresolved,,,-0.14203748703002939,,,,0.15672146752476693
global,0.9,validation,unresolved,,,-0.3314586102962491,,,,0.14259813502430915
global,0.95,validation,unresolved,,,-0.3314586102962491,,,,0.14259813502430915
global,0.99,validation,unresolved,,,-0.3314586102962491,,,,0.14259813502430915
