partition,window,policy,n,materialized_tokens,evidence_coverage,evidence_density,evidence_attention_mass,surrounding_attention_mass,distractor_attention_mass,native_attention_mass,correct_margin,correct_probability,nll,correct,immediate_margin_delta_vs_none,final_margin_delta_vs_none,later_erased,latency_seconds,margin_delta_vs_none,accuracy_delta_vs_none,kv_reduction_vs_parent,margin_retention_vs_parent_gain
heldout,global,T0_none,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.5036013543605806,0.1320434158507851,3.3622417647391556,0.1,0.0,0.0,0.0,0.015113277497584931,0.0,0.0,1.0,0.0
heldout,global,T10_native_gist,40,1.0,0.0,0.0,0.0,0.12032989729195834,0.0,0.8796701027080417,-2.30057834982872,0.15347336607446777,3.170410969480872,0.125,0.04181162416934967,0.20302307605743408,0.275,0.023346517511527054,0.20302300453186062,0.024999999999999994,0.9864636209813875,0.21092762711906102
heldout,global,T11_gist_exact,40,6.25,1.0,0.8118131868131868,0.6455843387688546,0.04183756417975033,0.0,0.31257809705139505,1.42136607170105,0.5864802398362372,1.0707112079020589,0.625,2.997770431637764,3.9249675273895264,0.075,0.023637972498545424,3.9249674260616305,0.525,0.9153976311336718,4.077784523028608
heldout,global,T1_radius_0,40,5.25,1.0,1.0,0.6673359216545315,0.0,0.0,0.3326640783454685,1.5431741178035736,0.599785473668453,1.0098393755732105,0.675,3.0132996052503587,4.0467755734920505,0.075,0.02307921000465285,4.046775472164154,0.5750000000000001,0.9289340101522843,4.2043351185518
heldout,global,T2_radius_2,40,12.25,1.0,0.42857142857142855,0.5430284205235487,0.19676829526478418,0.02037528004378828,0.2398280041678788,0.971943873167038,0.5515800181718078,1.3020154731813818,0.625,2.8241104632616043,3.4755454063415527,0.125,0.0240927575097885,3.4755452275276184,0.525,0.8341793570219966,3.6108642440681304
heldout,global,T3_radius_4,40,18.5,1.0,0.29128787878787876,0.46059439316384143,0.25733187579286404,0.09248939217380694,0.18958433886948758,0.9072275638580323,0.5503669475379865,1.3352857701247558,0.625,2.7199207335710525,3.410828894376755,0.1,0.02431620749703143,3.4108289182186127,0.525,0.7495769881556684,3.543628230149769
heldout,global,T4_radius_8,40,27.25,1.0,0.19375449344366608,0.3479290278745932,0.24370627663030886,0.2809424730431441,0.12742222245195384,0.08005184531211854,0.4615139462483057,1.822773047350347,0.525,1.860270968079567,2.5836533069610597,0.2,0.024005307507468387,2.5836531996726992,0.42500000000000004,0.6311336717428089,2.6842467431813137
heldout,global,T5_radius_16,40,41.375,1.0,0.1250869836213689,0.2556186114832042,0.19882266592544154,0.4687270019430949,0.07683172064825936,-0.9923120319843293,0.3674108939776488,2.4510904281865806,0.425,0.7811457395553589,1.5112894892692565,0.125,0.024004010000498965,1.5112893223762514,0.32499999999999996,0.43993231810490696,1.5701307908147473
heldout,global,T6_whole_fact,40,8.75,1.0,0.6,0.6017137421920218,0.11815475948362726,0.0,0.2801314983243509,1.1401582658290863,0.5689950700685585,1.2435083945048973,0.625,2.9364139288663864,3.643759751319885,0.15,0.02405438999121543,3.643759620189667,0.525,0.8815566835871405,3.7856279994036095
heldout,global,T7_whole_parent,40,73.875,1.0,0.07579692724312528,0.17369476442495874,0.17057971518559384,0.6172924262356695,0.038433094153777936,-1.5410768747329713,0.3098213012686756,2.7786797218024732,0.35,-0.09093765914440155,0.9625246942043304,0.025,0.024444980002590454,0.9625244796276093,0.24999999999999997,0.0,1.0
