dataset,split,example_id,condition,memory,reducer,layer,look_behind,budget_chunks,selected_chunks,index_bytes_per_chunk,temporal_query_buffer_bytes,routing_dots,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks,entropy,normalized_entropy,top1_margin,effective_candidates,contributing_query_states,contributing_memory_modes,score_concentration
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_current_b1,native_mean,current,27,1,4,0 40 56 32,4096,8192,960,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,1.0,1.0,1.0
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_current_b2,native_mean,current,27,2,4,0 40 56 32,4096,16384,1920,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,2.0,1.0,0.8108178377151489
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_current_b4,native_mean,current,27,4,4,0 40 56 32,4096,32768,3840,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,4.0,1.0,0.49933087825775146
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_current_b8,native_mean,current,27,8,4,0 40 56 32,4096,65536,7680,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,8.0,1.0,0.28398385643959045
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_current_b16,native_mean,current,27,16,4,0 40 56 32,4096,131072,15360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,16.0,1.0,0.13059987127780914
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_mean_b1,native_mean,mean,27,1,4,0 40 56 32,4096,8192,960,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,1.0,1.0,1.0
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_mean_b2,native_mean,mean,27,2,4,56 40 32 0,4096,16384,1920,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071853160858154,0.9945067167282104,0.002602100372314453,58.66557693481445,2.0,1.0,0.7640858292579651
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_mean_b4,native_mean,mean,27,4,4,56 40 32 8,4096,32768,3840,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071752071380615,0.9944820404052734,0.0418086051940918,58.65964889526367,4.0,1.0,0.41338250041007996
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_mean_b8,native_mean,mean,27,8,4,56 40 32 48,4096,65536,7680,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072127342224121,0.9945736527442932,0.05536365509033203,58.68166732788086,8.0,1.0,0.21545660495758057
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_mean_b16,native_mean,mean,27,16,4,56 40 32 0,4096,131072,15360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0748982429504395,0.995250403881073,0.04191780090332031,58.8444938659668,16.0,1.0,0.11606858670711517
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_recency_b1,native_mean,recency,27,1,4,0 40 56 32,4096,8192,960,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,1.0,1.0,1.0
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_recency_b2,native_mean,recency,27,2,4,40 56 32 0,4096,16384,1920,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0722880363464355,0.9946129322052002,0.000335693359375,58.691097259521484,2.0,1.0,0.7714206576347351
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_recency_b4,native_mean,recency,27,4,4,56 40 32 8,4096,32768,3840,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072680950164795,0.9947088956832886,0.031711578369140625,58.71416091918945,4.0,1.0,0.41338250041007996
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_recency_b8,native_mean,recency,27,8,4,56 40 32 8,4096,65536,7680,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072839260101318,0.994747519493103,0.04441261291503906,58.72345733642578,8.0,1.0,0.21545660495758057
