dataset,split,condition,memory,reducer,layer,look_behind,examples,evidence_recall,evidence_precision,any_evidence,chain_completion,mrr,normalized_entropy,top1_margin,score_concentration
2wikimultihopqa,test,native_mean_l27_current_b1,native_mean,current,27,1,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,1.0
2wikimultihopqa,test,native_mean_l27_current_b16,native_mean,current,27,16,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,0.11743374124169349
2wikimultihopqa,test,native_mean_l27_current_b2,native_mean,current,27,2,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,0.7307124769687653
2wikimultihopqa,test,native_mean_l27_current_b4,native_mean,current,27,4,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,0.3939914792776108
2wikimultihopqa,test,native_mean_l27_current_b8,native_mean,current,27,8,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,0.2064599759876728
2wikimultihopqa,test,native_mean_l27_late_max_b1,native_mean,late_max,27,1,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,1.0
2wikimultihopqa,test,native_mean_l27_late_max_b16,native_mean,late_max,27,16,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.9889251327514649,0.15028001308441163,0.11359236173331738
2wikimultihopqa,test,native_mean_l27_late_max_b2,native_mean,late_max,27,2,100,0.0914126984126984,0.1175,0.42,0.08,0.24583333333333332,0.9877175575494767,0.1562867832183838,0.7167797642946243
2wikimultihopqa,test,native_mean_l27_late_max_b4,native_mean,late_max,27,4,100,0.09307936507936508,0.12,0.43,0.07,0.24833333333333332,0.9882035022974014,0.15561689376831056,0.3793774890899658
2wikimultihopqa,test,native_mean_l27_late_max_b8,native_mean,late_max,27,8,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.9886842280626297,0.15264099597930908,0.1953524786233902
2wikimultihopqa,test,native_mean_l27_late_top_mean_b1,native_mean,late_top_mean,27,1,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,1.0
2wikimultihopqa,test,native_mean_l27_late_top_mean_b16,native_mean,late_top_mean,27,16,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.9889251327514649,0.15028001308441163,0.11359236173331738
2wikimultihopqa,test,native_mean_l27_late_top_mean_b2,native_mean,late_top_mean,27,2,100,0.0914126984126984,0.1175,0.42,0.08,0.24583333333333332,0.9877175575494767,0.1562867832183838,0.7167797642946243
2wikimultihopqa,test,native_mean_l27_late_top_mean_b4,native_mean,late_top_mean,27,4,100,0.09307936507936508,0.12,0.43,0.07,0.24833333333333332,0.9882035022974014,0.15561689376831056,0.3793774890899658
2wikimultihopqa,test,native_mean_l27_late_top_mean_b8,native_mean,late_top_mean,27,8,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.9886842280626297,0.15264099597930908,0.1953524786233902
2wikimultihopqa,test,native_mean_l27_mean_b1,native_mean,mean,27,1,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,1.0
2wikimultihopqa,test,native_mean_l27_mean_b16,native_mean,mean,27,16,100,0.09591269841269842,0.1225,0.45,0.07,0.2516666666666667,0.9901673364639282,0.140423583984375,0.11300543032586574
2wikimultihopqa,test,native_mean_l27_mean_b2,native_mean,mean,27,2,100,0.08691269841269841,0.1125,0.41,0.07,0.24083333333333332,0.9873309516906739,0.15868813037872315,0.7144494313001633
2wikimultihopqa,test,native_mean_l27_mean_b4,native_mean,mean,27,4,100,0.09507936507936508,0.1225,0.43,0.07,0.2558333333333333,0.9879728311300278,0.15780697345733644,0.378127692937851
2wikimultihopqa,test,native_mean_l27_mean_b8,native_mean,mean,27,8,100,0.09224603174603174,0.12,0.43,0.08,0.24166666666666667,0.9891595607995987,0.15035447597503662,0.19357165962457656
2wikimultihopqa,test,native_mean_l27_recency_b1,native_mean,recency,27,1,100,0.09767460317460318,0.13,0.44,0.1,0.2533333333333333,0.989337118268013,0.16433205604553222,1.0
2wikimultihopqa,test,native_mean_l27_recency_b16,native_mean,recency,27,16,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.988925119638443,0.15028001308441163,0.11359236173331738
2wikimultihopqa,test,native_mean_l27_recency_b2,native_mean,recency,27,2,100,0.0914126984126984,0.1175,0.42,0.08,0.24583333333333332,0.9877175706624984,0.15628679752349853,0.7167797642946243
2wikimultihopqa,test,native_mean_l27_recency_b4,native_mean,recency,27,4,100,0.09307936507936508,0.12,0.43,0.07,0.24833333333333332,0.9882034903764725,0.15561691284179688,0.3793774890899658
2wikimultihopqa,test,native_mean_l27_recency_b8,native_mean,recency,27,8,100,0.09057936507936509,0.1175,0.43,0.07,0.2558333333333333,0.9886842286586761,0.15264105319976806,0.1953524786233902
2wikimultihopqa,test,rank16_l0_current_b1,rank16,current,0,1,100,0.16660317460317461,0.2175,0.66,0.13,0.385,0.9643294632434845,0.22010509490966798,0.2127585916221142
2wikimultihopqa,test,rank16_l0_current_b4,rank16,current,0,4,100,0.16660317460317461,0.2175,0.66,0.13,0.385,0.9643294471502304,0.22010509490966798,0.10458352770656347
2wikimultihopqa,test,rank16_l0_current_b8,rank16,current,0,8,100,0.16660317460317461,0.2175,0.66,0.13,0.385,0.9643294471502304,0.22010509490966798,0.16051664311438799
2wikimultihopqa,test,rank16_l0_late_max_b1,rank16,late_max,0,1,100,0.1737936507936508,0.2275,0.66,0.23,0.41833333333333333,0.946017462015152,0.2644631385803223,0.2234004655480385
2wikimultihopqa,test,rank16_l0_late_max_b4,rank16,late_max,0,4,100,0.15365079365079365,0.2,0.56,0.14,0.35916666666666663,0.893648950457573,0.3958592844009399,0.20008524250239135
2wikimultihopqa,test,rank16_l0_late_max_b8,rank16,late_max,0,8,100,0.14553968253968252,0.19,0.53,0.14,0.35333333333333333,0.8986617290973663,0.3765342521667481,0.18467103376984595
2wikimultihopqa,test,rank16_l18_current_b1,rank16,current,18,1,100,0.1651904761904762,0.22,0.61,0.17,0.4025,0.8960664838552475,0.3661531543731689,0.45250610962510107
2wikimultihopqa,test,rank16_l18_current_b4,rank16,current,18,4,100,0.1651904761904762,0.22,0.61,0.17,0.4025,0.8960664921998978,0.36615303039550784,0.5062228283286094
2wikimultihopqa,test,rank16_l18_current_b8,rank16,current,18,8,100,0.1651904761904762,0.22,0.61,0.17,0.4025,0.8960664921998978,0.36615303039550784,0.4483045598864555
2wikimultihopqa,test,rank16_l18_late_max_b1,rank16,late_max,18,1,100,0.1759285714285714,0.23,0.67,0.18,0.43,0.8745257258415222,0.4065830612182617,0.49941556841135026
2wikimultihopqa,test,rank16_l18_late_max_b4,rank16,late_max,18,4,100,0.17815079365079367,0.2325,0.67,0.19,0.4141666666666666,0.910642072558403,0.35012213706970213,0.5545470561087131
2wikimultihopqa,test,rank16_l18_late_max_b8,rank16,late_max,18,8,100,0.175984126984127,0.23,0.66,0.2,0.41916666666666663,0.9116230911016464,0.34610604286193847,0.49294055566191675
2wikimultihopqa,test,rank16_l27_current_b1,rank16,current,27,1,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305011212825775,0.4767332172393799,0.5230445949733258
2wikimultihopqa,test,rank16_l27_current_b16,rank16,current,27,16,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305010849237442,0.4767335987091064,0.2775450134649873
2wikimultihopqa,test,rank16_l27_current_b2,rank16,current,27,2,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305010849237442,0.4767335987091064,0.47737469390034676
2wikimultihopqa,test,rank16_l27_current_b4,rank16,current,27,4,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305010849237442,0.4767335987091064,0.41746338725090026
2wikimultihopqa,test,rank16_l27_current_b8,rank16,current,27,8,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305010849237442,0.4767335987091064,0.3121743062138557
2wikimultihopqa,test,rank16_l27_late_max_b1,rank16,late_max,27,1,100,0.1771984126984127,0.23,0.62,0.23,0.395,0.7808300976455211,0.5904571533203125,0.6017625851929188
2wikimultihopqa,test,rank16_l27_late_max_b16,rank16,late_max,27,16,100,0.17722222222222223,0.23,0.69,0.19,0.43583333333333335,0.8392660915851593,0.5198237800598144,0.3194469763338566
2wikimultihopqa,test,rank16_l27_late_max_b2,rank16,late_max,27,2,100,0.18051587301587302,0.2325,0.63,0.23,0.405,0.8320877370238304,0.500447883605957,0.529564855247736
2wikimultihopqa,test,rank16_l27_late_max_b4,rank16,late_max,27,4,100,0.1726825396825397,0.2225,0.64,0.21,0.4275,0.8343136975169182,0.5178086090087891,0.47645106211304666
2wikimultihopqa,test,rank16_l27_late_max_b8,rank16,late_max,27,8,100,0.17355555555555555,0.225,0.68,0.19,0.43833333333333335,0.8366449189186096,0.5232530307769775,0.35736197635531425
2wikimultihopqa,test,rank16_l27_late_top_mean_b1,rank16,late_top_mean,27,1,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305011212825775,0.4767332172393799,0.5230445949733258
2wikimultihopqa,test,rank16_l27_late_top_mean_b16,rank16,late_top_mean,27,16,100,0.17748412698412697,0.2325,0.65,0.17,0.39333333333333337,0.8732115310430527,0.3978598976135254,0.29902413196861743
2wikimultihopqa,test,rank16_l27_late_top_mean_b2,rank16,late_top_mean,27,2,100,0.18044444444444444,0.2325,0.65,0.18,0.39666666666666667,0.8693940037488938,0.369058198928833,0.4678163595497608
