dataset,report_semantics,rows,selection_match_fraction,expected_evidence_recall,actual_evidence_recall,maximum_absolute_recall_delta
hotpotqa,five_seed_metric_mean,80,1.0,0.12104166666666667,0.12104166666666667,0.0
qasper,five_seed_metric_mean,80,1.0,0.2542184065934066,0.2542184065934066,0.0
2wikimultihopqa,five_seed_score_ensemble,100,1.0,0.1902777777777778,0.1902777777777778,0.0
musique,five_seed_score_ensemble,100,1.0,0.07092809416507424,0.07092809416507424,0.0
