dataset,split,tokens,identities,decisions,matched_immediate_recall,fixed_delay_recall,known_future_recall,fixed_delay_gain,fixed_delay_ci_low,fixed_delay_ci_high,known_future_gain,known_future_ci_low,known_future_ci_high,delay_recovery_fraction,deployable_delay,known_future_is_analysis_only
hotpotqa,validation,1,8,163,0.6418746109554934,0.6479102651161475,0.6483533868092691,0.006035654160654151,0.0011574074074074056,0.012281746031746012,0.006478775853775855,0.0009469696969696961,0.013092532467532433,0.9316041018978222,1,True
hotpotqa,validation,2,8,155,0.6389613858363858,0.650682878319597,0.6416380494505495,0.011721492483211242,0.003960503472222224,0.01934142246642248,0.0026766636141636116,-0.01059027777777781,0.01430860805860807,4.3791429080541775,2,True
hotpotqa,validation,4,8,139,0.6350649350649351,0.6555431547619047,0.6451264880952381,0.020478219696969682,0.004870129870129858,0.03833536255411253,0.010061553030303025,-0.006026785714285721,0.02767857142857144,2.0352941176470583,4,True
hotpotqa,validation,8,7,107,0.6314181057038201,0.6519623233908948,0.647704081632653,0.020544217687074817,0.0,0.05482993197278907,0.016285975928833067,0.0006541077969649534,0.03840136054421768,1.2614667844806808,8,True
hotpotqa,test,1,16,325,0.10254179412993267,0.10210776635215489,0.09908666427097154,-0.00043402777777777797,-0.001302083333333334,0.0,-0.0034551298589611274,-0.00831140350877193,0.0006025326797385626,,1,True
hotpotqa,test,2,16,309,0.10290785131987577,0.10200205421842651,0.0957427536231884,-0.000905797101449275,-0.002717391304347825,0.0,-0.0071650976966873715,-0.013450278209109733,-0.001798654244306418,,2,True
hotpotqa,test,4,16,277,0.10427207341269841,0.09972408234126984,0.09554811507936507,-0.004547991071428573,-0.008584449404761907,-0.0010416666666666667,-0.008723958333333334,-0.016480654761904762,-0.002232142857142856,,4,True
hotpotqa,test,8,16,213,0.1038405987394958,0.1031359418767507,0.09843312324929972,-0.0007046568627451016,-0.010600490196078434,0.012837009803921565,-0.00540747549019608,-0.01712622549019608,0.006249999999999999,,8,True
qasper,validation,1,8,77,0.6322725885225885,0.6346764346764346,0.6334745115995116,0.002403846153846159,0.0,0.0072115384615384776,0.0012019230769230796,0.0,0.0036057692307692388,2.0,1,True
qasper,validation,2,8,69,0.6316716269841269,0.6342757936507937,0.6342757936507937,0.0026041666666666644,0.0,0.007812499999999993,0.0026041666666666644,0.0,0.007812499999999993,1.0,2,True
