dataset,left,right,mean,ci_low,ci_high,n
hotpotqa,rank16_l27_mean_b2,rank16_l27_mean_b1,-0.022321428571428572,-0.06919642857142858,0.017857142857142856,16
hotpotqa,rank16_l27_mean_b1,rank16_l27_current_b1,0.0,0.0,0.0,16
hotpotqa,rank16_l27_mean_b2,native_mean_l27_mean_b2,-0.03422619047619048,-0.13169642857142858,0.05714285714285714,16
qasper,rank16_l27_late_top_mean_b2,rank16_l27_late_top_mean_b1,-0.008095238095238095,-0.026785714285714284,0.0024999999999999996,16
qasper,rank16_l27_late_top_mean_b1,rank16_l27_current_b1,0.0,0.0,0.0,16
qasper,rank16_l27_late_top_mean_b2,native_mean_l27_late_top_mean_b2,0.16632669413919413,0.03394574175824176,0.3204212454212454,16
2wikimultihopqa,rank16_l27_late_top_mean_b2,rank16_l27_late_top_mean_b1,-0.009833333333333333,-0.023214285714285715,0.0031904761904761906,100
2wikimultihopqa,rank16_l27_late_top_mean_b1,rank16_l27_current_b1,0.0,0.0,0.0,100
2wikimultihopqa,rank16_l27_late_top_mean_b2,native_mean_l27_late_top_mean_b2,0.08903174603174603,0.0551984126984127,0.12283333333333334,100
musique,rank16_l27_late_top_mean_b2,rank16_l27_late_top_mean_b1,0.0011468163479033042,-0.005998547060617999,0.0084906015037594,100
musique,rank16_l27_late_top_mean_b1,rank16_l27_current_b1,0.0,0.0,0.0,100
musique,rank16_l27_late_top_mean_b2,native_mean_l27_late_top_mean_b2,0.010146760216571094,-0.009359334679768117,0.02935782341826224,100
