dataset,split,condition,examples,decisions,evidence_recall,chain_completion,mean_delay,median_delay,router_calls_per_token,mean_churn
2wikimultihopqa,test,entropy_threshold,100,1568,0.18526330174927114,0.18941326530612246,3.720025510204082,3.0,1.0,0.2628705053449952
2wikimultihopqa,test,fixed_delay_1,100,1468,0.17503297867739284,0.16825613079019072,1.0,1.0,1.0,0.2280848579213702
2wikimultihopqa,test,fixed_delay_2,100,1368,0.1757362155388471,0.16593567251461988,2.0,2.0,1.0,0.3128167641325536
2wikimultihopqa,test,fixed_delay_4,100,1168,0.1766715590345727,0.1643835616438356,4.0,4.0,1.0,0.3439008480104371
2wikimultihopqa,test,fixed_delay_8,99,768,0.1800636574074074,0.16276041666666666,8.0,8.0,1.0,0.35372023809523817
2wikimultihopqa,test,immediate,100,1568,0.17308622853903466,0.16645408163265307,0.0,0.0,1.0,0.21353862973760937
2wikimultihopqa,test,known_future_1,100,1468,0.1747956403269755,0.16689373297002724,0.0,0.0,1.0,0.17586609575710394
2wikimultihopqa,test,known_future_2,100,1368,0.1763888888888889,0.1695906432748538,0.0,0.0,1.0,0.2196881091617934
2wikimultihopqa,test,known_future_4,100,1168,0.17782941943900848,0.1678082191780822,0.0,0.0,1.0,0.2633153946510111
2wikimultihopqa,test,known_future_8,99,768,0.17997375165343918,0.16666666666666666,0.0,0.0,1.0,0.2981646825396826
2wikimultihopqa,test,margin_threshold,100,1568,0.171366314382896,0.16581632653061223,1.333545918367347,0.0,1.0,0.13640063168124394
2wikimultihopqa,test,stride_1,100,1568,0.17308622853903466,0.16645408163265307,0.0,0.0,1.0,0.0
2wikimultihopqa,test,stride_2,100,1568,0.17278101716877228,0.16709183673469388,0.0,0.0,0.5465561224489796,0.0
2wikimultihopqa,test,stride_4,100,1568,0.16804239552964045,0.1639030612244898,0.0,0.0,0.3227040816326531,0.0
2wikimultihopqa,test,stride_8,100,1568,0.1582771501457726,0.14221938775510204,0.0,0.0,0.20790816326530612,0.0
2wikimultihopqa,validation,entropy_threshold,20,323,0.6433178534571723,0.7739938080495357,2.176470588235294,0.0,1.0,0.1808639245171753
2wikimultihopqa,validation,fixed_delay_1,20,303,0.597937293729373,0.7194719471947195,1.0,1.0,1.0,0.18519566242338523
2wikimultihopqa,validation,fixed_delay_2,20,283,0.6041813898704359,0.7279151943462897,2.0,2.0,1.0,0.2473161702843682
2wikimultihopqa,validation,fixed_delay_4,20,243,0.6126543209876543,0.7325102880658436,4.0,4.0,1.0,0.29649225945522245
2wikimultihopqa,validation,fixed_delay_8,20,163,0.6203476482617587,0.7423312883435583,8.0,8.0,1.0,0.36190476190476195
2wikimultihopqa,validation,immediate,20,323,0.5894478844169248,0.7058823529411765,0.0,0.0,1.0,0.17372843874391863
2wikimultihopqa,validation,known_future_1,20,303,0.5995049504950495,0.7161716171617162,0.0,0.0,1.0,0.14345434543454347
2wikimultihopqa,validation,known_future_2,20,283,0.6031802120141342,0.7173144876325088,0.0,0.0,1.0,0.18630321386505133
2wikimultihopqa,validation,known_future_4,20,243,0.6092935528120713,0.7242798353909465,0.0,0.0,1.0,0.23523417597491672
2wikimultihopqa,validation,known_future_8,20,163,0.6282208588957056,0.6993865030674846,0.0,0.0,1.0,0.3007887817703769
2wikimultihopqa,validation,margin_threshold,20,323,0.6022961816305469,0.7368421052631579,1.6563467492260062,0.0,1.0,0.1247530591183842
2wikimultihopqa,validation,stride_1,20,323,0.5894478844169248,0.7058823529411765,0.0,0.0,1.0,0.0
2wikimultihopqa,validation,stride_2,20,323,0.5879772961816305,0.7244582043343654,0.0,0.0,0.544891640866873,0.0
2wikimultihopqa,validation,stride_4,20,323,0.573890608875129,0.6904024767801857,0.0,0.0,0.3126934984520124,0.0
2wikimultihopqa,validation,stride_8,20,323,0.5486068111455108,0.628482972136223,0.0,0.0,0.2043343653250774,0.0
hotpotqa,test,entropy_threshold,16,341,0.09273844435134758,0.13196480938416422,4.656891495601173,5.0,1.0,0.17902527579946936
hotpotqa,test,fixed_delay_1,16,325,0.09857875457875458,0.13846153846153847,1.0,1.0,1.0,0.11364102564102566
hotpotqa,test,fixed_delay_2,16,309,0.09817383263985206,0.1423948220064725,2.0,2.0,1.0,0.16785329018338727
hotpotqa,test,fixed_delay_4,16,277,0.0957796114835826,0.15162454873646208,4.0,4.0,1.0,0.18662540828605811
hotpotqa,test,fixed_delay_8,16,213,0.09830091661077575,0.17370892018779344,8.0,8.0,1.0,0.17965571205007824
hotpotqa,test,immediate,16,341,0.09821254014802401,0.1348973607038123,0.0,0.0,1.0,0.10830889540566961
hotpotqa,test,known_future_1,16,325,0.09606593406593407,0.13846153846153847,0.0,0.0,1.0,0.06523076923076924
hotpotqa,test,known_future_2,16,309,0.09299583911234396,0.13915857605177995,0.0,0.0,1.0,0.09018338727076591
hotpotqa,test,known_future_4,16,277,0.09253051401065841,0.148014440433213,0.0,0.0,1.0,0.10782190132370638
hotpotqa,test,known_future_8,16,213,0.09384082271406215,0.17370892018779344,0.0,0.0,1.0,0.1051643192488263
hotpotqa,test,margin_threshold,16,341,0.0946934785644463,0.13196480938416422,3.589442815249267,2.0,1.0,0.11763720150816925
hotpotqa,test,stride_1,16,341,0.09821254014802401,0.1348973607038123,0.0,0.0,1.0,0.0
hotpotqa,test,stride_2,16,341,0.09840804356933389,0.13196480938416422,0.0,0.0,0.5395894428152492,0.0
hotpotqa,test,stride_4,16,341,0.0969906437648373,0.13196480938416422,0.0,0.0,0.2991202346041056,0.0
hotpotqa,test,stride_8,16,341,0.09581762323697808,0.13196480938416422,0.0,0.0,0.187683284457478,0.0
hotpotqa,validation,entropy_threshold,8,171,0.6149818991924255,0.8947368421052632,2.345029239766082,0.0,1.0,0.1419103313840156
hotpotqa,validation,fixed_delay_1,8,163,0.5982179374817412,0.8466257668711656,1.0,1.0,1.0,0.1390593047034765
hotpotqa,validation,fixed_delay_2,8,155,0.5986405529953917,0.8451612903225807,2.0,2.0,1.0,0.18580645161290324
hotpotqa,validation,fixed_delay_4,8,139,0.5975762247344981,0.841726618705036,4.0,4.0,1.0,0.1985611510791367
hotpotqa,validation,fixed_delay_8,7,107,0.5776702269692924,0.822429906542056,8.0,8.0,1.0,0.19991099243435695
hotpotqa,validation,immediate,8,171,0.5945627958785853,0.847953216374269,0.0,0.0,1.0,0.13255360623781678
hotpotqa,validation,known_future_1,8,163,0.5988752556237219,0.8466257668711656,0.0,0.0,1.0,0.0997955010224949
hotpotqa,validation,known_future_2,8,155,0.5904608294930875,0.8387096774193549,0.0,0.0,1.0,0.10666666666666667
hotpotqa,validation,known_future_4,8,139,0.5902021240150737,0.8273381294964028,0.0,0.0,1.0,0.11510791366906475
hotpotqa,validation,known_future_8,7,107,0.5811748998664886,0.8130841121495327,0.0,0.0,1.0,0.13582554517133957
hotpotqa,validation,margin_threshold,8,171,0.5769702032859928,0.8362573099415205,2.0,0.0,1.0,0.10871623503202452
hotpotqa,validation,stride_1,8,171,0.5945627958785853,0.847953216374269,0.0,0.0,1.0,0.0
hotpotqa,validation,stride_2,8,171,0.5904135338345865,0.8596491228070176,0.0,0.0,0.543859649122807,0.0
hotpotqa,validation,stride_4,8,171,0.575181008075745,0.8596491228070176,0.0,0.0,0.30409356725146197,0.0
hotpotqa,validation,stride_8,8,171,0.5404274575327207,0.8362573099415205,0.0,0.0,0.19298245614035087,0.0
musique,test,entropy_threshold,100,2199,0.05927069368013947,0.10959527057753524,2.892223738062756,1.0,1.0,0.16307845557504494
musique,test,fixed_delay_1,100,2099,0.059271635949525045,0.11576941400666985,1.0,1.0,1.0,0.17031239365684342
musique,test,fixed_delay_2,100,1999,0.05926543457611707,0.11505752876438219,2.0,2.0,1.0,0.23441244431739683
musique,test,fixed_delay_4,100,1799,0.059060827877888605,0.11117287381878821,4.0,4.0,1.0,0.26565022896318063
