dataset,selected_policy,validation_recall,b1_same_reducer_test_recall,selected_temporal_test_recall,temporal_gain,temporal_gain_ci_low,temporal_gain_ci_high,native_mean_temporal_recall,rank8_centroid8_temporal_recall
2wikimultihopqa,rank16_l27_late_top_mean_b2,0.7575000000000001,0.1902777777777778,0.18044444444444444,-0.009833333333333333,-0.023214285714285715,0.0031904761904761906,0.0914126984126984,0.17433333333333334
hotpotqa,rank16_l27_mean_b2,0.7360119047619048,0.12410714285714286,0.10178571428571428,-0.022321428571428572,-0.06919642857142858,0.017857142857142856,0.13601190476190475,0.0818452380952381
musique,rank16_l27_late_top_mean_b2,0.33298842497371905,0.07092809416507424,0.07207491051297754,0.0011468163479033042,-0.005998547060617999,0.0084906015037594,0.06192815029640645,0.06990342164528461
qasper,rank16_l27_late_top_mean_b2,0.6394841269841269,0.28457074175824176,0.27647550366300366,-0.008095238095238095,-0.026785714285714284,0.0024999999999999996,0.11014880952380952,0.2457738095238095
