dataset,baseline,temporal_only,memory_only,combined,interaction_contrast
hotpotqa,0.12351190476190477,0.13601190476190475,0.12410714285714286,0.10178571428571428,-0.03482142857142856
qasper,0.09764880952380953,0.11014880952380952,0.28457074175824176,0.27647550366300366,-0.020595238095238083
2wikimultihopqa,0.09767460317460318,0.0914126984126984,0.1902777777777778,0.18044444444444444,-0.0035714285714285865
musique,0.06665510680447415,0.06192815029640645,0.07092809416507424,0.07207491051297754,0.005873772855970995
