catalog_size,policy,strategy,max_candidates,candidate_recall,candidate_recall_std,useful_precision_mean,unsafe_exposure_mean
8192,lexical,A2_topk,1,0.4513888888888889,0.0,0.4513888888888889,0.0416666666666666
8192,lexical,A2_topk,2,0.4513888888888889,0.0,0.2256944444444444,0.0763888888888889
8192,lexical,A2_topk,4,0.4625,0.0105317714500716,0.1159722222222222,0.0819444444444444
8192,lexical,A2_topk,6,0.4861111111111111,0.0069444444444444,0.0817129629629629,0.0833333333333333
8192,lexical,A2_topk,8,0.5055555555555555,0.0076072577431272,0.0640625,0.0875
8192,lexical,A2_topk,10,0.5416666666666667,0.0138888888888889,0.0554166666666666,0.0902777777777777
8192,lexical,A2_topk,12,0.5736111111111111,0.0105317714500716,0.0491898148148148,0.0902777777777777
8192,lexical,A2_topk,16,0.5986111111111112,0.0124225998749988,0.0394965277777777,0.0902777777777777
8192,lexical,A2_topk,20,0.6291666666666667,0.0062112999374994,0.0338888888888888,0.0902777777777777
8192,lexical,A2_topk,24,0.6402777777777777,0.0114108866146909,0.0287037037037036,0.0902777777777777
8192,lexical,A2_topk,32,0.6652777777777779,0.0186338998124983,0.0223958333333333,0.0916666666666666
8192,lexical,A2_topk,48,0.7055555555555555,0.0105317714500716,0.0165219907407407,0.1569444444444444
8192,A5_topk,A5_topk,1,0.2055555555555555,0.0038036288715636,0.2222222222222222,0.0152777777777777
8192,A5_topk,A5_topk,2,0.2305555555555555,0.0090544477850036,0.1368055555555555,0.0458333333333333
8192,A5_topk,A5_topk,4,0.2541666666666666,0.0038036288715636,0.0760416666666666,0.0513888888888888
8192,A5_topk,A5_topk,6,0.2597222222222222,0.0038036288715636,0.0520833333333333,0.0611111111111111
8192,A5_topk,A5_topk,8,0.2777777777777778,0.0049104637582399,0.0416666666666666,0.0694444444444444
8192,A5_topk,A5_topk,10,0.2847222222222222,0.0109801307644735,0.0340277777777777,0.0861111111111111
8192,A5_topk,A5_topk,12,0.2972222222222222,0.0124225998749988,0.0295138888888888,0.0958333333333333
8192,A5_topk,A5_topk,16,0.3111111111111111,0.0058101390731532,0.0232638888888888,0.1152777777777777
8192,A5_topk,A5_topk,20,0.3263888888888889,0.0085051727179971,0.0197222222222222,0.1333333333333333
8192,A5_topk,A5_topk,24,0.3458333333333333,0.0090544477850036,0.0174189814814814,0.1486111111111111
8192,A5_topk,A5_topk,32,0.3805555555555555,0.0076072577431272,0.014453125,0.1680555555555555
8192,A5_topk,A5_topk,48,0.4138888888888889,0.0062112999374994,0.0108506944444444,0.2097222222222222
8192,fused,A6_topk,1,0.3375,0.0105317714500716,0.3430555555555555,0.0486111111111111
8192,fused,A6_topk,2,0.3833333333333333,0.0172915272194287,0.1979166666666666,0.0944444444444444
8192,fused,A6_topk,4,0.4291666666666667,0.0150551967976936,0.1107638888888888,0.1013888888888888
8192,fused,A6_topk,6,0.4847222222222222,0.0150551967976936,0.0833333333333333,0.1055555555555555
8192,fused,A6_topk,8,0.5180555555555555,0.0144003064953664,0.0668402777777777,0.1111111111111111
8192,fused,A6_topk,10,0.5527777777777778,0.0152145154862545,0.0570833333333333,0.1152777777777777
8192,fused,A6_topk,12,0.5736111111111111,0.0079178848965218,0.049537037037037,0.1166666666666666
8192,fused,A6_topk,16,0.6055555555555555,0.0090544477850037,0.0394965277777777,0.1208333333333333
8192,fused,A6_topk,20,0.6263888888888889,0.0090544477850036,0.0330555555555555,0.1305555555555555
8192,fused,A6_topk,24,0.638888888888889,0.0069444444444445,0.0283564814814814,0.1388888888888889
8192,fused,A6_topk,32,0.6652777777777777,0.0114108866146909,0.022265625,0.1458333333333333
8192,fused,A6_topk,48,0.7347222222222223,0.0090544477850036,0.0165509259259259,0.1583333333333333
8192,diversity_union,A7_diversity_union,1,0.2902777777777777,0.0031056499687497,0.3388888888888889,0.0
8192,diversity_union,A7_diversity_union,2,0.5152777777777777,0.0031056499687497,0.2854166666666666,0.0430555555555555
