catalog_size,policy,max_candidates,examples,candidate_recall,conditional_choice,end_to_end_choice,wrong_or_unsafe_choice
8192,diversity_union,2,8,0.25,1.0,0.25,0.0
8192,diversity_union,4,8,0.25,1.0,0.25,0.0
8192,diversity_union,6,8,0.375,0.3333333333333333,0.125,0.0
8192,diversity_union,8,8,0.375,0.6666666666666666,0.25,0.0
8192,diversity_union,10,40,0.375,0.6666666666666666,0.25,0.0
8192,diversity_union,12,40,0.375,0.6,0.225,0.025
8192,diversity_union,16,40,0.375,0.4,0.15,0.0
8192,diversity_union,24,40,0.375,0.3333333333333333,0.125,0.0
8192,diversity_union,32,40,0.375,0.4,0.15,0.025
8192,fused,2,8,0.125,0.0,0.0,0.125
8192,fused,4,8,0.125,0.0,0.0,0.125
8192,fused,6,8,0.25,0.0,0.0,0.125
8192,fused,8,8,0.25,0.0,0.0,0.125
8192,fused,10,40,0.3,0.08333333333333333,0.025,0.075
8192,raw_union,2,8,0.25,0.0,0.0,0.0
8192,raw_union,4,8,0.25,0.5,0.125,0.125
8192,raw_union,6,8,0.375,0.3333333333333333,0.125,0.0
8192,raw_union,8,8,0.375,0.0,0.0,0.0
8192,raw_union,10,40,0.375,0.0,0.0,0.0
