resource_type,max_candidates,condition,cases,context_fit,required_recall,capability_choice,task_success,capability_tokens,native_kv_bytes,transition_seconds,wall_seconds
skill,2,S0_full_all,4,1.0,0.5,0.25,0.25,1764.0,202309632.0,0.0,20.82559117494384
skill,2,S1_selection_only,4,1.0,0.5,0.0,0.0,205.5,23568384.0,0.0,8.208772325015161
skill,2,S2_selection_to_full,4,1.0,0.5,0.0,0.0,1001.5,114860032.0,0.004387249995488625,12.446941599948332
skill,2,S3_oracle_full,4,1.0,0.5,1.0,1.0,757.25,86847488.0,0.0,11.371608549903613
skill,4,S0_full_all,4,0.5,0.5,0.0,0.0,3537.25,405680128.0,0.0,21.440530749910977
skill,4,S1_selection_only,4,1.0,0.5,0.0,0.0,409.75,46993408.0,0.0,6.227190024976153
skill,4,S2_selection_to_full,4,1.0,0.5,0.25,0.25,1372.0,157351936.0,0.005656375025864675,14.539810675138142
skill,4,S3_oracle_full,4,1.0,0.5,1.0,1.0,757.25,86847488.0,0.0,11.460039800032973
skill,8,S0_full_all,4,0.0,0.5,0.0,0.0,6893.5,790601728.0,0.0,0.6669111249502748
skill,8,S1_selection_only,4,1.0,0.5,0.0,0.0,833.25,95563776.0,0.0,9.171874974970706
skill,8,S2_selection_to_full,4,1.0,0.5,0.25,0.25,2006.25,230092800.0,0.006082350038923275,17.853394149860833
skill,8,S3_oracle_full,4,1.0,0.5,1.0,1.0,757.25,86847488.0,0.0,12.408170275040902
skill,16,S0_full_all,4,0.0,1.0,0.0,0.0,13129.25,1505767424.0,0.0,0.0023066001012921
skill,16,S1_selection_only,4,1.0,1.0,0.0,0.0,1660.5,190439424.0,0.0,30.30441697506467
skill,16,S2_selection_to_full,4,1.0,1.0,0.25,0.25,2836.75,325341184.0,0.008431299997027925,21.93094790005125
skill,16,S3_oracle_full,4,1.0,1.0,1.0,1.0,757.25,86847488.0,0.0,13.034340374986641
skill,24,S0_full_all,4,0.0,1.0,0.0,0.0,19872.5,2279137280.0,0.0,0.00213582493597635
skill,24,S1_selection_only,4,1.0,1.0,0.0,0.0,2493.5,285974528.0,0.0,25.556271024863236
skill,24,S2_selection_to_full,4,1.0,1.0,0.25,0.25,3669.75,420876288.0,0.0074856250430457,34.40049195010215
skill,24,S3_oracle_full,4,1.0,1.0,1.0,1.0,757.25,86847488.0,0.0,15.079039900039788
skill,32,S0_full_all,4,0.0,1.0,0.0,0.0,26094.25,2992697344.0,0.0,0.0041772500262595
skill,32,S1_selection_only,3,1.0,1.0,0.0,0.0,3318.0,380534784.0,0.0,35.66344503328825
skill,32,S2_selection_to_full,3,1.0,1.0,0.3333333333333333,0.3333333333333333,4657.666666666667,534178474.6666667,0.008786466593543667,39.30680313318347
skill,32,S3_oracle_full,3,1.0,1.0,1.0,1.0,840.0,96337920.0,0.0,11.49747549998574
tool,2,T0_full_all,8,,0.875,0.75,0.5,472.0,54132736.0,0.0,4.361146599985659
tool,2,T1_selection_only,8,,0.875,0.0,0.0,173.875,19941376.0,0.0,2.9346622874436434
tool,2,T2_selection_to_full,8,,0.875,0.75,0.25,381.875,43796480.0,0.002618425030959725,5.003302975062979
tool,2,T3_oracle_full,8,,0.875,1.0,0.375,236.875,27166720.0,0.0,4.044911312521435
tool,4,T0_full_all,8,,1.0,0.5,0.25,945.5,108437504.0,0.0,4.6342891624663025
tool,4,T1_selection_only,8,,1.0,0.0,0.0,349.125,40040448.0,0.0,2.879545074974885
tool,4,T2_selection_to_full,8,,1.0,0.875,0.375,557.125,63895552.0,0.0016489624977111374,5.432551375008188
tool,4,T3_oracle_full,8,,1.0,1.0,0.375,236.875,27166720.0,0.0,4.0554029749764595
tool,6,T0_full_all,8,,1.0,0.625,0.25,1417.0,162512896.0,0.0,4.956895399955101
tool,6,T1_selection_only,8,,1.0,0.0,0.0,523.625,60053504.0,0.0,3.307042887463467
tool,6,T2_selection_to_full,8,,1.0,0.75,0.25,759.875,87148544.0,0.00212546251714225,6.424006762448698
tool,6,T3_oracle_full,8,,1.0,1.0,0.375,236.875,27166720.0,0.0,4.0815776999806985
tool,8,T0_full_all,8,,1.0,0.625,0.375,1889.25,216674304.0,0.0,5.753870525048114
tool,8,T1_selection_only,8,,1.0,0.0,0.0,697.875,80037888.0,0.0,3.436623775109183
tool,8,T2_selection_to_full,8,,1.0,0.625,0.125,904.5,103735296.0,0.001358549983706275,6.246293737436645
tool,8,T3_oracle_full,8,,1.0,1.0,0.375,236.875,27166720.0,0.0,3.9213771499635186
tool,18,T0_full_all,8,,1.0,0.625,0.375,4235.0,485703680.0,0.0,8.485866450006142
tool,18,T1_selection_only,8,,1.0,0.0,0.0,1567.0,179716096.0,0.0,8.553732824948383
tool,18,T2_selection_to_full,8,,1.0,0.375,0.0,1715.125,196704256.0,0.0010573999898042124,8.850121387455147
tool,18,T3_oracle_full,8,,1.0,1.0,0.375,236.875,27166720.0,0.0,4.061701537488261
