resource_type,policy,max_candidates,examples,native_kv_bytes_per_token,full_all_active_kv_bytes,progressive_active_kv_bytes,active_kv_bytes_saved,active_kv_savings_fraction
tool,diversity_union,1,40,114688,32883916.800000004,46431436.800000004,-13547520.0,-0.41198012032435255
tool,diversity_union,2,40,114688,70467174.39999999,63777996.800000004,6689177.599999987,0.09492615046588256
tool,diversity_union,4,40,114688,145659494.4,98402304.0,47257190.400000006,0.32443604582496754
tool,diversity_union,6,40,114688,219002470.4,132094771.20000002,86907699.19999999,0.3968343326961849
tool,diversity_union,8,40,114688,294105907.2,166638796.79999998,127467110.4,0.4334054749649041
tool,diversity_union,10,40,114688,369650892.8,201529753.6,168121139.20000002,0.4548105860817226
tool,diversity_union,12,40,114688,443928576.0,235428659.20000002,208499916.79999998,0.4696699606019505
tool,diversity_union,16,40,114688,594952601.6,305201971.2,289750630.40000004,0.48701464557138935
tool,diversity_union,20,40,114688,745925017.6,375029760.0,370895257.6,0.49722860723099044
tool,diversity_union,24,40,114688,896957644.8000001,444848947.2,452108697.6000001,0.5040468747003204
tool,diversity_union,32,40,114688,1199040102.3999999,584389836.8000001,614650265.5999998,0.5126186058078585
tool,diversity_union,48,40,114688,1803944755.2,863735398.4,940209356.8000001,0.5211963138503988
tool,fused,1,40,114688,37001216.0,53874688.0,-16873472.0,-0.4560247965904688
tool,fused,2,40,114688,74498457.60000001,70837043.2,3661414.400000006,0.04914751953200177
tool,fused,4,40,114688,149897216.0,105077145.60000001,44820070.39999999,0.29900535577658754
tool,fused,6,40,114688,225381990.4,139443404.79999998,85938585.60000002,0.3813019196763648
tool,fused,8,40,114688,301216563.2,174354432.0,126862131.19999999,0.42116585440146204
tool,fused,10,40,114688,376965120.0,209159372.79999998,167805747.20000002,0.44514926792165815
tool,fused,12,40,114688,452564582.40000004,243944243.20000002,208620339.20000002,0.4609736318597078
tool,fused,16,40,114688,603763507.1999999,313287475.2,290476031.99999994,0.4811089582858445
tool,fused,20,40,114688,755286425.6,383416320.0,371870105.6,0.49235640016247634
tool,fused,24,40,114688,906648780.8000001,453456281.59999996,453192499.2000001,0.49985452889498894
tool,fused,32,40,114688,1209264537.6000001,593289625.6,615974912.0000001,0.5093797865126447
tool,fused,48,40,114688,1813377843.2,872242380.8000001,941135462.4,0.5189957878492732
tool,raw_union,1,40,114688,37534515.199999996,54823731.199999996,-17289216.0,-0.46062180123749147
tool,raw_union,2,40,114688,70418432.0,66702540.800000004,3715891.1999999955,0.05276872964169375
tool,raw_union,4,40,114688,145691033.6,101346918.39999999,44344115.2,0.3043709286993486
tool,raw_union,6,40,114688,220573696.0,135240089.6,85333606.4,0.3868711815936566
tool,raw_union,8,40,114688,294183321.59999996,168637235.20000002,125546086.39999995,0.42676140073876967
tool,raw_union,10,40,114688,369455923.2,203376230.4,166079692.79999998,0.44952505121996644
tool,raw_union,12,40,114688,443702067.2,237372620.79999998,206329446.4,0.4650179966526872
tool,raw_union,16,40,114688,594978406.4,307160268.8,287818137.59999996,0.48374551833146995
tool,raw_union,20,40,114688,745867673.6,376902041.59999996,368965632.00000006,0.49467974690356664
tool,raw_union,24,40,114688,896908902.4,446732697.59999996,450176204.8,0.5019196527042968
tool,raw_union,32,40,114688,1199160524.8,586376806.4,612783718.4,0.51101058259252
tool,raw_union,48,40,114688,1804088115.2,865722368.0,938365747.2,0.5201329908966078
skill,fused,2,50,114688,198678609.92,122000506.88,76678103.03999999,0.385940404308623
skill,fused,4,50,114688,393957867.52,144025190.4,249932677.11999997,0.6344147375285295
skill,fused,8,50,114688,787443220.48,191971655.67999998,595471564.8000001,0.7562088914004743
skill,fused,16,50,114688,1552308961.28,286816337.92,1265492623.36,0.8152324407871113
skill,fused,24,50,114688,2330223902.72,382716149.76,1947507752.9599998,0.8357599244805329
skill,fused,32,50,114688,3052689489.92,478216847.36,2574472642.56,0.843345728761777
skill,fused,50,50,114688,4800151552.0,693873868.8000001,4106277683.2,0.8554475080040139
