dimension,group,queries,top1,recall_at_3,recall_at_5,recall_at_8,mrr,selection_tokens,instruction_tokens,full_tokens,selection_full_ratio,token_saving
family,assurance,4,0.75,1.0,1.0,1.0,0.875,102.75,661.75,1018.75,0.11192323805310438,0.7600245926777787
family,communication,5,0.4,1.0,1.0,1.0,0.6333333333333333,102.8,560.8,907.4,0.13150263654578048,0.7432501968684585
family,data_governance,4,1.0,1.0,1.0,1.0,1.0,103.75,418.75,764.75,0.1581691749581307,0.785850001831743
family,delivery,5,0.6,0.8,1.0,1.0,0.7066666666666667,101.0,402.4,743.8,0.15330447357392038,0.768086124964801
family,design_review,4,0.75,1.0,1.0,1.0,0.875,103.25,577.75,934.75,0.13771829452748752,0.7627460204954959
family,document_analysis,5,0.8,1.0,1.0,1.0,0.9,104.2,559.2,906.8,0.1331418260860153,0.7272377468565937
family,engineering_diagnosis,3,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,103.33333333333333,235.0,572.3333333333334,0.18437684590459322,0.7847502053078421
family,engineering_intake,2,0.5,0.5,0.5,0.5,0.55,107.0,263.0,600.0,0.18175417877906974,0.7401727647625638
family,engineering_review,2,1.0,1.0,1.0,1.0,1.0,105.0,655.0,1009.0,0.1153956040925512,0.7613888234510873
family,operations,4,0.75,0.75,0.75,0.75,0.7727272727272727,105.5,416.75,762.5,0.16197362529098908,0.7458001274903222
family,people_process,4,0.5,1.0,1.0,1.0,0.7083333333333334,105.0,573.5,926.25,0.14212810139988724,0.7484549151757798
family,research_method,5,0.6,1.0,1.0,1.0,0.8,99.4,564.0,913.2,0.12668062160291865,0.7229131815037373
family,research_workflow,3,0.6666666666666666,1.0,1.0,1.0,0.7777777777777777,104.33333333333333,289.0,628.6666666666666,0.16953681496554698,0.7852003326722837
hardness_level,H1,10,0.7,0.8,0.9,0.9,0.7633333333333334,104.3,466.1,813.0,0.15019334429922496,0.7384486742896216
hardness_level,H2,10,0.7,1.0,1.0,1.0,0.8166666666666667,101.5,481.1,824.9,0.14249164148712065,0.7567765950140604
hardness_level,H3,10,0.7,1.0,1.0,1.0,0.8166666666666667,102.9,545.4,893.9,0.13664663520574466,0.7528176793602601
hardness_level,H4,10,0.6,0.9,0.9,0.9,0.759090909090909,105.4,468.5,820.1,0.15040945269949263,0.7627108835359413
hardness_level,H5,10,0.7,1.0,1.0,1.0,0.85,102.4,482.3,828.6,0.14294273373994035,0.762437535002128
query_style,canonical,10,0.6,0.9,0.9,0.9,0.759090909090909,105.4,468.5,820.1,0.15040945269949263,0.7627108835359413
query_style,colloquial,10,0.7,0.8,0.9,0.9,0.7633333333333334,104.3,466.1,813.0,0.15019334429922496,0.7384486742896216
query_style,contextual,10,0.7,1.0,1.0,1.0,0.8166666666666667,102.9,545.4,893.9,0.13664663520574466,0.7528176793602601
query_style,goal_oriented,10,0.7,1.0,1.0,1.0,0.8166666666666667,101.5,481.1,824.9,0.14249164148712065,0.7567765950140604
query_style,paraphrastic,10,0.7,1.0,1.0,1.0,0.85,102.4,482.3,828.6,0.14294273373994035,0.762437535002128
language,en,50,0.68,0.94,0.96,0.96,0.8011515151515151,103.3,488.68,836.1,0.14453676148630465,0.7546382734404022
length_bucket,long,16,0.6875,1.0,1.0,1.0,0.8333333333333334,103.625,972.375,1340.875,0.07727695694947151,0.7002993632945147
length_bucket,medium,17,0.8235294117647058,1.0,1.0,1.0,0.9117647058823529,102.82352941176471,345.29411764705884,686.6470588235294,0.1497097370668284,0.7766759670016792
length_bucket,short,17,0.5294117647058824,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.6602495543672015,103.47058823529412,176.8235294117647,510.47058823529414,0.20266713135221207,0.7837430835458429
