seed,query_id,policy,k_min,found_by_k48
37,archive_report-h2-en-1,bm25,1.0,1
37,archive_report-h2-en-1,fused,inf,0
37,archive_report-h2-en-1,raw_union,2.0,1
37,archive_report-h2-en-1,diversity_union,1.0,1
37,archive_report-h2-en-1,A4_agreement_union,2.0,1
53,get_user-h2-en-1,bm25,inf,0
53,get_user-h2-en-1,fused,16.0,1
53,get_user-h2-en-1,raw_union,inf,0
53,get_user-h2-en-1,diversity_union,inf,0
53,get_user-h2-en-1,A4_agreement_union,inf,0
53,update_user-h4-en-1,bm25,inf,0
53,update_user-h4-en-1,fused,48.0,1
53,update_user-h4-en-1,raw_union,inf,0
53,update_user-h4-en-1,diversity_union,inf,0
53,update_user-h4-en-1,A4_agreement_union,inf,0
53,search_document-h1-en-1,bm25,inf,0
53,search_document-h1-en-1,fused,inf,0
53,search_document-h1-en-1,raw_union,inf,0
53,search_document-h1-en-1,diversity_union,inf,0
53,search_document-h1-en-1,A4_agreement_union,inf,0
53,export_document-h2-en-1,bm25,2.0,1
53,export_document-h2-en-1,fused,4.0,1
53,export_document-h2-en-1,raw_union,6.0,1
53,export_document-h2-en-1,diversity_union,6.0,1
53,export_document-h2-en-1,A4_agreement_union,6.0,1
53,create_issue-h1-en-1,bm25,inf,0
53,create_issue-h1-en-1,fused,1.0,1
53,create_issue-h1-en-1,raw_union,48.0,1
53,create_issue-h1-en-1,diversity_union,48.0,1
53,create_issue-h1-en-1,A4_agreement_union,48.0,1
53,update_issue-h2-en-1,bm25,1.0,1
53,update_issue-h2-en-1,fused,inf,0
53,update_issue-h2-en-1,raw_union,2.0,1
53,update_issue-h2-en-1,diversity_union,1.0,1
53,update_issue-h2-en-1,A4_agreement_union,2.0,1
53,create_report-h2-en-1,bm25,inf,0
53,create_report-h2-en-1,fused,inf,0
53,create_report-h2-en-1,raw_union,inf,0
53,create_report-h2-en-1,diversity_union,inf,0
53,create_report-h2-en-1,A4_agreement_union,inf,0
53,archive_report-h2-en-1,bm25,1.0,1
53,archive_report-h2-en-1,fused,inf,0
53,archive_report-h2-en-1,raw_union,2.0,1
53,archive_report-h2-en-1,diversity_union,1.0,1
53,archive_report-h2-en-1,A4_agreement_union,2.0,1
71,get_user-h2-en-1,bm25,inf,0
71,get_user-h2-en-1,fused,8.0,1
71,get_user-h2-en-1,raw_union,inf,0
71,get_user-h2-en-1,diversity_union,inf,0
71,get_user-h2-en-1,A4_agreement_union,inf,0
71,update_user-h4-en-1,bm25,inf,0
71,update_user-h4-en-1,fused,48.0,1
71,update_user-h4-en-1,raw_union,inf,0
71,update_user-h4-en-1,diversity_union,inf,0
71,update_user-h4-en-1,A4_agreement_union,inf,0
71,search_document-h1-en-1,bm25,inf,0
71,search_document-h1-en-1,fused,inf,0
71,search_document-h1-en-1,raw_union,inf,0
71,search_document-h1-en-1,diversity_union,inf,0
71,search_document-h1-en-1,A4_agreement_union,inf,0
71,export_document-h2-en-1,bm25,2.0,1
71,export_document-h2-en-1,fused,4.0,1
71,export_document-h2-en-1,raw_union,6.0,1
71,export_document-h2-en-1,diversity_union,6.0,1
71,export_document-h2-en-1,A4_agreement_union,6.0,1
71,create_issue-h1-en-1,bm25,inf,0
71,create_issue-h1-en-1,fused,4.0,1
71,create_issue-h1-en-1,raw_union,inf,0
71,create_issue-h1-en-1,diversity_union,inf,0
71,create_issue-h1-en-1,A4_agreement_union,inf,0
71,update_issue-h2-en-1,bm25,1.0,1
71,update_issue-h2-en-1,fused,inf,0
71,update_issue-h2-en-1,raw_union,2.0,1
71,update_issue-h2-en-1,diversity_union,1.0,1
71,update_issue-h2-en-1,A4_agreement_union,2.0,1
71,create_report-h2-en-1,bm25,inf,0
71,create_report-h2-en-1,fused,inf,0
71,create_report-h2-en-1,raw_union,inf,0
71,create_report-h2-en-1,diversity_union,inf,0
71,create_report-h2-en-1,A4_agreement_union,inf,0
71,archive_report-h2-en-1,bm25,1.0,1
71,archive_report-h2-en-1,fused,inf,0
71,archive_report-h2-en-1,raw_union,2.0,1
71,archive_report-h2-en-1,diversity_union,1.0,1
71,archive_report-h2-en-1,A4_agreement_union,2.0,1
