catalog_size,policy,strategy,max_candidates,selection_tokens,selection_tokens_std
8192,lexical,A2_topk,1,96.45138888888889,0.0
8192,lexical,A2_topk,2,205.7541666666667,0.0688516364330254
8192,lexical,A2_topk,4,423.9555555555556,0.4216313024988888
8192,lexical,A2_topk,6,641.8555555555556,0.2603194262894925
8192,lexical,A2_topk,8,860.0833333333334,0.5189084801797959
8192,lexical,A2_topk,10,1077.9652777777778,0.8299555385607513
8192,lexical,A2_topk,12,1295.8972222222224,0.6792326995847359
8192,lexical,A2_topk,16,1732.323611111111,0.8455071438178466
8192,lexical,A2_topk,20,2168.3972222222224,0.4227963475990465
8192,lexical,A2_topk,24,2605.905555555556,0.5134100622068907
8192,lexical,A2_topk,32,3480.561111111111,0.8623758633156863
8192,lexical,A2_topk,48,5231.238888888889,1.3555068154945178
8192,A5_topk,A5_topk,1,102.0013888888889,0.2309171361450536
8192,A5_topk,A5_topk,2,209.84722222222223,0.2366721276104519
8192,A5_topk,A5_topk,4,426.9194444444444,0.4046174462103248
8192,A5_topk,A5_topk,6,645.0958333333333,0.1505839969035579
8192,A5_topk,A5_topk,8,862.8486111111112,0.2479370906619828
8192,A5_topk,A5_topk,10,1081.098611111111,0.3996345263231903
8192,A5_topk,A5_topk,12,1299.213888888889,0.4924536623561321
8192,A5_topk,A5_topk,16,1735.6458333333333,0.3315563165577743
8192,A5_topk,A5_topk,20,2172.1194444444445,0.1958899642309973
8192,A5_topk,A5_topk,24,2608.6652777777776,0.3983049056181958
8192,A5_topk,A5_topk,32,3481.4430555555555,0.4525465923082935
8192,A5_topk,A5_topk,48,5228.120833333333,0.5609245770804521
8192,fused,A6_topk,1,97.78611111111113,0.2939477598040593
8192,fused,A6_topk,2,205.47916666666663,0.5683848542955798
8192,fused,A6_topk,4,422.6555555555556,0.3631619116510852
8192,fused,A6_topk,6,639.8388888888888,0.3648444831891939
8192,fused,A6_topk,8,857.4152777777778,0.5311796431261616
8192,fused,A6_topk,10,1075.1680555555554,0.5642847201284347
8192,fused,A6_topk,12,1293.223611111111,0.3672816811840736
8192,fused,A6_topk,16,1729.511111111111,0.5879570391944752
8192,fused,A6_topk,20,2165.9083333333333,0.645784795069794
8192,fused,A6_topk,24,2602.6916666666666,0.3416073796801476
8192,fused,A6_topk,32,3476.390277777778,0.4423616562006139
8192,fused,A6_topk,48,5223.588888888889,0.8105300192078465
8192,diversity_union,A7_diversity_union,1,93.2222222222222,0.0310564996874953
8192,diversity_union,A7_diversity_union,2,196.5458333333333,0.1669268802000667
8192,diversity_union,A7_diversity_union,4,410.6166666666667,0.2567285128710499
8192,diversity_union,A7_diversity_union,6,624.8625,0.3213785050660604
8192,diversity_union,A7_diversity_union,8,841.7069444444445,0.4117007314591017
8192,diversity_union,A7_diversity_union,10,1058.1166666666668,0.3295283409195074
8192,diversity_union,A7_diversity_union,12,1274.4944444444443,0.2540850658322134
8192,diversity_union,A7_diversity_union,16,1710.1111111111109,0.4008875665936776
8192,diversity_union,A7_diversity_union,20,2145.8819444444443,0.4836993744843821
8192,diversity_union,A7_diversity_union,24,2582.233333333333,0.2754065457321893
8192,diversity_union,A7_diversity_union,32,3454.5375,0.717257239441229
8192,diversity_union,A7_diversity_union,48,5199.504166666667,1.1944706876962283
8192,equal_fusion,A7_fused_score,1,99.64861111111112,0.4982269875998695
8192,equal_fusion,A7_fused_score,2,207.0555555555556,0.2605323816986686
8192,equal_fusion,A7_fused_score,4,424.4875,0.4164177497225018
8192,equal_fusion,A7_fused_score,6,641.95,0.5380353707566082
8192,equal_fusion,A7_fused_score,8,859.4055555555555,0.7624607862816801
8192,equal_fusion,A7_fused_score,10,1077.2222222222222,0.8426418763568604
8192,equal_fusion,A7_fused_score,12,1295.1333333333334,0.7684585541086435
8192,equal_fusion,A7_fused_score,16,1731.7625,0.8474128883814807
8192,equal_fusion,A7_fused_score,20,2168.7569444444443,0.881260671067367
8192,equal_fusion,A7_fused_score,24,2605.4222222222224,0.4532919285964297
8192,equal_fusion,A7_fused_score,32,3480.261111111111,0.5828288162166941
8192,equal_fusion,A7_fused_score,48,5228.416666666666,1.0942514282700608
8192,raw_union,A7_raw_union,1,107.80555555555556,0.9128709291752776
8192,raw_union,A7_raw_union,2,201.9875,0.2312823217318514
8192,raw_union,A7_raw_union,4,411.04027777777776,0.3152808369895495
8192,raw_union,A7_raw_union,6,627.0569444444445,0.408407731317631
8192,raw_union,A7_raw_union,8,842.3194444444446,0.4278589389097482
8192,raw_union,A7_raw_union,10,1059.3027777777777,0.4589274348219606
8192,raw_union,A7_raw_union,12,1275.2055555555555,0.267996179376591
8192,raw_union,A7_raw_union,16,1710.5055555555557,0.3169969646815914
8192,raw_union,A7_raw_union,20,2146.3083333333334,0.5020357861302209
8192,raw_union,A7_raw_union,24,2582.2111111111108,0.3000450069119225
8192,raw_union,A7_raw_union,32,3454.7875,0.90621141893188
8192,raw_union,A7_raw_union,48,5199.531944444445,1.3016212142912535
