policy,max_candidates,queries,candidate_recall,mrr,top1
auto_semantic,1,50,0.52,0.634920604920605,0.52
auto_semantic,2,50,0.64,0.634920604920605,0.52
auto_semantic,3,50,0.7,0.634920604920605,0.52
auto_semantic,4,50,0.74,0.634920604920605,0.52
auto_semantic,5,50,0.78,0.634920604920605,0.52
auto_semantic,8,50,0.8,0.634920604920605,0.52
auto_semantic,16,50,0.92,0.634920604920605,0.52
auto_semantic,24,50,0.94,0.634920604920605,0.52
auto_semantic,32,50,0.96,0.634920604920605,0.52
bm25,1,50,0.6,0.6966712499732586,0.6
bm25,2,50,0.68,0.6966712499732586,0.6
bm25,3,50,0.78,0.6966712499732586,0.6
bm25,4,50,0.78,0.6966712499732586,0.6
bm25,5,50,0.82,0.6966712499732586,0.6
bm25,8,50,0.88,0.6966712499732586,0.6
bm25,16,50,0.92,0.6966712499732586,0.6
bm25,24,50,0.94,0.6966712499732586,0.6
bm25,32,50,0.96,0.6966712499732586,0.6
embedding,1,50,0.68,0.7969841269841269,0.68
embedding,2,50,0.86,0.7969841269841269,0.68
embedding,3,50,0.88,0.7969841269841269,0.68
embedding,4,50,0.92,0.7969841269841269,0.68
embedding,5,50,0.92,0.7969841269841269,0.68
embedding,8,50,0.96,0.7969841269841269,0.68
embedding,16,50,1.0,0.7969841269841269,0.68
embedding,24,50,1.0,0.7969841269841269,0.68
embedding,32,50,1.0,0.7969841269841269,0.68
fused,1,50,0.68,0.8011515151515153,0.68
fused,2,50,0.84,0.8011515151515153,0.68
fused,3,50,0.94,0.8011515151515153,0.68
fused,4,50,0.94,0.8011515151515153,0.68
fused,5,50,0.96,0.8011515151515153,0.68
fused,8,50,0.96,0.8011515151515153,0.68
fused,16,50,1.0,0.8011515151515153,0.68
fused,24,50,1.0,0.8011515151515153,0.68
fused,32,50,1.0,0.8011515151515153,0.68
