resource_type,policy,max_candidates,token_savings_fraction,active_kv_savings_fraction
tool,diversity_union,1,-0.4093693650169638,-0.41198012032435255
tool,diversity_union,2,0.09652973319347016,0.09492615046588256
tool,diversity_union,4,0.3248147577850272,0.32443604582496754
tool,diversity_union,6,0.39706881262836524,0.3968343326961849
tool,diversity_union,8,0.4335145485162217,0.4334054749649041
tool,diversity_union,10,0.4548807038079693,0.4548105860817226
tool,diversity_union,12,0.46976163138222465,0.4696699606019505
tool,diversity_union,16,0.4870685646431324,0.48701464557138935
tool,diversity_union,20,0.4972629037945463,0.49722860723099044
tool,diversity_union,24,0.5040710383952461,0.5040468747003204
tool,diversity_union,32,0.5126341245765419,0.5126186058078585
tool,diversity_union,48,0.5212048840876072,0.5211963138503988
tool,fused,1,-0.454629976721664,-0.4560247965904688
tool,fused,2,0.050027050992472455,0.04914751953200177
tool,fused,4,0.2992956561707567,0.29900535577658754
tool,fused,6,0.38141958818118793,0.3813019196763648
tool,fused,8,0.42124102235482974,0.42116585440146204
tool,fused,10,0.4452050259621288,0.44514926792165815
tool,fused,12,0.4610236954609965,0.4609736318597078
tool,fused,16,0.4811509419946523,0.4811089582858445
tool,fused,20,0.49238652425707086,0.49235640016247634
tool,fused,24,0.4998762748317745,0.49985452889498894
tool,fused,32,0.5093941777462292,0.5093797865126447
tool,fused,48,0.5190084290187291,0.5189957878492732
tool,raw_union,1,-0.460638728327363,-0.46062180123749147
tool,raw_union,2,0.05303342883752225,0.05276872964169375
tool,raw_union,4,0.30452564391997317,0.3043709286993486
tool,raw_union,6,0.3869928509556961,0.3868711815936566
tool,raw_union,8,0.42679559104817655,0.42676140073876967
tool,raw_union,10,0.4495439409277945,0.44952505121996644
tool,raw_union,12,0.4650422081546342,0.4650179966526872
tool,raw_union,16,0.483764695888667,0.48374551833146995
tool,raw_union,20,0.49469315856434515,0.49467974690356664
tool,raw_union,24,0.5019293713945558,0.5019196527042968
tool,raw_union,32,0.5110181166173723,0.51101058259252
tool,raw_union,48,0.520137965454013,0.5201329908966078
skill,fused,2,0.3748622992674057,0.385940404308623
skill,fused,4,0.6279252521521335,0.6344147375285295
skill,fused,8,0.7546382734404022,0.7562088914004743
skill,fused,16,0.8144080077562834,0.8152324407871113
skill,fused,24,0.8353944349654931,0.8357599244805329
skill,fused,32,0.8431633025273493,0.843345728761777
skill,fused,50,0.855447508004014,0.8554475080040139
