length_bucket,cases,instruction_tokens,full_tokens,selection_tokens,token_saving,context_fit,choice_accuracy,instruction_following,task_success
long,1,971.0,1333.0,102.0,0.7261709380128771,1.0,1.0,1.0,1.0
medium,1,340.0,675.0,101.0,0.8283956244302644,1.0,0.0,0.0,0.0
short,2,176.0,510.5,106.5,0.7221655683570525,1.0,0.0,1.0,0.0
