policy,max_candidates,steps,workflows,per_step_recall,conditional_choice,step_success,workflow_success,mean_capability_tokens
diversity_union,4,20,2,0.0,0.0,0.0,0.0,752.7
diversity_union,8,20,2,0.25,0.25,0.25,0.0,1418.8
fused,4,20,2,0.2,0.15,0.15,0.0,868.05
fused,8,20,2,0.3,0.1,0.1,0.0,1494.7
raw_union,4,20,2,0.0,0.0,0.0,0.0,891.05
raw_union,8,20,2,0.25,0.05,0.05,0.0,1441.35
