resource_type,records,eager_startup_seconds,lazy_registration_seconds,lazy_first_selection_seconds,lazy_first_full_mean_seconds,lazy_warm_full_mean_seconds,selection_cache_hits_on_first_use,selection_cold_encodes_on_first_use,selection_tokens,full_tokens,backing_store_bytes,eager_resident_encoded_bytes,lazy_resident_after_reuse_bytes,active_selection_bytes,active_full_mean_bytes,native_kv_bytes_per_token,semantic_rediscovery_calls
tool,18,0.06918769981712103,5.679996684193611e-05,0.030413500033318996,0.0023562777787446976,1.537220345603095e-05,0,18,1550,4218,11468,661520384,661520384,177766400,26875221.333333332,114688,0
skill,50,0.5976438000798225,0.00029530003666877747,0.14271860010921955,0.009361519990488888,2.0933998748660087e-05,0,50,5165,41805,196345,5386895360,5386895360,592363520,95890636.8,114688,0
