split,dataset,facet_mode,requested_facet_count,examples,construction_latency_ms,graph_construction_ms,graph_clustering_ms,graph_calls,graph_nodes,graph_edges,graph_density,graph_memory_bytes,pairwise_similarity_evaluations,tree_node_count,mean_facet_overlap
test,2wikimultihopqa,global,1,24,0.37899585246729356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,2wikimultihopqa,graph,2,24,29.19661665024857,6.418820848921314,9.91310835039864,1.0,16.625,46.583333333333336,0.19811657748984268,1703.3333333333333,287.75,2.9166666666666665,0.0
test,2wikimultihopqa,graph,4,24,29.19661665024857,6.418820848921314,9.91310835039864,1.0,16.625,46.583333333333336,0.19811657748984268,1703.3333333333333,287.75,2.9166666666666665,0.0
test,2wikimultihopqa,multiscale,2,24,15.989066635180885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.333333333333332,0.1266657632538847
test,2wikimultihopqa,multiscale,4,24,15.989066635180885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.333333333333332,0.1266657632538847
test,2wikimultihopqa,syntactic,2,24,1.8867042187290888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2083333333333335,0.23784200190933938
test,2wikimultihopqa,syntactic,4,24,1.8867042187290888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2083333333333335,0.23784200190933938
test,2wikimultihopqa,syntactic_graph,2,24,29.634308293073747,6.548370855549972,9.950804155475149,1.0,16.625,46.583333333333336,0.19811657748984268,1703.3333333333333,287.75,3.9166666666666665,0.5638888888888889
test,2wikimultihopqa,syntactic_graph,4,24,29.634308293073747,6.548370855549972,9.950804155475149,1.0,16.625,46.583333333333336,0.19811657748984268,1703.3333333333333,287.75,3.9166666666666665,0.5638888888888889
test,hotpotqa,global,1,16,0.5071750056231394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,hotpotqa,graph,2,16,34.55100623250473,7.02113748411648,11.987787525868043,1.0,21.3125,58.375,0.15864070200510108,2146.0,524.25,3.4375,0.0
test,hotpotqa,graph,4,16,34.55100623250473,7.02113748411648,11.987787525868043,1.0,21.3125,58.375,0.15864070200510108,2146.0,524.25,3.4375,0.0
test,hotpotqa,multiscale,2,16,21.636768768075854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8125,0.10253399746006833
test,hotpotqa,multiscale,4,16,21.636768768075854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8125,0.10253399746006833
test,hotpotqa,syntactic,2,16,2.0579937554430217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6875,0.18341630591630592
test,hotpotqa,syntactic,4,16,2.0579937554430217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6875,0.18341630591630592
test,hotpotqa,syntactic_graph,2,16,33.53404998779297,6.739631251548417,10.699868755182251,1.0,21.3125,58.375,0.15864070200510108,2146.0,524.25,4.4375,0.44166666666666665
test,hotpotqa,syntactic_graph,4,16,33.53404998779297,6.739631251548417,10.699868755182251,1.0,21.3125,58.375,0.15864070200510108,2146.0,524.25,4.4375,0.44166666666666665
test,musique,global,1,18,0.4554333346378472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,musique,graph,2,18,36.94738884870377,6.585244451546007,11.826422207781839,1.0,26.77777777777778,75.0,0.1228893609581869,2742.6666666666665,796.0,3.2222222222222223,0.0
test,musique,graph,4,18,36.94738884870377,6.585244451546007,11.826422207781839,1.0,26.77777777777778,75.0,0.1228893609581869,2742.6666666666665,796.0,3.2222222222222223,0.0
test,musique,multiscale,2,18,26.733094425354565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.611111111111114,0.08112899761359538
test,musique,multiscale,4,18,26.733094425354565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.611111111111114,0.08112899761359538
test,musique,syntactic,2,18,2.267011156719592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,0.1417775282335265
test,musique,syntactic,4,18,2.267011156719592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,0.1417775282335265
test,musique,syntactic_graph,2,18,42.54742775164131,7.980561129645341,13.713777750833994,1.3333333333333333,26.77777777777778,75.88888888888889,0.12353849973148587,2767.5555555555557,570.0,4.777777777777778,0.38399470899470894
